"","RR1_GST-R_FLT_M23","RR1_GST-R_FLT_M24","RR1_GST-R_FLT_M25","RR1_GST-R_FLT_M26","RR1_GST-R_GC_M33","RR1_GST-R_GC_M34","RR1_GST-R_GC_M35","RR1_GST-R_GC_M36","RR1_GST-R_GC_M37","RR1_GST-R_GC_M38","RR1_GST-R_GC_M39","RR1_GST-R_GC_M40"
"ENSMUSG00000112074",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112075",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112076",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112077",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112078",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112079",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112080",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112081",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112082",0,21,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112083",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112084",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112085",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112086",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112087",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112088",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112089",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112090",0,0,9,0,11,0,0,22,4,0,0,0
"ENSMUSG00000112091",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112092",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112093",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112094",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112095",0,0,0,0,0,11,0,0,0,0,0,0
"ENSMUSG00000112096",31,0,23,2,0,0,0,16,7,6,3,19
"ENSMUSG00000112097",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112098",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112099",171,153,150,114,102,79,98,291,232,92,63,122
"ENSMUSG00000112100",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112101",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112102",0,0,3,0,0,8,0,0,4,0,0,0
"ENSMUSG00000112103",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112104",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112105",0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000112106",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112107",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112108",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112109",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112110",0,0,0,0,0,0,0,1,4,0,0,7
"ENSMUSG00000112111",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112112",0,0,0,0,0,0,0,0,0,0,0,9
"ENSMUSG00000112113",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112114",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112115",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112116",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112117",0,0,0,0,0,0,0,0,0,0,0,30
"ENSMUSG00000112118",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112119",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112120",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112121",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112122",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112123",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112124",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112125",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112126",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112127",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112128",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112129",2,1,4,5,1,1,1,0,0,0,0,2
"ENSMUSG00000112130",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112131",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112132",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112133",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112134",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112135",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112136",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112137",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112138",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112139",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112140",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112141",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112142",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112143",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112144",0,0,0,0,0,0,0,0,1,0,17,2
"ENSMUSG00000112145",6,2,0,3,2,0,1,6,6,2,1,2
"ENSMUSG00000112146",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112147",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112148",0,0,3,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112149",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112150",1,0,0,0,0,0,0,42,0,0,0,0
"ENSMUSG00000112151",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112152",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112153",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112154",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112155",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112156",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112157",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112158",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112159",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112160",2,7,0,0,0,11,0,0,0,0,0,0
"ENSMUSG00000112161",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112162",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112163",0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000112164",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112165",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112166",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112167",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112168",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112169",0,1,0,0,17,0,0,0,0,0,0,0
"ENSMUSG00000112170",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112171",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112172",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112173",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112174",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112175",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112176",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112177",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112178",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112179",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112180",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112181",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112182",0,0,0,0,20,0,0,14,24,0,0,0
"ENSMUSG00000112183",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112184",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112185",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112186",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112187",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112188",146,193,8,14,104,97,50,43,37,36,32,4
"ENSMUSG00000112189",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112190",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112191",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112192",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112193",0,0,0,0,0,0,1,1,0,0,0,0
"ENSMUSG00000112194",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112195",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112196",0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000112197",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112198",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112199",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112200",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112201",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112202",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112203",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112204",1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112205",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112206",0,0,0,0,0,0,23,0,0,0,0,0
"ENSMUSG00000112207",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112208",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112209",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112210",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112211",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112212",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112213",0,0,0,0,0,0,0,0,16,0,0,0
"ENSMUSG00000112214",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112215",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112216",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112217",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112218",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112219",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112220",0,0,0,0,0,0,0,0,11,0,0,0
"ENSMUSG00000112221",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112222",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112223",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112224",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112225",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112226",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112227",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112228",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112229",0,36,0,0,0,0,0,0,4,0,0,0
"ENSMUSG00000112230",0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112231",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112232",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112233",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112234",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112235",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112236",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112237",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112238",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112239",20,0,0,0,1,0,0,0,3,0,0,12
"ENSMUSG00000112240",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112241",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112242",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112243",0,0,0,0,0,0,0,0,8,0,0,0
"ENSMUSG00000112244",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112245",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112246",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112247",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112248",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112249",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112250",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112251",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112252",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112253",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112254",0,0,0,19,0,0,0,0,0,0,0,0
"ENSMUSG00000112255",0,0,0,0,0,0,8,0,0,0,0,0
"ENSMUSG00000112256",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112257",0,7,0,0,5,0,0,0,6,0,0,0
"ENSMUSG00000112258",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112259",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112260",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112261",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112262",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112263",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112264",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112265",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112266",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112267",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112268",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112269",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112270",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112271",0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000112272",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112273",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112274",27,0,0,0,0,0,0,0,0,0,19,0
"ENSMUSG00000112275",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112276",21,35,18,0,62,3,0,19,26,0,22,0
"ENSMUSG00000112277",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112278",49,63,33,48,57,29,19,80,89,46,17,62
"ENSMUSG00000112279",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112280",35,62,27,33,32,22,67,102,29,12,24,16
"ENSMUSG00000112281",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112282",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112283",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112284",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112285",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112286",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112287",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112288",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112289",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112290",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112291",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112292",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112293",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112294",11,0,0,65,0,0,1,8,52,1,0,5
"ENSMUSG00000112295",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112296",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112297",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112298",1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112299",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112300",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112301",0,0,0,0,0,0,0,0,45,0,0,0
"ENSMUSG00000112302",162,286,215,226,315,200,191,430,371,274,117,284
"ENSMUSG00000112303",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112304",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112305",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112306",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112307",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112308",0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000112309",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112311",0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000112312",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112313",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112314",0,0,11,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112315",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112316",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112317",0,0,19,26,8,0,0,0,0,0,9,0
"ENSMUSG00000112318",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112319",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112320",0,0,0,0,0,0,0,2,3,0,0,0
"ENSMUSG00000112321",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112322",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112323",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112324",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112325",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112326",1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112327",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112328",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112329",44,41,69,72,12,7,16,51,12,37,7,50
"ENSMUSG00000112330",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112331",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112332",1,9,43,20,0,0,0,21,36,0,0,2
"ENSMUSG00000112333",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112334",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112335",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112336",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112337",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112338",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112339",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112340",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112341",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112342",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112343",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112344",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112345",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112346",28,1,0,1,13,2,27,5,2,2,0,0
"ENSMUSG00000112347",0,0,20,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112348",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112349",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112350",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112351",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112352",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112353",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112354",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112355",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112357",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112358",0,39,3,0,0,0,0,0,37,7,1,17
"ENSMUSG00000112359",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112360",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112361",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112362",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112363",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112364",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112366",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112367",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112368",0,5,0,0,0,0,0,15,15,0,0,0
"ENSMUSG00000112369",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112370",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112371",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112372",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112373",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112374",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112375",23,45,37,7,15,3,23,7,88,22,18,33
"ENSMUSG00000112376",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112377",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112378",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112379",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112380",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112381",0,0,0,1,3,0,0,1,0,0,0,0
"ENSMUSG00000112382",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112383",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112384",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112385",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112386",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112387",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112388",0,0,0,0,13,0,0,0,0,0,0,0
"ENSMUSG00000112389",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112390",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112391",0,0,16,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112392",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112393",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112394",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112395",0,0,1,0,1,0,0,0,0,0,0,0
"ENSMUSG00000112396",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112397",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112398",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112399",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112400",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112401",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112402",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112403",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112404",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112405",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112406",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112407",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112408",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112409",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112410",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112411",0,0,0,0,0,6,0,18,0,0,8,0
"ENSMUSG00000112412",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112413",1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112414",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112415",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112416",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112417",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112418",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112419",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112420",0,8,0,0,0,0,0,2,0,21,0,22
"ENSMUSG00000112421",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112422",0,0,0,0,0,0,0,1,0,0,0,4
"ENSMUSG00000112423",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112424",0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000112425",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112426",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112427",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112428",3,2,10,1,8,0,0,6,2,5,2,1
"ENSMUSG00000112429",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112430",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112431",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112432",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112433",0,11,4,0,0,42,0,16,5,0,12,0
"ENSMUSG00000112434",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112435",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112436",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112437",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112438",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112439",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112440",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112441",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112442",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112443",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112444",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112445",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112446",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112447",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112448",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112449",0,0,0,0,0,0,0,0,0,0,0,0
