"","GSM7708682","GSM7708683","GSM7708684","GSM7708685","GSM7708686","GSM7708687","GSM7708688","GSM7708689","GSM7708690"
"ENSMUSG00000073970",0,0,0,0,0,0,0,0,0
"ENSMUSG00000073971",0,0,0,0,0,0,0,0,0
"ENSMUSG00000073972",0,0,0,0,0,0,0,0,0
"ENSMUSG00000073973",0,0,0,0,0,0,0,0,0
"ENSMUSG00000073974",0,0,0,0,0,0,0,0,0
"ENSMUSG00000073975",0,0,0,0,1,0,0,0,0
"ENSMUSG00000073976",0,0,0,0,0,0,0,0,0
"ENSMUSG00000073977",0,0,0,0,0,0,0,0,0
"ENSMUSG00000073978",0,0,0,0,0,0,0,0,0
"ENSMUSG00000073979",0,0,0,0,0,0,0,0,0
"ENSMUSG00000073980",0,0,0,1,0,0,0,0,0
"ENSMUSG00000073982",178,215,162,218,180,242,115,218,134
"ENSMUSG00000073985",58,28,23,26,53,57,22,13,11
"ENSMUSG00000073987",141,177,157,120,133,158,103,100,76
"ENSMUSG00000073988",8793,9876,6497,9582,9660,11172,9859,11385,8622
"ENSMUSG00000073991",0,0,0,0,0,0,0,0,0
"ENSMUSG00000073997",0,0,0,0,0,0,0,0,0
"ENSMUSG00000073998",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074001",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074003",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074004",1,0,0,4,0,0,0,10,0
"ENSMUSG00000074006",2,1,4,0,2,3,0,2,1
"ENSMUSG00000074011",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074024",30,40,23,67,26,39,62,41,45
"ENSMUSG00000074026",0,0,1,0,0,0,0,0,0
"ENSMUSG00000074028",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074029",0,0,0,0,0,3,0,0,0
"ENSMUSG00000074030",147,222,234,269,256,288,235,273,163
"ENSMUSG00000074034",0,0,0,0,0,2,1,1,0
"ENSMUSG00000074037",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074039",0,0,0,1,0,0,0,0,0
"ENSMUSG00000074052",205,75,88,36,81,86,73,75,55
"ENSMUSG00000074059",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074060",0,1,2,0,0,0,1,0,0
"ENSMUSG00000074061",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074062",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074063",2614,2130,2196,2512,2292,2703,2983,2380,1156
"ENSMUSG00000074064",1418,1789,1199,1716,1478,1983,1306,1702,1211
"ENSMUSG00000074067",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074071",338,475,343,413,391,493,337,472,348
"ENSMUSG00000074088",163,186,112,228,102,193,118,186,92
"ENSMUSG00000074092",0,0,0,1,0,2,0,0,0
"ENSMUSG00000074093",258,333,225,348,314,342,239,311,209
"ENSMUSG00000074102",432,585,322,628,521,627,681,778,307
"ENSMUSG00000074108",0,0,0,0,0,0,0,1,0
"ENSMUSG00000074109",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074111",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074113",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074115",511,550,199,69,256,350,90,258,181
"ENSMUSG00000074121",0,1,0,0,1,2,0,0,0
"ENSMUSG00000074123",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074127",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074128",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074129",98,129,76,124,88,130,51,76,52
"ENSMUSG00000074136",8,1,2,6,5,9,12,4,4
"ENSMUSG00000074139",2,1,0,0,0,5,0,0,0
"ENSMUSG00000074141",13,23,5,20,6,17,2,7,12
"ENSMUSG00000074146",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074149",25,1,8,11,8,13,9,2,7
"ENSMUSG00000074151",258,257,244,217,199,386,187,155,189
"ENSMUSG00000074155",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074156",0,0,0,3,0,0,0,0,0
"ENSMUSG00000074158",70,63,51,95,67,71,53,37,64
"ENSMUSG00000074164",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074165",40,80,59,53,49,59,38,58,36
"ENSMUSG00000074166",90,82,60,92,58,94,68,66,55
"ENSMUSG00000074170",235,215,166,146,180,151,117,197,121
"ENSMUSG00000074171",13,24,11,23,15,33,8,17,19
"ENSMUSG00000074178",11,1,3,1,3,2,0,6,3
"ENSMUSG00000074179",1,0,0,0,0,0,0,0,0
"ENSMUSG00000074182",88,110,74,127,124,128,80,97,82
"ENSMUSG00000074183",6,5,0,212,11,19,6,4,2
"ENSMUSG00000074184",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074194",21,16,18,33,16,32,14,10,9
"ENSMUSG00000074195",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074196",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074199",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074203",16,9,9,10,20,15,14,20,9
"ENSMUSG00000074206",0,3,0,0,0,0,1,4,6
"ENSMUSG00000074207",39083,37594,25464,47016,32839,35342,29902,29288,17681
"ENSMUSG00000074211",300,314,207,216,317,321,183,280,156
"ENSMUSG00000074212",458,548,560,825,611,929,567,636,395
"ENSMUSG00000074213",39,26,29,9,38,25,9,20,12
"ENSMUSG00000074215",4,1,13,2,4,4,2,9,2
"ENSMUSG00000074217",15,9,13,8,2,10,0,10,7
"ENSMUSG00000074218",11,15,11,11,18,12,2,4,4
"ENSMUSG00000074219",48,70,60,141,110,113,43,79,37
"ENSMUSG00000074220",1,3,0,3,0,1,0,0,0
"ENSMUSG00000074221",241,374,212,338,315,405,283,342,167
"ENSMUSG00000074224",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074227",1177,1242,733,1184,1035,1234,786,1203,677
"ENSMUSG00000074228",0,1,0,0,0,0,0,0,0
"ENSMUSG00000074232",0,0,2,2,0,0,0,0,1
"ENSMUSG00000074235",6,9,11,4,2,12,7,14,11
"ENSMUSG00000074236",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074237",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074238",296,354,292,507,387,494,296,435,317
"ENSMUSG00000074240",210,315,84,9,42,42,13,5,4
"ENSMUSG00000074243",0,0,6,2,0,2,0,0,0
"ENSMUSG00000074247",406,397,291,464,338,439,382,497,206
"ENSMUSG00000074248",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074250",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074252",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074254",2,18,0,13,4,31,1,3,12
"ENSMUSG00000074256",1,0,0,2,0,0,0,0,0
"ENSMUSG00000074259",1,0,0,0,0,0,0,0,0
"ENSMUSG00000074261",0,0,0,0,0,0,2,0,1
"ENSMUSG00000074264",2735,3360,2819,2934,2899,3680,3274,4295,2816
"ENSMUSG00000074268",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074269",57,2,0,37,1,34,3,11,12
"ENSMUSG00000074272",2300,2667,2620,2622,2708,3104,2399,2870,2357
"ENSMUSG00000074274",0,0,0,0,0,2,0,0,0
"ENSMUSG00000074277",223,324,219,191,263,293,100,180,89
"ENSMUSG00000074280",3,6,0,1,0,2,0,0,0
"ENSMUSG00000074281",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074282",23,40,11,35,34,52,28,39,16
"ENSMUSG00000074283",32,47,75,113,88,90,53,82,51
"ENSMUSG00000074284",193,228,194,234,231,295,171,228,175
"ENSMUSG00000074291",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074292",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074300",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074305",130,198,127,306,205,298,181,248,156
"ENSMUSG00000074311",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074322",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074336",3868,3583,2274,3055,2755,3082,2388,3750,2175
"ENSMUSG00000074340",4,2,0,4,8,6,8,3,2
"ENSMUSG00000074342",13,5,1,4,11,16,8,6,6
"ENSMUSG00000074343",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074344",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074345",11,4,9,1,4,16,1,4,4
"ENSMUSG00000074346",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074354",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074355",16,7,18,7,23,18,16,18,2
"ENSMUSG00000074357",8,5,9,2,4,2,4,4,2
"ENSMUSG00000074358",61,68,88,87,83,64,52,78,43
"ENSMUSG00000074359",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074361",16,25,9,36,24,43,17,20,18
"ENSMUSG00000074364",26,57,32,55,32,53,25,34,27
"ENSMUSG00000074365",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074366",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074369",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074373",5701,1934,1600,254,2496,4537,1177,4657,4093
"ENSMUSG00000074375",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074377",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074378",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074384",13,7,8,7,17,9,0,17,5
"ENSMUSG00000074385",0,0,0,0,1,0,0,0,1
"ENSMUSG00000074388",0,2,0,3,0,1,3,5,0
"ENSMUSG00000074397",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074398",41,18,14,260,16,19,37,30,29
"ENSMUSG00000074403",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074404",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074405",240,257,224,345,280,277,234,259,133
"ENSMUSG00000074406",97,136,91,128,164,166,98,137,91
"ENSMUSG00000074412",1,0,0,0,0,1,0,0,0
"ENSMUSG00000074415",5,12,0,5,6,9,6,1,0
"ENSMUSG00000074417",0,0,0,0,0,2,0,0,2
"ENSMUSG00000074418",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074419",0,0,3,0,1,2,3,6,1
"ENSMUSG00000074420",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074424",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074433",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074434",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074435",3,0,0,2,5,3,0,0,2
"ENSMUSG00000074436",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074437",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074439",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074440",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074441",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074442",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074443",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074444",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074445",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074446",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074447",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074448",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074449",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074452",2,2,2,2,8,7,0,0,0
"ENSMUSG00000074454",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074457",289,304,198,353,313,342,243,328,211
"ENSMUSG00000074461",1,3,6,5,8,17,3,3,7
"ENSMUSG00000074465",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074466",194,122,106,113,163,170,119,121,127
"ENSMUSG00000074469",2,6,0,2,3,7,2,5,9
"ENSMUSG00000074472",3,9,14,26,9,7,7,6,8
"ENSMUSG00000074476",331,359,171,197,292,245,114,205,112
"ENSMUSG00000074479",1,4,1,1,2,2,1,1,2
"ENSMUSG00000074480",1,3,2,1,0,8,0,1,0
"ENSMUSG00000074482",0,0,1,1,1,1,2,0,0
"ENSMUSG00000074483",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074485",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074486",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074489",32,15,4,5,4,3,11,3,3
"ENSMUSG00000074491",587,943,543,893,585,913,589,649,411
"ENSMUSG00000074500",1,3,8,21,13,10,6,27,2
"ENSMUSG00000074501",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074502",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074505",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074506",2,1,1,2,1,0,1,0,1
"ENSMUSG00000074507",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074508",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074513",24,20,12,21,17,27,14,11,14
"ENSMUSG00000074516",2,2,1,7,3,4,2,4,0
"ENSMUSG00000074517",0,1,0,0,0,0,0,0,0
"ENSMUSG00000074519",57,57,46,78,97,96,87,70,47
"ENSMUSG00000074521",1556,2262,1074,1671,1218,2340,2154,1942,682
"ENSMUSG00000074527",0,0,0,4,3,1,1,0,3
"ENSMUSG00000074529",8,4,5,6,0,8,1,6,2
"ENSMUSG00000074547",0,0,1,0,0,0,0,1,0
"ENSMUSG00000074553",0,0,0,0,0,0,0,0,1
"ENSMUSG00000074555",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074569",2,0,0,0,0,1,0,0,0
"ENSMUSG00000074570",2,0,0,3,1,1,1,0,0
"ENSMUSG00000074575",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074576",145,195,90,193,134,215,123,200,83
"ENSMUSG00000074577",29,25,30,22,42,28,18,25,14
"ENSMUSG00000074578",136,161,85,93,118,103,60,84,61
"ENSMUSG00000074579",4,4,10,3,2,6,8,5,1
"ENSMUSG00000074580",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074582",974,1288,1116,1741,1440,1926,1246,1369,1071
"ENSMUSG00000074589",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074591",7,7,3,7,1,4,3,0,2
"ENSMUSG00000074593",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074594",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074595",1,0,0,0,0,0,2,0,0
"ENSMUSG00000074596",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074603",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074604",2,0,0,0,0,0,0,0,0
"ENSMUSG00000074607",7,11,7,6,13,14,3,3,4
"ENSMUSG00000074619",0,0,0,1,0,0,0,0,0
"ENSMUSG00000074620",0,0,0,1,0,0,0,0,0
"ENSMUSG00000074622",525,936,520,683,753,753,660,1143,919
"ENSMUSG00000074623",43,50,29,29,46,44,38,57,22
"ENSMUSG00000074625",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074627",28,21,15,12,20,39,14,29,13
"ENSMUSG00000074628",0,4,0,1,0,0,0,0,0
"ENSMUSG00000074629",5,6,7,13,5,16,4,3,9
"ENSMUSG00000074634",157,72,117,164,212,266,191,238,148
"ENSMUSG00000074635",6,0,3,16,7,12,6,7,2
"ENSMUSG00000074637",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074639",1021,1549,959,1634,1079,1772,2239,1785,1127
"ENSMUSG00000074643",1,0,0,2,0,0,0,0,0
"ENSMUSG00000074646",38,25,12,43,38,39,20,13,35
"ENSMUSG00000074647",3,0,0,0,0,0,0,3,0
"ENSMUSG00000074649",279,313,199,241,172,283,165,217,168
"ENSMUSG00000074650",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074651",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074652",3,1,1,1,0,0,0,1,0
"ENSMUSG00000074653",0,0,2,0,0,0,0,0,0
"ENSMUSG00000074655",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074656",1013,1355,880,1616,1099,1600,1054,1260,855
"ENSMUSG00000074657",30,28,15,58,48,33,32,53,37
"ENSMUSG00000074664",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074665",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074671",2,6,4,1,8,9,5,1,3
"ENSMUSG00000074673",0,0,3,0,0,0,0,0,0
"ENSMUSG00000074676",1,8,6,6,3,1,3,3,5
"ENSMUSG00000074677",3,2,0,0,0,1,1,0,7
"ENSMUSG00000074678",0,0,0,0,0,3,0,0,1
"ENSMUSG00000074679",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074680",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074681",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074682",6,5,10,7,17,6,6,5,8
"ENSMUSG00000074695",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074698",1067,1380,1035,1436,1216,1566,1041,1361,923
"ENSMUSG00000074704",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074715",5,0,0,5,0,2,0,2,0
"ENSMUSG00000074720",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074731",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074733",249,258,191,271,255,313,231,225,174
"ENSMUSG00000074734",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074736",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074737",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074738",2,8,1,4,4,0,6,9,5
"ENSMUSG00000074739",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074743",17,53,41,159,24,79,62,53,51
"ENSMUSG00000074746",531,687,692,928,760,1085,673,746,476
"ENSMUSG00000074748",1515,2025,1620,2188,2045,2798,1863,2210,1542
"ENSMUSG00000074749",166,196,118,148,120,180,113,183,127
"ENSMUSG00000074753",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074754",140,131,102,154,97,188,106,132,73
"ENSMUSG00000074758",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074763",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074764",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074766",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074768",110387,120691,57881,24750,92992,84083,63114,111579,82474
"ENSMUSG00000074771",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074776",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074780",0,0,0,0,1,0,0,0,0
"ENSMUSG00000074781",420,581,423,542,468,653,454,478,369
"ENSMUSG00000074782",72,70,36,69,58,73,71,53,50
"ENSMUSG00000074783",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074785",126,205,215,408,327,323,248,297,200
"ENSMUSG00000074793",5,11,11,20,17,18,15,9,9
"ENSMUSG00000074794",2491,2746,1996,1976,2204,2168,2109,2548,1965
"ENSMUSG00000074796",3,0,1,5,1,2,0,0,0
"ENSMUSG00000074797",378,426,282,499,348,471,318,426,214
"ENSMUSG00000074800",0,0,0,0,0,3,0,0,0
"ENSMUSG00000074802",60,51,41,80,37,65,43,30,26
"ENSMUSG00000074804",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074805",3,1,3,0,0,0,2,3,0
"ENSMUSG00000074807",99,117,115,89,98,152,74,118,95
"ENSMUSG00000074811",91,114,105,97,102,127,85,90,42
"ENSMUSG00000074812",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074813",13,17,0,5,1,13,13,21,10
"ENSMUSG00000074817",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074818",5,6,3,1,2,7,1,3,3
"ENSMUSG00000074824",27,22,18,31,11,16,22,33,15
"ENSMUSG00000074825",62,108,76,80,72,102,51,64,65
"ENSMUSG00000074826",188,60,55,55,46,44,45,57,42
"ENSMUSG00000074829",258,301,270,363,250,332,185,268,175
"ENSMUSG00000074830",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074832",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074837",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074841",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074846",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074847",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074849",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074852",0,0,7,0,0,0,0,0,0
"ENSMUSG00000074862",17,18,19,19,13,23,16,13,5
"ENSMUSG00000074863",5,10,0,12,5,0,6,13,3
"ENSMUSG00000074865",6,7,2,2,3,1,5,0,1
"ENSMUSG00000074867",2,1,4,1,3,2,1,2,5
"ENSMUSG00000074868",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074870",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074871",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074872",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074874",0,0,0,0,0,0,1,0,1
"ENSMUSG00000074877",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074881",0,0,0,1,1,1,0,0,0
"ENSMUSG00000074882",2664,3719,2206,3612,2413,3653,4276,5595,3640
"ENSMUSG00000074884",1275,1404,1053,1382,1323,1452,1122,1464,807
"ENSMUSG00000074885",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074886",278,278,251,359,292,318,253,337,222
"ENSMUSG00000074887",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074890",166,221,107,193,181,300,175,213,144
"ENSMUSG00000074892",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074895",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074896",212,156,94,40,125,208,71,122,115
"ENSMUSG00000074899",6,1,1,0,0,1,2,0,3
"ENSMUSG00000074903",2,12,16,4,5,8,7,1,10
"ENSMUSG00000074909",303,354,355,426,324,388,199,359,257
"ENSMUSG00000074912",9,7,1,5,2,11,9,0,5
"ENSMUSG00000074913",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074916",25,32,10,13,13,25,17,24,15
"ENSMUSG00000074918",185,187,169,288,237,260,190,227,123
"ENSMUSG00000074919",1,2,1,0,0,0,0,0,0
"ENSMUSG00000074922",120,138,66,173,182,176,137,241,117
"ENSMUSG00000074923",9,10,5,5,8,14,2,15,3
"ENSMUSG00000074925",206,317,348,464,298,465,324,369,226
"ENSMUSG00000074928",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074930",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074934",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074939",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074945",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074946",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074947",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074952",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074955",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074965",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074966",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074968",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074971",3,8,7,3,4,7,2,2,8
"ENSMUSG00000074973",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074978",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074981",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074987",0,0,0,1,0,0,0,0,0
"ENSMUSG00000074991",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074994",314,356,324,461,376,507,350,341,235
"ENSMUSG00000074995",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074996",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074997",0,0,0,0,0,0,0,0,0
"ENSMUSG00000074999",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075000",396,440,310,430,350,431,263,398,256
"ENSMUSG00000075002",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075010",813,780,608,633,667,1356,568,886,688
"ENSMUSG00000075012",0,0,0,0,0,2,0,3,2
"ENSMUSG00000075020",7,5,13,18,9,17,6,7,6
"ENSMUSG00000075023",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075025",1,1,3,0,0,5,3,0,1
"ENSMUSG00000075027",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075028",13,9,8,5,5,12,13,8,12
"ENSMUSG00000075029",2,0,0,0,0,0,0,1,0
"ENSMUSG00000075031",0,2,0,0,0,4,5,3,0
"ENSMUSG00000075033",5,8,8,12,8,3,7,6,3
"ENSMUSG00000075040",110,119,85,153,114,173,125,121,90
"ENSMUSG00000075042",0,0,0,0,4,0,0,0,0
"ENSMUSG00000075044",8,0,0,4,2,5,2,2,9
"ENSMUSG00000075045",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075046",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075053",3,5,5,9,6,3,6,7,2
"ENSMUSG00000075054",162,221,143,392,374,326,208,227,213
"ENSMUSG00000075061",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075062",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075063",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075064",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075065",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075066",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075067",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075068",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075069",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075070",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075072",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075073",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075074",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075075",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075078",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075079",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075081",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075084",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075085",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075086",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075088",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075090",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075091",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075092",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075093",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075094",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075095",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075097",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075099",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075100",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075101",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075102",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075104",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075105",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075107",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075110",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075111",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075112",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075113",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075114",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075115",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075117",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075119",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075120",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075121",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075122",1,8,13,1,2,4,9,9,5
"ENSMUSG00000075125",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075126",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075127",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075128",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075132",0,0,0,0,0,0,0,0,0
"ENSMUSG00000075133",0,0,0,0,0,0,0,0,0
