"","Mmus_C57-6J_ADR_FLT_Rep1_M23","Mmus_C57-6J_ADR_FLT_Rep2_M24","Mmus_C57-6J_ADR_FLT_Rep3_M25","Mmus_C57-6J_ADR_FLT_Rep4_M26","Mmus_C57-6J_ADR_FLT_Rep5_M27","Mmus_C57-6J_ADR_FLT_Rep6_M28","Mmus_C57-6J_ADR_GC_Rep1_M33","Mmus_C57-6J_ADR_GC_Rep2_M34","Mmus_C57-6J_ADR_GC_Rep3_M35","Mmus_C57-6J_ADR_GC_Rep4_M36","Mmus_C57-6J_ADR_GC_Rep5_M37"
"ENSMUSG00000100513",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100514",0,2.73,0,0,0,5.56,6.05,0,2.06,0,0
"ENSMUSG00000100515",4,6,6,19,10,8,10,8,5,9,7
"ENSMUSG00000100516",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100517",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100518",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100519",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100520",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100521",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100522",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100523",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100524",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100525",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100526",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100527",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100528",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100529",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100530",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100531",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100532",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100533",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100534",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100535",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100537",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100538",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100539",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100540",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100541",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100542",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100543",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100544",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100546",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100547",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100548",0,2,1,1,0,3,0,0,1,3,4
"ENSMUSG00000100549",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100550",0,0,0,0,0,0,0,0,1,0,1
"ENSMUSG00000100551",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100552",1,0,0,0,3,1,0,0,0,1,0
"ENSMUSG00000100553",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100554",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100555",4,1,6,0,9,3,6.01,2,4,5,5
"ENSMUSG00000100556",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100557",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100558",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100559",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100560",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100561",0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000100562",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100563",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100564",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100565",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100566",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100567",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100568",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100569",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100570",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100571",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100572",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100573",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100574",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100575",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100576",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100577",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100578",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100579",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100580",0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000100581",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100582",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100583",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100584",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100585",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100586",11,10,5.89,10.82,3.49,1.52,5.14,3,2.56,6,5
"ENSMUSG00000100587",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100588",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100589",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100590",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100591",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100592",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100593",0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000100594",125,118,137,124,150,79,107,99,114,115,114
"ENSMUSG00000100595",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100596",0,0,4,0,0,0,2,0,1,0,0
"ENSMUSG00000100597",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100598",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100599",7,20,9,15,8,6,12,9,5,13,9
"ENSMUSG00000100600",0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000100602",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100603",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100604",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100605",0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000100606",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100607",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100608",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100609",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100610",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100611",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100613",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100614",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100615",0,3.02,2.01,3.02,2.01,0,2.03,4.11,2.01,2.01,0
"ENSMUSG00000100616",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100617",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100619",0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000100620",4,2,2,0,2,1,4,1,0,1,6
"ENSMUSG00000100621",0,3.59,6.17,5.25,4.83,3.8,2.62,0,1.24,2.58,0
"ENSMUSG00000100622",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100623",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100624",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100625",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100626",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100627",8,8,9,4,6,4,7,6,4,9,6
"ENSMUSG00000100628",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100629",0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000100630",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100632",5,4,4,3,8,6,4,13,3,5,7
"ENSMUSG00000100634",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100635",9,20,27,21,28,10,21,10,18,35,10
"ENSMUSG00000100636",0,0,0,0,2,0,0,0,0,0,0
"ENSMUSG00000100637",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100639",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100640",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100641",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100642",50.65,58.09,81,72.4,42.02,62.67,35.86,38.47,16.82,38.82,71.63
"ENSMUSG00000100643",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100644",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100645",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100646",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100647",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100648",0,0,0,0,0,1,0,0,2,0,1
"ENSMUSG00000100649",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100650",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100651",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100652",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100653",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100654",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100655",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100656",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100657",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100658",47,32,53,38,26,21,31,69,14,50,44
"ENSMUSG00000100659",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100660",0,0,0,0,0,0,0,0,4,0,1
"ENSMUSG00000100661",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100662",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100663",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100664",2,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000100665",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100666",2,4,0,0,0,0,0,0,2,0,0
"ENSMUSG00000100667",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100668",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100669",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100670",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100671",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100672",2,3,0,1,0,2,1,3,1,0,0
"ENSMUSG00000100673",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100674",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100675",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100676",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100677",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100678",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100679",0,0,0,0,0,0,5.15,0,4.04,0,0
"ENSMUSG00000100680",31,28,27,27,34,30,41,33,32,38,27
"ENSMUSG00000100681",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100682",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100683",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100684",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100685",1,0,0,1,0,0,0,1,0,1,1
"ENSMUSG00000100687",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100689",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100690",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100691",376,394,326,412,472,346,292,369,371,532,465
"ENSMUSG00000100692",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100693",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100694",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100695",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100696",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100697",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100698",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100699",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100700",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100701",0,0,0,2,2,0,1,0,1,0,0
"ENSMUSG00000100702",0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000100703",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100704",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100705",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100706",3,3,17,5,7,5,13,3,2,3,1
"ENSMUSG00000100707",12,21,22,27,27,16,8,18,2,22,14
"ENSMUSG00000100708",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100709",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100710",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100711",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100712",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100713",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100714",1,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000100715",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100716",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100717",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100718",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100719",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100720",1.28,1.23,0,0,0,0,1.28,0,0,2.56,0
"ENSMUSG00000100721",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100722",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100723",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100724",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100726",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100727",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100728",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100730",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100731",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100732",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100733",0,3,2,5,5,0,2,0,3,0,5
"ENSMUSG00000100734",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100736",11,3,12,3,1,5,4,2,2,5,4
"ENSMUSG00000100737",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100738",0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000100739",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100740",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100741",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100742",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100743",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100744",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100745",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100746",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100747",19,13,8,14,16,14,19,19,10,12,5
"ENSMUSG00000100749",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100750",1,1,2,4,0,2,3,3,3,2,2
"ENSMUSG00000100751",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100752",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100753",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100754",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100755",984.42,1165.82,1253.56,1592.83,1057.22,1223.2,1402.55,1153.18,1413.1,1175.46,1057.18
"ENSMUSG00000100756",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100757",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100758",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100759",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100760",0,1,1,0,0,0,0,0,0,0,0
"ENSMUSG00000100761",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100762",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100763",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100764",1,3,5,7,2,4,5,2,2,1,5
"ENSMUSG00000100765",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100767",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100768",16,7,15,8,13,5,11,7,8,15,12
"ENSMUSG00000100769",1,0,7,5,3,3,1,3,3,6,3
"ENSMUSG00000100770",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100771",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100772",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100773",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100774",29,8.2,9.46,51.42,14.4,8.12,16.46,24.06,11.58,0,16.25
"ENSMUSG00000100775",0,0,2,0,0,0,0,0,0,0,0
"ENSMUSG00000100776",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100777",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100778",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100779",0,0,0,2,2,2,1,0,0,0,0
"ENSMUSG00000100780",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100781",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100782",0,1,0,0,1,0,0,0,0,1,0
"ENSMUSG00000100783",3,1,1,2,1,4,1,0,1,2,0
"ENSMUSG00000100784",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100785",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100786",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100787",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100788",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100789",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100790",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100791",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100792",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100794",0,0,0,1.09,0,0,0,0,0,0,0
"ENSMUSG00000100795",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100796",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100797",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100798",0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000100799",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100800",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100801",697.44,756.68,789.87,403.95,459.18,464.63,881.84,757.11,991.1,478.46,492.57
"ENSMUSG00000100802",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100803",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100804",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100805",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100806",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100807",0,1,1,0,0,0,0,2,0,2,0
"ENSMUSG00000100808",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100809",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100810",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100811",0,0,2,0,0,1,2,1,0,0,0
"ENSMUSG00000100812",0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000100813",5,6,2,2,2,0,2,4,0,7,3
"ENSMUSG00000100814",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100815",11,0,9,7,7,4,8,2,4,2,4
"ENSMUSG00000100816",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100817",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100818",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100819",0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000100820",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100821",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100822",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100823",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100825",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100826",66,71,74,72,53,36,31,40,31,43,52
"ENSMUSG00000100827",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100830",1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100831",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100832",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100833",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100834",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100835",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100836",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100837",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100838",0,0,0,4.8,0,2.38,4.35,0,0,7.26,2.22
"ENSMUSG00000100839",0,0,1,0,1.75,0,0,1,0,0,0
"ENSMUSG00000100841",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100842",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100843",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100844",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100845",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100846",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100847",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100848",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100849",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100850",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100851",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100852",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100853",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100854",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100856",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100857",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100858",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100859",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100860",0,0,0,0,0,0,0,2,0,0,0
"ENSMUSG00000100861",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100862",284024.91,266598.05,226557.29,190195.27,326262.62,174738.18,212495.77,223439.78,282710.88,218511.14,286017.71
"ENSMUSG00000100863",19.03,24.25,12.13,31.8,14.34,28.05,12.05,26.91,14.01,21.87,14.76
"ENSMUSG00000100864",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100865",5.62,6.53,7.68,9.95,3.72,3.54,2.33,1.06,3.3,3,5.69
"ENSMUSG00000100866",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100867",36,15,37,37,26,17,17,18,10,27,36
"ENSMUSG00000100868",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100869",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100870",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100871",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100872",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100873",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100874",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100875",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100876",17,7,13,17,15,21,7,25,13,16,14
"ENSMUSG00000100877",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100878",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100879",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100880",13,9,11,6,8,2,7,6,19,6,7
"ENSMUSG00000100881",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100882",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100883",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100884",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100885",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100886",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100887",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100888",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100889",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100890",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100891",1,0,0,0,0,0,0,1,0,1,2
"ENSMUSG00000100892",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100893",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100894",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100895",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100896",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100897",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100898",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100899",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100900",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100901",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100902",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100903",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100904",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100905",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100906",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100907",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100908",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100910",0,1,0,1,0,0,0,0,2,1,0
"ENSMUSG00000100911",4,1,2,4,1,2,2,0,1,1,2
"ENSMUSG00000100912",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100913",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100914",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100915",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100916",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100917",0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100918",0,0,0,0,0,0,0,0,0,0,0
