"","RR10_BRN_FLT_WT_F1","RR10_BRN_FLT_WT_F3","RR10_BRN_FLT_WT_F5","RR10_BRN_FLT_WT_F7","RR10_BRN_GC_WT_G1","RR10_BRN_GC_WT_G3","RR10_BRN_GC_WT_G5","RR10_BRN_GC_WT_G7","RR10_BRN_GC_WT_G9"
"ENSMUSG00000022472",2478,3212,3503,5918,5388,6030,5078,2572,6375
"ENSMUSG00000022474",2415,3567,3989,6265,5232,5057,6238,3366,6557
"ENSMUSG00000022475",175,304,243,823,483,428,429,242,494
"ENSMUSG00000022476",1342,1846,1636,2649,2240,2151,2803,1650,3448
"ENSMUSG00000022477",15035,19914,22463,34851,37443,36827,34057,19698,40781
"ENSMUSG00000022479",24,28,10,38,28,7,33,2,16
"ENSMUSG00000022483",7,0,6,12,119,180,83,4,14
"ENSMUSG00000022484",0,0,0,0,0,0,0,0,0
"ENSMUSG00000022485",0,0,0,0,1,5,7,0,1
"ENSMUSG00000022487",1,9,5,9,13,11,15,9,4
"ENSMUSG00000022488",420,511,392,1047,360,437,475,634,809
"ENSMUSG00000022489",9080,3563,5272,18157,1372,2250,3644,19238,7351
"ENSMUSG00000022490",1942,2492,1532,3520,633,758,1498,1952,2665
"ENSMUSG00000022491",2,1,4,2,2,5,3,0,4
"ENSMUSG00000022494",567,727,1995,2344,1440,833,1364,1274,2225
"ENSMUSG00000022496",11,4,14,22,11,4,9,20,23
"ENSMUSG00000022498",671,871,1072,1679,2922,2479,2261,872,1900
"ENSMUSG00000022500",604,381,810,1275,1362,2572,1576,741,1670
"ENSMUSG00000022501",0,0,0,1,0,0,0,0,0
"ENSMUSG00000022503",251,326,261,527,681,651,558,269,631
"ENSMUSG00000022504",10,11,7,32,44,45,46,7,16
"ENSMUSG00000022505",418,1441,1083,1448,1764,1055,1544,879,964
"ENSMUSG00000022507",1985,2719,3232,5539,6328,5620,5182,2393,6072
"ENSMUSG00000022508",528,1043,1061,1547,4937,6967,4456,603,1715
"ENSMUSG00000022510",22,24,92,85,112,183,104,72,126
"ENSMUSG00000022512",99,19,51,71,13,50,84,42,210
"ENSMUSG00000022514",657,723,1401,1592,1384,2634,1607,730,2456
"ENSMUSG00000022515",313,485,633,1265,1666,1488,1359,474,994
"ENSMUSG00000022516",478,619,665,1292,1926,1693,1918,816,1520
"ENSMUSG00000022517",3700,5501,6258,10002,10796,9378,10413,4152,11399
"ENSMUSG00000022518",0,0,0,0,0,0,0,0,1
"ENSMUSG00000022519",204,277,263,369,881,809,680,232,412
"ENSMUSG00000022521",3392,5522,5578,10789,12121,11653,9467,3572,9630
"ENSMUSG00000022523",4791,7125,6389,10620,12203,10624,10432,4955,15846
"ENSMUSG00000022525",497,857,711,1061,531,431,812,844,1691
"ENSMUSG00000022526",1196,1620,1664,2411,2627,2559,2403,1123,3040
"ENSMUSG00000022528",142,376,281,311,237,340,370,207,451
"ENSMUSG00000022529",325,480,570,970,2295,1941,1447,512,1131
"ENSMUSG00000022533",1759,2352,2466,5393,7243,6161,5316,2121,5185
"ENSMUSG00000022534",1,0,0,0,0,0,1,2,0
"ENSMUSG00000022536",4949,6425,7004,10657,16616,13325,13495,5511,13433
"ENSMUSG00000022537",828,3322,2494,5508,518,515,2176,1254,2074
"ENSMUSG00000022538",315,337,457,697,1466,1293,1114,433,922
"ENSMUSG00000022540",823,884,1424,2275,2436,2314,2477,1204,2407
"ENSMUSG00000022542",0,0,0,0,0,0,0,0,0
"ENSMUSG00000022543",0,0,0,0,0,0,0,0,0
"ENSMUSG00000022544",93,151,148,245,309,317,273,182,274
"ENSMUSG00000022545",285,382,547,939,1711,1397,1159,459,1052
"ENSMUSG00000022546",524,683,597,1035,797,965,921,399,1089
"ENSMUSG00000022548",3877,3955,4727,9466,16308,21225,18062,4558,10759
"ENSMUSG00000022550",139,140,212,433,464,444,492,229,344
"ENSMUSG00000022551",2938,3746,3707,5905,10498,9719,8612,3445,8440
"ENSMUSG00000022552",425,532,684,1196,1688,1479,1363,602,1237
"ENSMUSG00000022553",1546,1855,1938,2882,5530,4758,4515,1906,3282
"ENSMUSG00000022554",45,95,87,215,538,453,350,106,196
"ENSMUSG00000022555",224,301,315,619,1079,877,872,300,646
"ENSMUSG00000022556",314,550,686,1011,1311,1234,1177,469,920
"ENSMUSG00000022557",739,1050,1010,1455,2192,1753,1986,722,1812
"ENSMUSG00000022558",1202,1848,2478,3818,5538,3917,4435,1015,3101
"ENSMUSG00000022559",177,169,203,456,564,509,519,259,434
"ENSMUSG00000022560",127,227,245,534,601,468,413,232,432
"ENSMUSG00000022561",368,431,675,956,1463,1252,1363,500,1085
"ENSMUSG00000022562",867,1314,1269,2000,2303,2153,2411,900,1992
"ENSMUSG00000022564",3324,3918,5015,8740,17742,13118,12462,4256,9285
"ENSMUSG00000022565",4455,7393,6068,13081,7537,6700,8685,3617,10250
"ENSMUSG00000022568",791,1165,1312,1921,1796,1878,1958,924,1855
"ENSMUSG00000022570",276,372,397,705,1064,975,862,377,823
"ENSMUSG00000022571",315,402,562,721,982,985,1049,448,949
"ENSMUSG00000022574",90,170,169,251,264,272,273,161,253
"ENSMUSG00000022575",58,60,45,113,88,77,68,53,86
"ENSMUSG00000022577",644,624,843,1856,317,396,1098,1364,2191
"ENSMUSG00000022579",4,0,0,0,3,0,0,1,1
"ENSMUSG00000022580",85,89,78,228,130,166,166,107,154
"ENSMUSG00000022582",0,0,0,0,0,0,0,0,0
"ENSMUSG00000022583",0,0,0,0,0,0,0,0,0
"ENSMUSG00000022584",1,1,0,3,4,0,3,4,0
"ENSMUSG00000022586",1,0,3,1,1,1,2,3,0
"ENSMUSG00000022587",3216,4744,2827,5967,5451,4849,5265,1991,6016
"ENSMUSG00000022589",0,1,0,0,0,0,1,3,1
"ENSMUSG00000022594",11511,15985,16390,22178,27293,18899,19501,12715,27672
"ENSMUSG00000022595",12,36,7,18,53,28,57,3,23
"ENSMUSG00000022596",0,0,0,0,3,0,0,0,0
"ENSMUSG00000022598",6,7,2,5,15,2,5,0,1
"ENSMUSG00000022601",1156,1493,2084,3389,5982,4971,4629,1848,4946
"ENSMUSG00000022602",8426,9517,10231,3687,1066,888,12184,1944,33663
"ENSMUSG00000022603",10,13,2,0,0,0,8,0,1
"ENSMUSG00000022604",555,611,984,1744,2687,2561,1937,857,1760
"ENSMUSG00000022607",4215,6047,5243,8803,6962,6728,7224,4006,10586
"ENSMUSG00000022610",55,118,86,175,1810,1328,873,122,237
"ENSMUSG00000022613",0,0,0,0,0,0,0,0,0
"ENSMUSG00000022614",217,257,294,557,832,757,724,296,605
"ENSMUSG00000022615",0,1,3,3,17,11,8,1,2
"ENSMUSG00000022617",11,21,14,25,95,86,94,7,21
"ENSMUSG00000022619",5838,7320,9452,15742,22698,19524,18353,6795,15141
"ENSMUSG00000022620",473,658,963,1148,1891,1744,1597,668,1469
"ENSMUSG00000022621",107,131,188,440,604,519,459,283,575
"ENSMUSG00000022622",13,23,15,48,24,6,12,15,12
"ENSMUSG00000022623",7638,14310,13674,15936,11090,8249,11216,7071,11624
"ENSMUSG00000022629",4660,10250,7435,10816,11733,11987,10832,4720,15077
"ENSMUSG00000022634",2349,3445,2653,4118,3092,3170,3668,2165,6056
"ENSMUSG00000022635",668,733,863,1527,1780,1738,1533,732,1698
"ENSMUSG00000022636",4487,6790,3975,13573,5346,5294,8904,9156,12445
"ENSMUSG00000022637",473,630,677,1301,2387,2041,1691,478,1482
"ENSMUSG00000022639",299,238,356,782,297,523,520,531,407
"ENSMUSG00000022641",1453,1878,2090,3647,5552,5122,3610,2024,3384
"ENSMUSG00000022650",0,0,0,1,0,0,0,0,0
"ENSMUSG00000022651",0,1,0,1,3,0,0,0,0
"ENSMUSG00000022652",1,18,1,6,5,2,7,2,13
"ENSMUSG00000022656",1497,2661,1502,2789,2832,3073,2697,944,3713
"ENSMUSG00000022657",0,2,1,1,2,0,0,1,3
"ENSMUSG00000022658",4141,6124,6201,8335,21759,16034,16546,3870,10864
"ENSMUSG00000022659",0,0,0,2,1,0,1,1,0
"ENSMUSG00000022661",925,1247,1740,3679,2588,2461,2700,1773,3951
"ENSMUSG00000022663",833,1239,1160,2096,2920,2888,2683,1019,2197
"ENSMUSG00000022664",914,1329,1704,3060,3720,3545,3356,1150,2800
"ENSMUSG00000022665",471,544,341,407,253,482,478,372,1215
"ENSMUSG00000022667",27,69,34,42,52,44,73,23,47
"ENSMUSG00000022668",517,630,679,1225,1590,1555,1280,681,1472
"ENSMUSG00000022671",429,556,593,889,1321,1172,1210,609,1205
"ENSMUSG00000022672",1008,1265,1552,2994,3022,2605,2229,1410,2825
"ENSMUSG00000022673",240,333,351,664,1573,1245,988,382,773
"ENSMUSG00000022674",1198,1799,2136,3132,4043,3154,3258,1782,4620
"ENSMUSG00000022676",7,12,9,21,10,11,14,11,23
"ENSMUSG00000022677",2042,3149,2421,3980,4607,4427,4585,2580,4959
"ENSMUSG00000022678",633,941,1175,1543,1393,2325,1897,921,1976
"ENSMUSG00000022679",2566,3273,2703,4559,4281,3382,3697,2663,5470
"ENSMUSG00000022680",2443,3191,3890,5848,8562,8049,6612,3306,7541
"ENSMUSG00000022681",1089,1334,1341,2214,2325,2573,2546,1575,2765
"ENSMUSG00000022682",1633,2182,2458,3752,6059,5497,4909,2120,4877
"ENSMUSG00000022683",0,0,0,0,0,0,0,0,0
"ENSMUSG00000022684",690,827,1011,1571,3249,2701,2328,1007,2109
"ENSMUSG00000022685",523,635,626,1307,1586,1435,1196,709,1489
"ENSMUSG00000022686",32,20,27,61,2612,1660,1318,42,72
"ENSMUSG00000022687",703,1080,766,1536,9210,7568,6061,257,1814
"ENSMUSG00000022696",553,1048,616,1466,2284,2481,1780,203,1778
"ENSMUSG00000022698",2245,3230,3068,5215,7624,8125,6533,2629,8263
"ENSMUSG00000022701",78,130,129,305,267,336,230,144,232
"ENSMUSG00000022702",305,504,427,769,573,621,568,282,794
"ENSMUSG00000022704",228,278,327,696,1047,943,654,367,594
"ENSMUSG00000022705",1,0,19,75,7,26,7,84,16
"ENSMUSG00000022706",552,568,631,936,1664,1622,1564,720,1700
"ENSMUSG00000022707",437,577,984,928,1011,1027,1014,436,1178
"ENSMUSG00000022708",6681,10882,11053,19178,15878,20172,14529,8561,15964
"ENSMUSG00000022710",3322,5076,4850,8219,11925,10610,8807,3625,8769
"ENSMUSG00000022711",322,442,404,858,1083,879,721,410,678
"ENSMUSG00000022715",12,22,21,26,27,4,16,17,23
"ENSMUSG00000022718",403,613,632,1432,2234,1922,1556,633,1227
"ENSMUSG00000022721",331,405,491,994,1748,1616,1354,549,959
"ENSMUSG00000022722",736,789,886,1495,2887,2398,2344,1365,2228
"ENSMUSG00000022723",566,623,596,1432,1007,1680,1279,1132,1299
"ENSMUSG00000022724",190,244,272,510,309,323,344,313,516
"ENSMUSG00000022738",0,0,0,8,0,0,0,2,0
"ENSMUSG00000022742",457,395,576,1329,1494,1998,1455,543,1216
"ENSMUSG00000022744",1083,1424,1394,2556,3390,3467,2978,1357,3517
"ENSMUSG00000022747",432,680,513,927,1710,2041,1610,487,1362
"ENSMUSG00000022748",236,209,257,401,498,433,612,286,590
"ENSMUSG00000022749",981,1123,988,2144,3673,2947,2249,1318,2796
"ENSMUSG00000022750",1370,1916,2075,3372,4960,3608,3773,1687,4111
"ENSMUSG00000022751",320,366,405,750,709,710,658,620,848
"ENSMUSG00000022752",6929,5702,6287,14840,13596,13344,11111,12474,16577
"ENSMUSG00000022753",0,0,6,15,15,15,3,3,4
"ENSMUSG00000022754",37,71,29,64,91,63,79,30,65
"ENSMUSG00000022755",0,0,0,0,2,0,0,0,1
"ENSMUSG00000022756",837,1233,1043,2613,1624,1059,1361,1117,2320
"ENSMUSG00000022757",864,989,1247,2024,4276,3480,3178,1105,2527
"ENSMUSG00000022758",31,29,77,87,59,124,96,53,104
"ENSMUSG00000022759",20,24,40,17,7,63,31,36,36
"ENSMUSG00000022760",247,354,345,606,729,773,775,335,656
"ENSMUSG00000022761",2770,3710,4082,6265,4363,4344,4704,2698,6710
"ENSMUSG00000022762",4083,4411,3929,9402,5717,4394,5814,4040,11362
"ENSMUSG00000022763",1127,1738,1775,2890,6956,4543,4364,1291,2870
"ENSMUSG00000022765",675,964,971,1529,2085,1974,1690,867,1856
"ENSMUSG00000022766",124,163,151,448,583,759,750,148,455
"ENSMUSG00000022768",31,43,36,90,22,21,40,23,58
"ENSMUSG00000022769",162,267,280,355,615,864,1340,316,467
"ENSMUSG00000022770",7837,10641,6295,15904,15322,14729,14342,9440,15876
"ENSMUSG00000022771",1241,1399,1713,3139,3596,3174,3374,1677,3306
"ENSMUSG00000022772",2109,2833,3364,5100,5474,5131,5060,2436,6373
"ENSMUSG00000022773",612,709,603,1365,129,130,519,424,1231
"ENSMUSG00000022774",758,1049,1071,1966,2707,2299,2282,1113,2407
"ENSMUSG00000022779",529,773,853,1664,2545,1897,1827,653,1357
"ENSMUSG00000022780",14,23,12,29,67,45,40,7,23
"ENSMUSG00000022781",1490,2180,2401,3784,5640,5377,4521,2140,4030
"ENSMUSG00000022783",143,112,167,265,35,100,111,194,266
"ENSMUSG00000022787",172,211,256,403,573,630,521,235,566
"ENSMUSG00000022788",1619,2706,2625,4712,9507,9169,6868,2174,4912
"ENSMUSG00000022789",4240,4992,7021,11817,15378,13389,12282,5567,14024
"ENSMUSG00000022790",947,1250,1435,3354,1285,2412,1896,1649,2560
"ENSMUSG00000022791",5992,10727,9599,16253,6599,7152,10015,7489,15699
"ENSMUSG00000022792",339,413,494,699,761,832,757,409,953
"ENSMUSG00000022793",338,496,554,890,1182,1174,1191,630,1149
"ENSMUSG00000022797",3819,4224,3466,8167,10795,10092,6980,3082,10171
"ENSMUSG00000022798",0,0,0,0,0,0,0,0,0
"ENSMUSG00000022799",1010,1832,1376,2571,5523,4284,4181,1090,3032
"ENSMUSG00000022800",2045,2513,2981,4652,6203,5717,5596,2812,7607
"ENSMUSG00000022801",1569,2606,2907,4231,7604,7500,6615,2431,5228
"ENSMUSG00000022802",228,301,378,871,1313,1211,848,427,844
"ENSMUSG00000022803",1,7,9,17,20,7,10,7,9
"ENSMUSG00000022805",26,12,59,31,25,61,35,59,48
"ENSMUSG00000022807",439,750,702,1219,1876,1632,1359,680,1573
"ENSMUSG00000022808",646,874,941,1707,2036,1901,1666,1016,2030
"ENSMUSG00000022809",1,0,0,1,0,5,0,0,1
"ENSMUSG00000022811",6172,9067,8142,13262,17264,15310,14557,6755,14870
"ENSMUSG00000022812",6120,8282,8831,17013,10999,10929,10283,6737,16259
"ENSMUSG00000022814",308,456,530,924,1645,1525,1250,532,1060
"ENSMUSG00000022816",762,1308,1367,2133,1752,2828,2585,1168,2635
"ENSMUSG00000022817",1175,1823,1685,2846,5148,5096,4315,1570,2999
"ENSMUSG00000022818",0,0,2,1,0,2,2,0,1
"ENSMUSG00000022820",2856,4274,3276,5187,7750,8101,7135,4550,8034
"ENSMUSG00000022821",3,5,1,7,21,24,24,0,4
"ENSMUSG00000022822",1633,2251,2996,6840,6385,5092,4687,1969,4687
"ENSMUSG00000022824",0,4,1,1,2,3,5,0,1
"ENSMUSG00000022827",156,157,211,499,535,498,402,251,475
"ENSMUSG00000022828",483,606,704,1098,1413,1343,1294,604,1306
"ENSMUSG00000022829",2791,3754,3337,7718,13009,12147,9457,2477,7344
"ENSMUSG00000022831",161,238,178,340,204,227,206,273,334
"ENSMUSG00000022832",3,12,21,5,1,0,2,3,3
"ENSMUSG00000022833",76,65,110,195,326,239,152,142,191
"ENSMUSG00000022836",915,1555,988,2267,807,960,968,873,1533
"ENSMUSG00000022837",549,676,774,1344,1941,1862,1528,811,2271
"ENSMUSG00000022838",21,31,35,70,57,76,58,22,92
"ENSMUSG00000022840",11224,7450,9655,30664,3253,2930,5208,27649,10506
"ENSMUSG00000022841",5971,7717,8025,13441,14751,14030,13712,7048,18511
"ENSMUSG00000022842",10,15,42,55,194,89,85,14,45
"ENSMUSG00000022843",637,968,696,1573,1999,1531,1630,500,1733
"ENSMUSG00000022844",54,105,108,208,101,112,72,114,121
"ENSMUSG00000022847",2,16,4,41,45,33,35,6,13
"ENSMUSG00000022848",1304,1596,2058,3299,4262,3838,3698,1877,4009
"ENSMUSG00000022849",85,120,105,300,262,251,225,117,216
"ENSMUSG00000022853",117,140,143,232,376,263,240,150,226
"ENSMUSG00000022855",2490,3506,3210,5421,5912,4562,4653,2532,6197
"ENSMUSG00000022856",140,147,301,286,749,591,552,220,346
"ENSMUSG00000022857",0,2,0,2,0,0,0,0,0
"ENSMUSG00000022858",1469,1994,2104,3578,7583,6741,5656,2266,5618
"ENSMUSG00000022860",10,18,19,63,13,2,17,108,40
"ENSMUSG00000022861",618,503,927,2112,10666,7140,5309,1093,1991
"ENSMUSG00000022863",18,47,57,188,29,37,98,30,27
"ENSMUSG00000022864",456,361,508,864,604,1167,757,462,1357
"ENSMUSG00000022865",771,970,740,2008,1584,1106,1360,701,1833
"ENSMUSG00000022867",910,1410,1219,2177,3174,2928,2682,1036,2665
"ENSMUSG00000022868",0,1,0,0,1,0,1,0,0
"ENSMUSG00000022871",2,3,0,1,1,2,2,0,2
"ENSMUSG00000022875",0,0,0,0,3,0,0,0,0
"ENSMUSG00000022876",62,71,42,159,47,65,68,80,105
"ENSMUSG00000022877",0,2,0,1,4,0,0,0,1
"ENSMUSG00000022878",0,3,1,0,9,1,5,0,0
"ENSMUSG00000022881",116,118,151,254,567,513,459,163,321
"ENSMUSG00000022883",1244,1636,2983,4618,2318,2596,2441,3232,4262
"ENSMUSG00000022884",19533,21848,26922,42597,60492,54044,54019,29550,70681
"ENSMUSG00000022885",553,791,689,1550,1142,1189,1335,803,1587
"ENSMUSG00000022886",0,0,0,0,0,0,0,0,0
"ENSMUSG00000022887",290,515,443,756,615,571,667,315,1018
"ENSMUSG00000022889",540,516,702,1141,1781,1681,1448,678,1486
"ENSMUSG00000022890",4728,6300,5435,8967,11858,12737,12167,5935,12336
"ENSMUSG00000022892",15028,17367,21095,40550,60405,56340,47780,18670,47996
"ENSMUSG00000022893",486,470,456,868,2645,2048,1575,366,1197
"ENSMUSG00000022894",79,143,166,273,338,423,317,96,303
"ENSMUSG00000022895",1060,1296,1371,3323,8867,5988,5552,2062,3443
"ENSMUSG00000022897",2855,3935,4157,6813,10930,10228,8370,3026,8186
"ENSMUSG00000022898",980,1477,1297,2138,2703,2406,2631,1315,2765
"ENSMUSG00000022899",1529,2376,1486,2666,809,1207,1336,1416,3299
"ENSMUSG00000022900",4,12,28,21,11,40,22,6,18
"ENSMUSG00000022901",40,93,53,150,91,92,107,110,174
"ENSMUSG00000022902",0,0,0,0,0,0,1,0,1
"ENSMUSG00000022905",3448,4536,4616,8515,10086,8669,8416,3757,10249
"ENSMUSG00000022906",114,200,171,221,292,297,325,147,288
"ENSMUSG00000022911",286,473,420,725,1159,1083,877,439,874
"ENSMUSG00000022912",490,780,666,1279,933,1151,1092,822,1462
"ENSMUSG00000022913",171,249,291,378,607,660,687,303,699
"ENSMUSG00000022914",2839,4072,4002,7841,9624,7884,7072,3569,8396
"ENSMUSG00000022931",0,0,0,0,0,0,0,0,0
"ENSMUSG00000022935",265,241,471,1610,1425,1278,974,388,980
"ENSMUSG00000022938",0,0,0,0,0,0,0,0,0
"ENSMUSG00000022940",817,887,952,1517,2338,2308,2001,1229,1848
"ENSMUSG00000022941",5,7,2,16,7,16,17,7,15
"ENSMUSG00000022945",5,6,8,15,42,21,14,22,34
"ENSMUSG00000022946",2242,3671,3160,5703,6264,5343,4678,1931,5334
"ENSMUSG00000022947",470,557,235,487,264,256,343,631,551
"ENSMUSG00000022948",78,119,126,328,378,233,202,139,213
"ENSMUSG00000022949",580,29,347,865,548,532,526,1124,102
"ENSMUSG00000022951",1200,1686,1379,2719,1734,1793,2052,1503,2618
"ENSMUSG00000022952",48,72,45,108,63,73,110,34,76
"ENSMUSG00000022956",3012,3403,3698,5414,8783,8795,7746,3913,7769
"ENSMUSG00000022957",5052,8782,12107,16815,12432,12639,11790,5337,16085
"ENSMUSG00000022960",129,193,224,526,830,677,479,238,468
"ENSMUSG00000022961",5863,7237,8561,17435,30117,24390,19453,6947,16812
"ENSMUSG00000022962",582,845,1051,1572,2296,2118,1930,948,1830
"ENSMUSG00000022964",1195,1367,1789,2884,5211,4576,4233,1492,3238
"ENSMUSG00000022965",736,949,973,1617,2253,1667,1896,714,1946
"ENSMUSG00000022967",1165,1532,1215,2464,3646,3075,2622,1386,2923
"ENSMUSG00000022969",1,3,1,14,16,10,3,3,4
"ENSMUSG00000022971",116,104,82,222,404,256,272,138,213
"ENSMUSG00000022972",417,472,476,729,1216,1009,995,525,1100
"ENSMUSG00000022973",7202,8951,10429,18335,13023,13969,11908,6320,23120
"ENSMUSG00000022974",333,519,680,1630,4073,2705,2235,563,1325
"ENSMUSG00000022978",100,96,101,270,200,188,223,141,222
"ENSMUSG00000022982",3910,5174,4973,8246,6896,7863,9415,6309,11133
"ENSMUSG00000022983",334,497,492,1167,1141,983,900,327,832
"ENSMUSG00000022986",0,0,0,0,2,0,8,0,0
"ENSMUSG00000022987",232,357,367,623,947,718,599,235,670
"ENSMUSG00000022991",0,0,1,2,1,3,5,0,2
"ENSMUSG00000022992",528,764,790,1307,2001,1575,1529,599,1455
"ENSMUSG00000022993",2,2,0,0,4,4,8,0,3
"ENSMUSG00000022994",749,1459,1525,2328,2367,1717,2065,671,2276
"ENSMUSG00000022995",5402,9003,12549,17112,10169,10064,10314,7166,18026
"ENSMUSG00000022996",14,27,7,41,7,22,14,12,11
"ENSMUSG00000022997",0,8,0,2,0,0,0,1,2
"ENSMUSG00000022999",83,122,215,366,862,660,547,125,265
"ENSMUSG00000023000",7,4,5,22,12,6,11,7,15
"ENSMUSG00000023004",11290,19542,18597,24561,22109,23612,26019,12468,36270
"ENSMUSG00000023007",341,529,643,1300,1574,1319,1213,566,1040
"ENSMUSG00000023008",359,458,417,713,654,585,606,351,650
"ENSMUSG00000023009",188,237,314,582,315,307,401,165,427
"ENSMUSG00000023010",6434,8462,11337,15706,22152,23126,20986,9980,18985
"ENSMUSG00000023011",4809,6113,7902,14373,20657,15006,16674,4500,14258
"ENSMUSG00000023013",2,0,4,7,4,6,6,1,5
"ENSMUSG00000023015",226,330,377,561,809,818,803,336,720
"ENSMUSG00000023017",950,1221,1414,2901,3839,3237,2703,1795,2756
"ENSMUSG00000023018",1736,2140,1918,5747,2544,2297,2469,2328,3756
"ENSMUSG00000023019",1805,2733,2983,2953,16048,10963,10632,1319,4450
"ENSMUSG00000023020",1132,1135,1323,2107,5124,4205,4627,1259,2648
"ENSMUSG00000023021",663,840,992,1645,2278,2058,1982,888,1886
"ENSMUSG00000023022",442,668,516,854,1035,1084,1080,463,996
"ENSMUSG00000023025",1773,2422,2770,4184,7685,7057,5473,2248,5872
"ENSMUSG00000023026",2940,4224,4096,8156,11964,11180,8865,2882,8345
"ENSMUSG00000023027",269,328,338,627,1122,956,688,301,787
"ENSMUSG00000023030",580,755,1067,1988,2384,2335,1822,746,1899
"ENSMUSG00000023031",33,13,109,115,45,169,165,42,182
"ENSMUSG00000023032",984,1556,2893,4870,3240,3224,2716,1363,4458
"ENSMUSG00000023033",5670,9121,8071,16847,20950,15195,12522,4018,15682
"ENSMUSG00000023034",1161,669,978,876,1386,668,1670,473,5608
"ENSMUSG00000023036",149,233,515,667,1340,821,850,356,855
"ENSMUSG00000023039",2,3,2,12,15,5,6,10,9
"ENSMUSG00000023041",2,1,1,1,21,3,14,0,6
"ENSMUSG00000023043",43,4,7,4,29,39,31,12,9
"ENSMUSG00000023044",422,672,653,880,1842,1391,1436,449,1205
"ENSMUSG00000023045",0,2,1,5,4,3,1,0,0
"ENSMUSG00000023046",846,1735,459,953,639,469,1304,278,1404
"ENSMUSG00000023047",13,19,65,24,67,66,124,19,79
"ENSMUSG00000023048",679,1094,1454,1720,4011,3424,3012,796,2198
"ENSMUSG00000023050",2053,2932,3388,4884,8884,6411,6415,2059,5668
"ENSMUSG00000023051",136,174,235,408,1282,831,710,190,324
"ENSMUSG00000023052",1,0,8,32,38,36,17,5,4
"ENSMUSG00000023055",757,776,908,1895,2109,1926,1764,1044,1789
"ENSMUSG00000023057",0,0,0,0,0,0,0,0,0
"ENSMUSG00000023064",56,78,561,286,364,878,511,264,634
"ENSMUSG00000023066",291,315,762,851,1428,1462,1102,482,872
"ENSMUSG00000023067",170,446,388,411,630,829,926,151,734
"ENSMUSG00000023068",2272,3648,3639,6222,4542,4682,4510,3495,6967
"ENSMUSG00000023070",10,6,4,15,4,3,4,9,23
"ENSMUSG00000023072",152,223,266,543,456,476,443,300,398
"ENSMUSG00000023073",0,0,0,0,0,0,0,0,0
"ENSMUSG00000023074",565,540,605,948,1191,1289,1140,578,1392
"ENSMUSG00000023075",1636,2213,2154,3353,3481,3412,3330,1987,4568
"ENSMUSG00000023078",2,1,8,2,0,20,28,15,4
"ENSMUSG00000023079",366,376,786,1861,1426,1099,918,609,875
"ENSMUSG00000023083",0,0,0,0,0,0,0,0,0
"ENSMUSG00000023084",9,2,9,10,7,13,8,10,3
"ENSMUSG00000023087",554,879,891,1947,1521,1631,1475,741,2396
"ENSMUSG00000023088",465,548,581,1415,2199,1821,1398,583,1144
"ENSMUSG00000023089",4664,6521,5614,8489,12884,13504,12740,6672,12427
"ENSMUSG00000023092",1054,1427,1877,3537,4132,3730,3384,1997,3330
"ENSMUSG00000023093",0,0,0,0,0,0,0,0,0
"ENSMUSG00000023094",414,688,542,882,787,878,1014,644,1154
"ENSMUSG00000023104",532,648,745,1271,1763,1516,1453,779,1511
"ENSMUSG00000023106",1217,1461,1417,2443,2451,2216,2357,1373,3083
"ENSMUSG00000023110",902,1518,1433,2254,3375,2989,2727,1303,2419
"ENSMUSG00000023118",2738,4538,4152,7103,5314,4834,5135,3000,6391
"ENSMUSG00000023120",2,0,0,0,0,4,4,0,0
"ENSMUSG00000023122",1,0,0,0,2,0,6,0,4
"ENSMUSG00000023132",2,2,0,2,4,5,3,9,1
"ENSMUSG00000023140",0,0,0,0,0,0,0,0,0
"ENSMUSG00000023143",121,164,187,301,494,422,375,158,352
"ENSMUSG00000023147",1256,1479,2298,3434,6227,5119,4969,2726,4277
"ENSMUSG00000023150",4137,4082,3473,7907,9864,10038,8217,5082,8022
"ENSMUSG00000023151",16,21,19,34,65,71,46,26,17
"ENSMUSG00000023153",12,7,26,20,71,152,128,7,20
"ENSMUSG00000023156",1190,1918,1581,2314,2510,3458,2758,1407,3464
"ENSMUSG00000023159",4,9,7,4,20,11,16,0,16
"ENSMUSG00000023165",0,0,0,0,0,0,0,0,0
"ENSMUSG00000023169",2905,4040,6800,9895,27121,24468,17954,3850,11704
"ENSMUSG00000023170",175,264,271,487,913,902,790,248,431
"ENSMUSG00000023175",10606,11912,10163,15567,38132,34194,30156,10944,20427
"ENSMUSG00000023176",0,0,0,0,0,0,0,0,0
"ENSMUSG00000023185",0,0,0,0,0,0,0,0,0
"ENSMUSG00000023186",833,1064,1041,1787,1730,1747,1856,940,2226
"ENSMUSG00000023191",94,137,149,355,833,621,548,138,277
"ENSMUSG00000023192",498,971,1082,822,607,298,749,60,1541
"ENSMUSG00000023206",82,118,134,243,83,163,182,93,236
"ENSMUSG00000023210",0,0,2,0,0,0,0,0,0
"ENSMUSG00000023216",0,5,7,2,14,3,7,0,3
"ENSMUSG00000023224",178,455,268,671,1039,853,1048,229,569
"ENSMUSG00000023232",18,33,46,29,645,600,377,8,78
"ENSMUSG00000023235",380,478,432,1216,668,645,507,280,817
"ENSMUSG00000023236",4788,4955,4683,7656,14344,11606,12327,5501,12821
"ENSMUSG00000023243",63,96,53,61,214,132,139,31,81
