"","Mmus_C57-6J_SPL_cells_Rep1_SP1","Mmus_C57-6J_SPL_ss-tissues_Rep1_SP1","Mmus_C57-6J_SPL_ss-tissues_Rep2_SP2","Mmus_C57-6J_SPL_ss-tissues_Rep3_SP3","Mmus_C57-6J_SPL_tissues_Rep1_SP1"
"ENSMUSG00000085263",0,0,0,0,0
"ENSMUSG00000085264",0,0,0,0,0
"ENSMUSG00000085265",0,0,0,0,0
"ENSMUSG00000085267",0,0,0,0,0
"ENSMUSG00000085269",6,10,5,12,14
"ENSMUSG00000085271",0,0,0,0,0
"ENSMUSG00000085272",1,0,0,0,0
"ENSMUSG00000085274",4,7,5,1,1
"ENSMUSG00000085275",0,1,0,0,0
"ENSMUSG00000085276",0,0,0,0,0
"ENSMUSG00000085277",0,0,0,0,0
"ENSMUSG00000085278",0,0,0,0,0
"ENSMUSG00000085279",1,1,1,0,2
"ENSMUSG00000085280",1,0,0,0,0
"ENSMUSG00000085281",0,0,0,0,0.88
"ENSMUSG00000085282",0,4,6,5,1
"ENSMUSG00000085284",0,0,0,0,0
"ENSMUSG00000085285",0,0,0,0,0
"ENSMUSG00000085286",10,3.28,10,10.43,6.38
"ENSMUSG00000085287",15,15,22,35,30
"ENSMUSG00000085288",0,0,0,0,0
"ENSMUSG00000085289",9.12,7.09,8,9.04,3.02
"ENSMUSG00000085290",0,0,0,0,0
"ENSMUSG00000085292",0,0,0,0,0
"ENSMUSG00000085293",0,0,0,0,0
"ENSMUSG00000085295",0,0,0,0,0
"ENSMUSG00000085297",0,0,0,0,0
"ENSMUSG00000085298",0,0,0,0,0
"ENSMUSG00000085300",0,0,0,0,0
"ENSMUSG00000085301",0,0,0,0,0
"ENSMUSG00000085302",1,0,0,1,1
"ENSMUSG00000085303",0,1,1,0,0
"ENSMUSG00000085304",0,0,0,0,0
"ENSMUSG00000085305",0,0,0,0,0
"ENSMUSG00000085307",1,1,1,6,2
"ENSMUSG00000085310",3.4,0,0,2.16,1.25
"ENSMUSG00000085311",5,2,2,9,1
"ENSMUSG00000085312",0,0,0,0,0
"ENSMUSG00000085314",0,16.14,43.43,30.57,21.56
"ENSMUSG00000085315",14.86,13.5,9.91,17,16.65
"ENSMUSG00000085316",1,1,3,2,1
"ENSMUSG00000085317",0,0,0,0,0
"ENSMUSG00000085318",0,0,0,0,0
"ENSMUSG00000085319",0,0,0,0,0
"ENSMUSG00000085320",0,0,0,0,0
"ENSMUSG00000085321",0,0,0,0,0
"ENSMUSG00000085322",0,0,0,0,0
"ENSMUSG00000085323",0,0,0,0,0
"ENSMUSG00000085324",0,0,0,0,0
"ENSMUSG00000085325",0,0,0,0,0
"ENSMUSG00000085326",0,0,0,0,0
"ENSMUSG00000085327",1,2,3,3,2
"ENSMUSG00000085328",1,0,1,1,0
"ENSMUSG00000085329",0,0,0,0,0
"ENSMUSG00000085330",0,0,0,0,0
"ENSMUSG00000085331",0,0,1,2,1
"ENSMUSG00000085333",0,2,0,0,0
"ENSMUSG00000085334",117.06,45.5,64.82,64.91,79.79
"ENSMUSG00000085335",2,1,2.62,0,5.27
"ENSMUSG00000085336",0,0,0,0,0
"ENSMUSG00000085337",19.69,17.06,33.62,21.62,11.93
"ENSMUSG00000085338",0,0,0,0,0
"ENSMUSG00000085340",0,0,0,0,0
"ENSMUSG00000085342",13.66,5.35,13.01,7.54,6.4
"ENSMUSG00000085345",0,0,0,0,0
"ENSMUSG00000085347",3,4,4,7,4
"ENSMUSG00000085348",0,0,1,0,0
"ENSMUSG00000085350",0,0,0,0,0
"ENSMUSG00000085351",0,0,0,0,0
"ENSMUSG00000085352",0,0,0,0,0
"ENSMUSG00000085353",0,0,0,0,0
"ENSMUSG00000085354",0,3,1,1,1
"ENSMUSG00000085355",3,4,8,5,5
"ENSMUSG00000085357",0,0,0,0,0
"ENSMUSG00000085358",0,0,0,0,0
"ENSMUSG00000085359",0,0,0,0,0
"ENSMUSG00000085360",3.2,9.42,3.91,7.26,2.44
"ENSMUSG00000085361",2,1,0,0,0
"ENSMUSG00000085363",3,0,6,3,3
"ENSMUSG00000085366",0,0,0,0,0
"ENSMUSG00000085368",0,0,0,0,0
"ENSMUSG00000085369",0,0,0,0,0
"ENSMUSG00000085371",0,0,0,0,0
"ENSMUSG00000085372",0,0,0,0,0
"ENSMUSG00000085375",0,0,0,0,0
"ENSMUSG00000085376",7,11,16,9,14
"ENSMUSG00000085377",0,0,0,0,0
"ENSMUSG00000085378",0,0,0,0,0
"ENSMUSG00000085379",35,51,38,48,42
"ENSMUSG00000085380",0,0,0,0,0
"ENSMUSG00000085382",0,0,2,1,1
"ENSMUSG00000085383",0,0,0,0,0
"ENSMUSG00000085385",458,390,667.61,604,432
"ENSMUSG00000085386",0,0,0,0,0
"ENSMUSG00000085387",0,0,0,0,0
"ENSMUSG00000085388",0,0,0,0,0
"ENSMUSG00000085389",0,0,0,0,0
"ENSMUSG00000085390",0,0,0,0,0
"ENSMUSG00000085391",0,0,0,1,0
"ENSMUSG00000085393",0,0,0,0,0
"ENSMUSG00000085394",6,8,5,4,3
"ENSMUSG00000085395",0,2,2,0,1
"ENSMUSG00000085396",118,331,367,406,380
"ENSMUSG00000085397",0,2,0,0,0
"ENSMUSG00000085398",0,1,1.68,1,0
"ENSMUSG00000085399",35,31,34,45,32
"ENSMUSG00000085400",0,0,1,0,1
"ENSMUSG00000085401",0,1.01,0,0,0
"ENSMUSG00000085402",0,0,0,0,0
"ENSMUSG00000085403",0,0,0,0,0
"ENSMUSG00000085404",0,0,0,0,0
"ENSMUSG00000085405",0,0,0,0,0
"ENSMUSG00000085407",0,0,0,0,0
"ENSMUSG00000085408",15.89,23.24,20.8,32.04,28.55
"ENSMUSG00000085409",0,0,0,0,0
"ENSMUSG00000085411",0,0,0,0,0
"ENSMUSG00000085412",0,0,0,0,0
"ENSMUSG00000085413",0,0,0,0,0
"ENSMUSG00000085414",0,0,0,0,0
"ENSMUSG00000085415",2,0,0,1,1
"ENSMUSG00000085416",0,0,0,0,0
"ENSMUSG00000085417",19,17,21,22,14
"ENSMUSG00000085418",0,0,0,0,0
"ENSMUSG00000085419",0,0,0,0,0
"ENSMUSG00000085420",0,0,0,0,0
"ENSMUSG00000085421",0,1,1,0,0
"ENSMUSG00000085423",0,0,0,1,0
"ENSMUSG00000085424",0,0,0,0,0
"ENSMUSG00000085426",0,0,0,0,0
"ENSMUSG00000085427",0,0,0,0,0
"ENSMUSG00000085428",0,0,0,0,0
"ENSMUSG00000085429",0,0,0,0,0
"ENSMUSG00000085430",0,0,0,0,0
"ENSMUSG00000085431",0,0,0,0,0
"ENSMUSG00000085433",15,20,26,30,20
"ENSMUSG00000085434",5,3,5,3.24,4
"ENSMUSG00000085436",16,10,15.04,17,8
"ENSMUSG00000085437",0,0,0,0,0
"ENSMUSG00000085438",2518,2589,1969,3157,2784
"ENSMUSG00000085439",0,0,0,0,0
"ENSMUSG00000085440",0,2.4,1,2,1
"ENSMUSG00000085441",0,0,0,0,0
"ENSMUSG00000085442",11.53,3.31,7.78,2.85,0
"ENSMUSG00000085443",0,0,0,0,0
"ENSMUSG00000085444",0,0,0,0,0
"ENSMUSG00000085445",0,0,0,0,0
"ENSMUSG00000085447",0,1,0,0,0
"ENSMUSG00000085448",0,0,0,0,0
"ENSMUSG00000085449",0,0,0,0,0
"ENSMUSG00000085450",0,0,0,0,0
"ENSMUSG00000085451",0,0,0,0,0
"ENSMUSG00000085452",0,0,0,0,0
"ENSMUSG00000085453",0,0,0,0,0
"ENSMUSG00000085454",0,0,0,0,0
"ENSMUSG00000085456",0,0,0,0,0
"ENSMUSG00000085457",1,4.1,9,2,8.11
"ENSMUSG00000085459",0,0,0,0,0
"ENSMUSG00000085463",0,0,0,0,0
"ENSMUSG00000085464",0,0,0,0,0
"ENSMUSG00000085465",0,0,0,0,0
"ENSMUSG00000085466",0,0,0,0,0
"ENSMUSG00000085467",0,0,0,0,1
"ENSMUSG00000085468",0,0,0,0,0
"ENSMUSG00000085469",0,0,0,0,0
"ENSMUSG00000085470",0,0,0,0,0
"ENSMUSG00000085471",7,5,8,6,6
"ENSMUSG00000085472",0,0,0,0,0
"ENSMUSG00000085476",0,0,0,0,0
"ENSMUSG00000085477",0,0,0,0,0
"ENSMUSG00000085478",0,0,0,0,0
"ENSMUSG00000085479",0,0,0,0,0
"ENSMUSG00000085481",0,0,0,0,0
"ENSMUSG00000085482",2,0,0,0,0
"ENSMUSG00000085483",1,9,0,6,7.3
"ENSMUSG00000085484",0,0,0,0,0
"ENSMUSG00000085485",0,0,0,0,0
"ENSMUSG00000085486",1,0,0,0,0
"ENSMUSG00000085487",0,0,0,0,0
"ENSMUSG00000085488",0,0,0,0,0
"ENSMUSG00000085489",0,0,0,0,0
"ENSMUSG00000085491",0,0,0,0,0
"ENSMUSG00000085492",52.18,38.76,72.69,91.71,40.69
"ENSMUSG00000085495",0,3.15,2.36,0,0
"ENSMUSG00000085496",0,0,0,0,0
"ENSMUSG00000085497",0,0,0,0,0
"ENSMUSG00000085498",5,5,8,5.1,6.08
"ENSMUSG00000085499",2,0,0,0,1
"ENSMUSG00000085500",9.5,2,3,2.21,2.3
"ENSMUSG00000085501",0,0,1,1,1
"ENSMUSG00000085502",0,0,0,0,0
"ENSMUSG00000085504",0,0,0,0,0
"ENSMUSG00000085505",0,0,0,0,0
"ENSMUSG00000085507",0,0,0,0,0
"ENSMUSG00000085508",0,0,0,0,0
"ENSMUSG00000085509",0,0,0,0,0
"ENSMUSG00000085510",0,0,0,0,0
"ENSMUSG00000085511",4,4,1,4,1
"ENSMUSG00000085512",0,0,0,0,0
"ENSMUSG00000085513",0,0,0,0,0
"ENSMUSG00000085514",0,0,0,0,0
"ENSMUSG00000085515",0,0,0,0,0
"ENSMUSG00000085516",2.07,0,1.03,2,0
"ENSMUSG00000085517",0,8,6,4,5
"ENSMUSG00000085519",0,0,0,0,1
"ENSMUSG00000085521",1.05,3.04,2.05,2.09,0
"ENSMUSG00000085522",0,0,0,0,0
"ENSMUSG00000085523",0,0,0,0,0
"ENSMUSG00000085524",0,0,0,0,0
"ENSMUSG00000085525",11.61,5.29,0.06,4.27,18.5
"ENSMUSG00000085526",7,9,3,8.01,4
"ENSMUSG00000085527",0,4,0,0,1
"ENSMUSG00000085528",0,0,0,0,0
"ENSMUSG00000085530",0,0,0,0,0
"ENSMUSG00000085531",11,11,5,13,6
"ENSMUSG00000085532",0,0,0,0,0
"ENSMUSG00000085533",0,0,0,0,0
"ENSMUSG00000085534",0,0,0,0,0
"ENSMUSG00000085536",0,0,0,0,0
"ENSMUSG00000085538",5,1,5,3,2
"ENSMUSG00000085539",2,0,5,4,1
"ENSMUSG00000085540",0,0,0,0,0
"ENSMUSG00000085541",0,0,0,0,0
"ENSMUSG00000085542",0,0,0,0,0
"ENSMUSG00000085543",6.08,0.32,11.29,6.25,4.48
"ENSMUSG00000085545",0,0,0,0,0
"ENSMUSG00000085546",4,2.06,2,10,2
"ENSMUSG00000085547",0,0,0,0,0
"ENSMUSG00000085548",0,0,0,0,0
"ENSMUSG00000085549",0,0,0,0,0
"ENSMUSG00000085551",0,1,1,0,0
"ENSMUSG00000085552",0,0,0,0,0
"ENSMUSG00000085553",0,0,0,0,0
"ENSMUSG00000085555",0,0,0,0,0
"ENSMUSG00000085556",0,0,0,0,0
"ENSMUSG00000085558",1,5,1,2,4
"ENSMUSG00000085559",0,0,0,0,0
"ENSMUSG00000085560",0,1.4,0,0,0
"ENSMUSG00000085561",0,0,0,0,0
"ENSMUSG00000085562",0,0,0,0,0
"ENSMUSG00000085563",0,1,0,0,0
"ENSMUSG00000085564",0,0,0,0,0
"ENSMUSG00000085565",0,0,0,0,0
"ENSMUSG00000085566",77.18,50.88,88.15,91.89,54.29
"ENSMUSG00000085568",0,1,0,0,0
"ENSMUSG00000085569",0,0,0,0,0
"ENSMUSG00000085572",0,1.01,0,0,0
"ENSMUSG00000085573",0,0,0,0,0
"ENSMUSG00000085574",0,0,0,0,0
"ENSMUSG00000085575",0,0,0,0,0
"ENSMUSG00000085576",0,1,0,0,0
"ENSMUSG00000085577",0,0,0,0,0
"ENSMUSG00000085578",0,0,0,1.14,2.53
"ENSMUSG00000085579",1,0,1,0,0
"ENSMUSG00000085580",0,0,0,0,0
"ENSMUSG00000085581",0,0,0,0,0
"ENSMUSG00000085582",0,0,0,0,0
"ENSMUSG00000085584",0,1,1,1,1
"ENSMUSG00000085585",0,0,0,0,1
"ENSMUSG00000085586",19,13,25,22,9
"ENSMUSG00000085587",0,0,0,0,0
"ENSMUSG00000085588",0,0,0,0,0
"ENSMUSG00000085589",1,2,2,1,1
"ENSMUSG00000085591",1,2,1,3,3
"ENSMUSG00000085592",0,0,0,0,0
"ENSMUSG00000085593",0,0,0,0,0
"ENSMUSG00000085594",0,0,0,0,0
"ENSMUSG00000085595",0,1.06,0,0,1.11
"ENSMUSG00000085596",0,11,9,10,8
"ENSMUSG00000085598",0,0,0,0,0
"ENSMUSG00000085599",0,0,0,0,0
"ENSMUSG00000085600",0,0,0,0,0
"ENSMUSG00000085601",0,0,1,0,0
"ENSMUSG00000085603",550,333,375,392,296
"ENSMUSG00000085604",5,12,17,6.06,6
"ENSMUSG00000085606",0,1,0,0,4
"ENSMUSG00000085608",0,0,0,0,0
"ENSMUSG00000085609",0,0,0,0,0
"ENSMUSG00000085610",0,0,0,0,1
"ENSMUSG00000085611",0,2.21,0,0,0
"ENSMUSG00000085612",5,3,4,5,3
"ENSMUSG00000085614",4.79,7,2.76,1.39,7.82
"ENSMUSG00000085615",16,14,21,26,14
"ENSMUSG00000085616",0,0,0,0,0
"ENSMUSG00000085618",0,0,0,0,0
"ENSMUSG00000085619",0,0,0,0,0
"ENSMUSG00000085620",0,0,0,0,0
"ENSMUSG00000085622",132,155,343,264,171
"ENSMUSG00000085623",0,0,0,0,0
"ENSMUSG00000085624",0,0,0,0,0
"ENSMUSG00000085625",0,0,0,0,1
"ENSMUSG00000085626",0,0,0,0,0.02
"ENSMUSG00000085627",0,0,0,0,0
"ENSMUSG00000085628",1,0,0,1,0
"ENSMUSG00000085629",0,0,0,0,0
"ENSMUSG00000085630",0,0,0,0,0
"ENSMUSG00000085631",0,0,0,0,0
"ENSMUSG00000085632",0,0,0,0,0
"ENSMUSG00000085633",3,3,1,0,2
"ENSMUSG00000085634",0,1,0,2,0
"ENSMUSG00000085635",0,0,0,0,0
"ENSMUSG00000085636",3.28,3.13,5.23,5.18,7.39
"ENSMUSG00000085637",0,0,0,3,1
"ENSMUSG00000085638",0,0,0,0,0
"ENSMUSG00000085639",0,0,0,0,0
"ENSMUSG00000085640",0,0,0,0,0
"ENSMUSG00000085641",0,0,0,0,0
"ENSMUSG00000085642",2.13,3.74,2.71,7.69,3
"ENSMUSG00000085643",0,0,0,0,0
"ENSMUSG00000085645",0,0,1,0,0
"ENSMUSG00000085646",0,0,0,0,0
"ENSMUSG00000085648",0,0,0,0,0
"ENSMUSG00000085649",0,0,0,0,0
"ENSMUSG00000085651",6,2,2,4,2
"ENSMUSG00000085652",0,0,0,0,0
"ENSMUSG00000085653",0,0,0,0,0
"ENSMUSG00000085654",0,0,0,0,0
"ENSMUSG00000085655",5,4,4,1,0
"ENSMUSG00000085656",0,0,0,0,0
"ENSMUSG00000085657",0,0,0,0,0
"ENSMUSG00000085658",0,0,0,2,0
"ENSMUSG00000085659",0,0,0,0,0
"ENSMUSG00000085660",0,0,0,0,0
"ENSMUSG00000085662",0,0,0,0,0
"ENSMUSG00000085663",0,0,0,0,0
"ENSMUSG00000085664",3.01,6,4,6.01,5
"ENSMUSG00000085665",0,0,0,2,0
"ENSMUSG00000085666",3.08,5.19,4.39,8.33,3.63
"ENSMUSG00000085667",14.35,11.95,12.79,27.98,17.61
"ENSMUSG00000085668",0,1,0,0,0
"ENSMUSG00000085669",0,0,0,0.23,4.04
"ENSMUSG00000085672",0,0,0,0,0
"ENSMUSG00000085673",0,1,0,0,0
"ENSMUSG00000085675",0,0,0,0,0
"ENSMUSG00000085676",0,0,0,0,0
"ENSMUSG00000085677",0,0,0,0,0
"ENSMUSG00000085678",0,0,0,0,0
"ENSMUSG00000085679",0,0,0,0,0
"ENSMUSG00000085680",0,0,0,0,0
"ENSMUSG00000085681",0,0,0,0,0
"ENSMUSG00000085682",0,0,0,0,0
"ENSMUSG00000085683",0,0,0,1,0
"ENSMUSG00000085684",0,0,0,0,0
"ENSMUSG00000085686",0,0,0,0,0
"ENSMUSG00000085687",30,30,28,44,39
"ENSMUSG00000085688",0,0,0,0,0
"ENSMUSG00000085689",0,0,0,0,0
"ENSMUSG00000085690",0,0,0,0,0
"ENSMUSG00000085691",0,0,0,0,0
"ENSMUSG00000085693",0,0,0,0,1
"ENSMUSG00000085695",0,0,0,0,0
"ENSMUSG00000085696",2,0,3.11,0,1
"ENSMUSG00000085699",1,0,0,0,0
"ENSMUSG00000085700",0,0,0,0,0
"ENSMUSG00000085701",0,0,0,0,0
"ENSMUSG00000085702",0,0,0,0,0
"ENSMUSG00000085704",21,27,31,40,27
"ENSMUSG00000085705",7,5,5,7,4
"ENSMUSG00000085706",0,0,0,0,0
"ENSMUSG00000085707",0,0,0,0,0
"ENSMUSG00000085708",0,0,0,0,0
"ENSMUSG00000085709",0,0,1,0,0
"ENSMUSG00000085710",0,0,0,0,0
"ENSMUSG00000085711",8.98,7.53,2.1,2.11,6.87
"ENSMUSG00000085712",0,0,0,0,0
"ENSMUSG00000085713",0,0,0,0,0
"ENSMUSG00000085714",0,0.16,0,0.8,0
"ENSMUSG00000085715",1.26,1.22,0,0,1.25
"ENSMUSG00000085716",0,0,0,0,0
"ENSMUSG00000085717",0,0,0,0,0
"ENSMUSG00000085718",0,0,0,0,0
"ENSMUSG00000085719",2,0,1,0,0
"ENSMUSG00000085720",0,0,1,1,0
"ENSMUSG00000085721",0,0,0,0,0
"ENSMUSG00000085722",0,0,0,0,0
"ENSMUSG00000085723",4,8,3,9,16
"ENSMUSG00000085724",0,0,0,0,0
"ENSMUSG00000085725",1,1,7,4.13,5.08
"ENSMUSG00000085728",0,0,0,0,0
"ENSMUSG00000085730",0,3,1.36,3,0
"ENSMUSG00000085731",13.13,9.52,2.01,14.61,5.98
"ENSMUSG00000085732",1,0,1,0,1
"ENSMUSG00000085733",0,3.66,1.23,6.17,1.26
"ENSMUSG00000085734",0,0,0,0,0
"ENSMUSG00000085735",2,0,2,0,0
"ENSMUSG00000085737",0,0,0,0,0
"ENSMUSG00000085738",0,0,0,0,0
"ENSMUSG00000085739",0,0,0,0,0
"ENSMUSG00000085740",0,0,0,0,0
"ENSMUSG00000085741",60.84,77.52,76.43,117.5,63.02
"ENSMUSG00000085742",1,0,1,0,1
"ENSMUSG00000085743",0,0,0,0,0
"ENSMUSG00000085744",1,0,0,0,0
"ENSMUSG00000085745",0,0,0,0,0
"ENSMUSG00000085747",0,1,1,1,1
"ENSMUSG00000085748",0,0,0,0,0
"ENSMUSG00000085749",1,0,0,1,2
"ENSMUSG00000085750",1,2,0,0,0
"ENSMUSG00000085751",0,0,0,0,0
"ENSMUSG00000085753",0,0,0,0,0
"ENSMUSG00000085754",0,0,0,0,0
"ENSMUSG00000085755",1,1,1,5,3
"ENSMUSG00000085756",0,0,0,0,0
"ENSMUSG00000085757",0,0,0,0,0
"ENSMUSG00000085759",0,0,0,0,0
"ENSMUSG00000085760",2,1,1,0,1
"ENSMUSG00000085761",7,15,14,5,11
"ENSMUSG00000085762",0,1,0,0,1
"ENSMUSG00000085763",1,0,0,1,0
"ENSMUSG00000085765",0,1,1,1,1
"ENSMUSG00000085766",0,2,9,5,0
"ENSMUSG00000085767",20.19,4.29,10.48,16.07,12.29
"ENSMUSG00000085768",0,0,0,0,0
"ENSMUSG00000085770",0,0,0,0,0
"ENSMUSG00000085771",0,0,4,2,3
"ENSMUSG00000085772",0,0,0,0,1
"ENSMUSG00000085773",0,0,0,0,0
"ENSMUSG00000085774",0,0,0,0,0
"ENSMUSG00000085775",0,0,0,0,0
"ENSMUSG00000085776",1,2,4,3,1
"ENSMUSG00000085779",3.65,2.82,11,8,6.98
"ENSMUSG00000085781",0,0,0,0,0
"ENSMUSG00000085782",4,3,4,1,4
"ENSMUSG00000085783",13.3,22.34,38.21,22.46,18.34
"ENSMUSG00000085784",2,0,2,1,1
"ENSMUSG00000085785",1,4,3,3,2
"ENSMUSG00000085786",395,248,217,313,257
"ENSMUSG00000085787",0,1.17,1.08,0,0
"ENSMUSG00000085788",0,0,0,2.72,1.3
"ENSMUSG00000085790",0,0,0,0,0
"ENSMUSG00000085791",12.36,2.92,0,0,0
"ENSMUSG00000085792",0,0,0,0,0
"ENSMUSG00000085793",99,121,131,156,108
"ENSMUSG00000085794",0,0,0,0,0
"ENSMUSG00000085795",80,179,301,235,137
"ENSMUSG00000085796",0,0,0,0,0
"ENSMUSG00000085797",0,0,0,0,0
"ENSMUSG00000085798",0,0,0,0,0
"ENSMUSG00000085799",0,0,2,0,0
"ENSMUSG00000085800",0,0,0,0,0
"ENSMUSG00000085801",0,0,0,0,0
"ENSMUSG00000085802",7.01,4,1,1,4
"ENSMUSG00000085803",0,0,0,0,0
"ENSMUSG00000085804",0,0,0,0,0
"ENSMUSG00000085805",0,0,0,0,0
"ENSMUSG00000085806",0,0,0,0,0
"ENSMUSG00000085807",0,0,1,0,0
"ENSMUSG00000085808",7,1,0,2,1
"ENSMUSG00000085810",0,0,0,1,1
"ENSMUSG00000085811",0,0,2,1,2
"ENSMUSG00000085812",0,0,0,0,0
"ENSMUSG00000085813",0,0,0,0,0
"ENSMUSG00000085815",0,0,0,0,0
"ENSMUSG00000085816",0,0,0,0,0
"ENSMUSG00000085817",0,0,0,0,0
"ENSMUSG00000085818",0,0,0,0,0
"ENSMUSG00000085819",1.02,0,2,2,2.04
"ENSMUSG00000085820",0,0,0,0,0
"ENSMUSG00000085822",0,0,0,0,0
"ENSMUSG00000085823",80,38,78,73,61
"ENSMUSG00000085824",0,0,0,0,0
"ENSMUSG00000085826",4,5,5,2,5
"ENSMUSG00000085827",0,0,0,0,0
"ENSMUSG00000085828",1,0,0,6,2
"ENSMUSG00000085829",1,5,9,5,6
"ENSMUSG00000085830",0,1,3,3,1
"ENSMUSG00000085831",0,0,0,0,0
"ENSMUSG00000085833",0,0,0,0,0
"ENSMUSG00000085834",0,0,0,0,0
"ENSMUSG00000085835",0,0,0,0,0
"ENSMUSG00000085836",0,1,1,2,2
"ENSMUSG00000085837",0,2.57,1,6.08,2.61
"ENSMUSG00000085838",0,0,0,0,0
"ENSMUSG00000085839",0,0,0,0,0
"ENSMUSG00000085840",0,0,0,1,0
"ENSMUSG00000085841",0,0,0,0,0
"ENSMUSG00000085842",0,0,0,1,0
"ENSMUSG00000085843",0,0,0,0,0
"ENSMUSG00000085844",35,42,49,63,39
"ENSMUSG00000085845",0,0,0,0,0
"ENSMUSG00000085846",0,0,1,0,1
"ENSMUSG00000085847",3,0,1,0,2.75
"ENSMUSG00000085851",0,0,0,0,0
"ENSMUSG00000085852",7,4,14,9,11
"ENSMUSG00000085853",2.63,1.66,1.38,5.47,2
"ENSMUSG00000085856",0,0,0,0,0
"ENSMUSG00000085857",1,1,1,0,0
"ENSMUSG00000085858",0,0,0,0,0
"ENSMUSG00000085860",1,1,0,1,1
"ENSMUSG00000085861",1,0,2,0,0
"ENSMUSG00000085862",1,0,0,0,0
"ENSMUSG00000085863",0,0,0,0,0
"ENSMUSG00000085864",0,0,0,0,0
"ENSMUSG00000085865",0,0,0,0,0
"ENSMUSG00000085866",0,0,0,0,0
"ENSMUSG00000085867",0,0,0,0,0
"ENSMUSG00000085868",0,0,0,0,0
"ENSMUSG00000085869",0,0,0,0,0
"ENSMUSG00000085870",0,0,0,0,0
"ENSMUSG00000085871",0,0,0,0,0
"ENSMUSG00000085872",0,0,0,0,0
"ENSMUSG00000085873",1,8,3,3,14
"ENSMUSG00000085875",0,0,2,2.06,1.07
"ENSMUSG00000085876",1,0,2,1,2
"ENSMUSG00000085877",0,0,0,0,0
"ENSMUSG00000085878",0,0,0,0,0
"ENSMUSG00000085880",3,1,0,0,1
"ENSMUSG00000085881",1,2,4,1,1
"ENSMUSG00000085882",89,96,115,125,103
"ENSMUSG00000085883",0,0,0,0,0
"ENSMUSG00000085884",4,0,1,1,1
"ENSMUSG00000085885",1,0,0,0,0
"ENSMUSG00000085886",1,3,2,0,1
"ENSMUSG00000085887",340,275,369,410,308
"ENSMUSG00000085888",0,2,0,0,0
"ENSMUSG00000085889",0,0,0,0,0
"ENSMUSG00000085890",2,3,10,5,7
"ENSMUSG00000085891",0,0,0,1,0
"ENSMUSG00000085892",0,0,0,0,0
"ENSMUSG00000085893",0,0,0,0,1.01
"ENSMUSG00000085894",42.1,34.07,35.73,53.27,29.03
"ENSMUSG00000085895",0,0,0,0,0
"ENSMUSG00000085896",0,0,0,0,0
"ENSMUSG00000085897",0,0,0,0,0
"ENSMUSG00000085898",0,0,0,0,1
"ENSMUSG00000085899",0,0,0,0,0
"ENSMUSG00000085900",0,0,0,0,0
"ENSMUSG00000085902",0,0,0,0,0
"ENSMUSG00000085903",0,1,0,0,0
"ENSMUSG00000085905",0,0,0,0,0
"ENSMUSG00000085908",0,0,0,0,0
"ENSMUSG00000085909",0,0,0,0,0
"ENSMUSG00000085910",0,0,1,0,0
"ENSMUSG00000085911",0,0,0,0,0
"ENSMUSG00000085912",1,3,2,1,1
"ENSMUSG00000085913",36.66,34.81,42.85,74.54,40.69
"ENSMUSG00000085914",2,3,0,2,1
"ENSMUSG00000085915",0,0,0,0,0
"ENSMUSG00000085917",0,0,0.91,1.03,0
"ENSMUSG00000085918",6.07,0,2.07,1.67,0
"ENSMUSG00000085919",0,0,0,0,0
"ENSMUSG00000085920",0,0,0,0,0
"ENSMUSG00000085921",0,0,0,0,0
"ENSMUSG00000085922",0,0,0,0,0
"ENSMUSG00000085923",0,0,0,0,0
"ENSMUSG00000085924",0,0,0,0,0
"ENSMUSG00000085925",0,0,1,0,0
"ENSMUSG00000085926",0,0,0,0,0
"ENSMUSG00000085927",2.87,2.63,0.9,1.7,0.09
"ENSMUSG00000085928",0,0,0,1,0
"ENSMUSG00000085929",4,5,11,6,5
"ENSMUSG00000085931",0,0,0,0,0
"ENSMUSG00000085932",1,0,0,0,0
"ENSMUSG00000085933",0,0,0,0,1
"ENSMUSG00000085934",0,0,0,0,0
"ENSMUSG00000085936",2,3,2,1,2
"ENSMUSG00000085937",0,0,0,0,0
"ENSMUSG00000085938",0,0,0,0,0
"ENSMUSG00000085939",1,17,9,11.02,10.02
"ENSMUSG00000085940",0,0,0,0,0
"ENSMUSG00000085941",1,1,0,4,1
"ENSMUSG00000085944",0,0,0,0,0
"ENSMUSG00000085945",0,4,4,1,4
"ENSMUSG00000085946",0,0,0,0,0
"ENSMUSG00000085949",0,0,0,0,0
"ENSMUSG00000085950",0,0,0,0,0
"ENSMUSG00000085951",0,0,0,0,0
"ENSMUSG00000085952",0,0,0,0,0
"ENSMUSG00000085953",0,0,0,0,0
"ENSMUSG00000085955",0,0,1,0,0
"ENSMUSG00000085956",12,10,17,12,8
"ENSMUSG00000085957",0,2.1,5,0,4
"ENSMUSG00000085958",1,0,1,0,0
"ENSMUSG00000085961",0,1,0,0,0
"ENSMUSG00000085962",5.04,4.03,8.04,4,8.01
"ENSMUSG00000085965",0,0,0,0,0
"ENSMUSG00000085966",0,0,0,0,0
"ENSMUSG00000085967",0,0,0,0,0
"ENSMUSG00000085968",0,0,0,0,0
"ENSMUSG00000085969",0,0,0,0,0
"ENSMUSG00000085970",0,0,0,0,0
"ENSMUSG00000085971",97,112,128,154,102
"ENSMUSG00000085972",2,0,2,1,0
