"","Mouse_hippocampus_1-2","Mouse_hippocampus_11-12","Mouse_hippocampus_13-14","Mouse_hippocampus_15-16","Mouse_hippocampus_3-4","Mouse_hippocampus_5-6","Mouse_hippocampus_7-8","Mouse_hippocampus_9-10"
"ENSMUSG00000029246",491,357,720,700,730,585,138,522
"ENSMUSG00000029247",2691,2010,3542,3917,3717,2747,1625,2665
"ENSMUSG00000029248",11,10,11,11,17,9,7,11
"ENSMUSG00000029249",259,198,392,457,453,366,57,325
"ENSMUSG00000029250",2174,1660,2693,2877,2980,2331,973,2009
"ENSMUSG00000029253",685,433,823,916,855,648,82,581
"ENSMUSG00000029254",28,23,51,38,52,39,1,31
"ENSMUSG00000029255",0,0,0,1,0,0,0,2
"ENSMUSG00000029260",0,0,1,0,0,0,0,0
"ENSMUSG00000029263",602,444,811,941,913,729,96,646
"ENSMUSG00000029265",1746,1148,1917,2411,2486,1626,233,1623
"ENSMUSG00000029267",828,527,1007,1149,1079,824,78,834
"ENSMUSG00000029268",0,0,0,0,0,0,0,0
"ENSMUSG00000029269",0,0,0,0,0,0,0,0
"ENSMUSG00000029270",843,553,1114,1223,1176,897,324,859
"ENSMUSG00000029272",0,0,0,0,0,0,0,0
"ENSMUSG00000029273",1,0,0,0,0,0,0,0
"ENSMUSG00000029275",1,0,0,1,0,2,0,0
"ENSMUSG00000029276",163,143,279,286,248,218,29,220
"ENSMUSG00000029279",457,346,518,662,602,478,118,423
"ENSMUSG00000029280",0,0,0,0,0,0,0,0
"ENSMUSG00000029281",0,0,0,0,0,0,0,0
"ENSMUSG00000029282",0,0,0,0,0,0,0,0
"ENSMUSG00000029283",201,129,279,255,263,248,40,158
"ENSMUSG00000029286",0,0,0,0,0,0,0,0
"ENSMUSG00000029287",628,459,1145,1594,1501,1367,450,961
"ENSMUSG00000029288",0,0,0,0,0,0,0,0
"ENSMUSG00000029290",744,439,861,1004,871,766,179,690
"ENSMUSG00000029291",7474,5533,9471,10050,9158,7474,1542,6744
"ENSMUSG00000029298",96,66,199,194,185,184,18,118
"ENSMUSG00000029299",9,13,16,22,21,22,2,9
"ENSMUSG00000029304",184,43,556,594,617,562,116,279
"ENSMUSG00000029306",6,12,6,9,11,10,3,5
"ENSMUSG00000029307",168,115,251,220,205,206,67,178
"ENSMUSG00000029309",48463,36209,72188,72789,60887,58717,48072,46815
"ENSMUSG00000029310",1102,929,1425,1466,1410,1273,1695,1117
"ENSMUSG00000029311",1104,885,1456,1603,1650,1282,1722,1086
"ENSMUSG00000029312",904,703,1100,1103,1088,988,696,856
"ENSMUSG00000029313",806,671,1115,1203,1332,1070,437,852
"ENSMUSG00000029314",99,51,163,142,96,115,86,109
"ENSMUSG00000029319",1554,1251,1731,1935,2082,1491,3445,1402
"ENSMUSG00000029320",0,3,0,1,1,1,1,3
"ENSMUSG00000029321",0,1,1,1,1,0,3,0
"ENSMUSG00000029322",2,0,4,3,2,3,9,0
"ENSMUSG00000029326",1163,1019,1348,1467,1388,1195,1368,1060
"ENSMUSG00000029328",4092,3217,4835,5150,5206,4088,1083,3703
"ENSMUSG00000029330",2640,1978,3513,3943,3451,3380,2035,2814
"ENSMUSG00000029331",0,0,0,0,0,1,0,0
"ENSMUSG00000029334",229,89,390,470,190,244,68,260
"ENSMUSG00000029335",481,177,628,716,309,421,99,420
"ENSMUSG00000029337",142,96,117,157,166,126,28,105
"ENSMUSG00000029338",68,52,115,161,195,139,37,96
"ENSMUSG00000029343",73,75,70,98,92,93,319,67
"ENSMUSG00000029344",531,543,622,685,757,630,1762,538
"ENSMUSG00000029345",1230,1050,1522,1489,1550,1310,3395,1071
"ENSMUSG00000029346",156,146,170,200,192,182,540,148
"ENSMUSG00000029348",2627,2695,2797,3005,3438,2956,7070,2557
"ENSMUSG00000029352",17,16,18,18,20,25,43,8
"ENSMUSG00000029359",802,877,735,743,1125,828,2863,640
"ENSMUSG00000029360",4,2,4,1,3,4,2,2
"ENSMUSG00000029361",4734,4547,5195,5976,7410,5364,6558,4244
"ENSMUSG00000029363",308,253,314,387,392,315,492,306
"ENSMUSG00000029364",4317,3993,4887,5109,5638,4598,9215,4110
"ENSMUSG00000029366",715,533,912,1055,915,691,289,701
"ENSMUSG00000029368",1,0,0,5,1,1,1,0
"ENSMUSG00000029369",2,0,4,0,0,1,1,0
"ENSMUSG00000029370",13,5,29,31,14,15,13,6
"ENSMUSG00000029371",52,26,43,71,27,13,11,60
"ENSMUSG00000029372",1,0,3,15,14,20,6,11
"ENSMUSG00000029373",6,2,16,34,30,17,40,19
"ENSMUSG00000029375",0,0,0,0,0,0,0,0
"ENSMUSG00000029376",218,150,343,357,271,236,123,222
"ENSMUSG00000029377",0,0,0,0,0,0,0,0
"ENSMUSG00000029378",4,1,1,0,0,3,1,2
"ENSMUSG00000029379",0,0,0,0,0,1,0,0
"ENSMUSG00000029380",2,2,3,3,4,2,1,2
"ENSMUSG00000029381",156,143,312,342,339,289,551,238
"ENSMUSG00000029384",1,6,0,4,3,3,3,2
"ENSMUSG00000029385",1171,878,1297,1422,1566,1193,327,1189
"ENSMUSG00000029387",283,252,359,396,374,352,307,301
"ENSMUSG00000029388",549,442,589,654,655,582,831,530
"ENSMUSG00000029389",473,376,627,608,610,534,280,431
"ENSMUSG00000029390",421,270,438,566,546,424,203,406
"ENSMUSG00000029392",1221,1104,1503,1450,1656,1488,1916,1248
"ENSMUSG00000029394",139,109,198,197,164,185,384,143
"ENSMUSG00000029397",866,630,1115,1162,1263,947,774,881
"ENSMUSG00000029401",273,205,305,360,344,358,714,334
"ENSMUSG00000029402",253,182,281,330,344,307,460,223
"ENSMUSG00000029403",1220,881,1519,1594,1679,1251,138,1224
"ENSMUSG00000029404",777,614,997,1088,908,812,1177,716
"ENSMUSG00000029405",11927,8840,14531,16025,15806,11776,2384,10833
"ENSMUSG00000029406",8665,7979,8325,9140,11555,9058,20070,7590
"ENSMUSG00000029407",3167,2484,4007,4586,4541,3498,689,3080
"ENSMUSG00000029408",750,722,1036,1056,957,901,3342,743
"ENSMUSG00000029409",0,0,0,0,0,0,0,0
"ENSMUSG00000029410",3,7,8,12,5,14,5,10
"ENSMUSG00000029413",973,770,1200,1446,1457,1071,948,1062
"ENSMUSG00000029414",57,32,30,40,71,50,5,37
"ENSMUSG00000029415",629,462,820,846,782,701,147,651
"ENSMUSG00000029416",471,340,602,584,620,554,1127,472
"ENSMUSG00000029417",0,1,5,1,1,7,0,2
"ENSMUSG00000029419",2985,2705,3055,3051,3439,3029,7690,2396
"ENSMUSG00000029420",3957,3438,4232,4149,4823,3545,4223,3488
"ENSMUSG00000029422",2117,1652,2552,2829,3013,2129,345,2060
"ENSMUSG00000029423",4,3,7,9,12,4,1,5
"ENSMUSG00000029426",5681,4270,7763,8265,7463,6153,2205,5623
"ENSMUSG00000029427",673,503,701,790,897,773,312,622
"ENSMUSG00000029428",288,257,363,381,366,334,226,275
"ENSMUSG00000029430",2501,2117,3138,3351,3270,2691,3373,2407
"ENSMUSG00000029431",1,0,0,0,0,2,1,1
"ENSMUSG00000029432",1951,1681,2692,2997,2752,2220,1774,2019
"ENSMUSG00000029433",92,64,113,138,110,92,124,83
"ENSMUSG00000029434",3019,2465,3767,3969,3871,3261,4102,2871
"ENSMUSG00000029436",5582,6057,5253,5727,8438,5799,13303,5227
"ENSMUSG00000029437",0,0,0,0,0,0,0,0
"ENSMUSG00000029438",3022,2489,3380,3442,3686,3024,1525,2862
"ENSMUSG00000029439",1527,1257,1593,1618,1879,1503,1180,1126
"ENSMUSG00000029440",583,537,765,782,706,659,1692,573
"ENSMUSG00000029442",225,174,204,247,253,168,185,200
"ENSMUSG00000029445",0,0,0,0,0,1,1,0
"ENSMUSG00000029446",406,363,505,529,590,454,1156,415
"ENSMUSG00000029447",4892,3844,5811,6503,6535,4993,2949,4537
"ENSMUSG00000029449",1002,820,1232,1144,1183,1020,3104,982
"ENSMUSG00000029451",0,0,0,0,0,0,0,0
"ENSMUSG00000029452",66,59,75,81,83,83,125,59
"ENSMUSG00000029454",31,32,39,43,44,41,31,36
"ENSMUSG00000029455",2202,1961,3658,4123,3909,3591,7375,2665
"ENSMUSG00000029456",66,34,81,102,93,66,169,57
"ENSMUSG00000029458",1974,1616,2408,2445,2516,2152,1921,1819
"ENSMUSG00000029461",11434,9432,13864,15261,15050,12081,4979,10629
"ENSMUSG00000029462",2375,1863,2932,3152,3085,2395,2016,2393
"ENSMUSG00000029463",432,312,523,508,505,389,478,387
"ENSMUSG00000029464",343,253,456,402,439,365,246,297
"ENSMUSG00000029465",2006,1821,2082,2448,2660,1950,3720,1960
"ENSMUSG00000029466",868,761,1148,1148,1042,977,2847,861
"ENSMUSG00000029467",33495,26079,38974,44918,43498,32681,15372,30940
"ENSMUSG00000029468",316,247,409,433,438,304,393,293
"ENSMUSG00000029469",1099,703,1324,1489,1343,1087,204,945
"ENSMUSG00000029470",252,167,327,385,343,313,515,234
"ENSMUSG00000029471",4322,3641,4725,5096,5165,4000,2861,4197
"ENSMUSG00000029472",3910,3102,4878,4847,5068,4244,6316,3638
"ENSMUSG00000029474",1510,1203,1858,1954,2073,1556,1167,1534
"ENSMUSG00000029475",608,502,632,695,811,660,703,551
"ENSMUSG00000029477",7,3,21,18,21,12,15,10
"ENSMUSG00000029478",6623,6457,7940,7778,8610,7711,19766,6223
"ENSMUSG00000029480",508,451,695,615,620,528,1615,484
"ENSMUSG00000029482",1165,1096,1380,1451,1404,1299,2520,1139
"ENSMUSG00000029484",248,172,321,389,375,313,162,227
"ENSMUSG00000029486",530,364,640,692,738,518,87,526
"ENSMUSG00000029490",14,13,24,29,19,25,32,18
"ENSMUSG00000029491",4,3,8,7,4,3,2,4
"ENSMUSG00000029499",53,43,78,102,83,86,152,66
"ENSMUSG00000029500",1401,1125,1652,1740,1778,1446,2090,1244
"ENSMUSG00000029501",1388,1040,1649,1856,1916,1516,429,1375
"ENSMUSG00000029502",2607,2028,3330,3289,3410,2767,775,2354
"ENSMUSG00000029503",0,0,1,0,1,1,4,4
"ENSMUSG00000029504",487,431,582,596,634,553,541,498
"ENSMUSG00000029505",3826,3127,4750,4743,5032,4273,3331,3725
"ENSMUSG00000029507",309,272,419,426,351,329,770,322
"ENSMUSG00000029510",10,6,14,11,5,10,10,9
"ENSMUSG00000029512",2266,1927,2808,2818,2836,2616,5374,2192
"ENSMUSG00000029513",286,264,422,460,392,340,809,279
"ENSMUSG00000029516",3269,2046,5677,6307,2928,4150,6890,3160
"ENSMUSG00000029517",3,3,0,3,3,2,0,1
"ENSMUSG00000029518",2271,1894,2697,2720,2918,2437,3597,2188
"ENSMUSG00000029521",50,25,51,46,70,22,53,47
"ENSMUSG00000029522",0,0,0,0,0,0,0,0
"ENSMUSG00000029524",175,132,237,214,219,202,203,132
"ENSMUSG00000029526",0,1,1,1,0,0,0,0
"ENSMUSG00000029528",757,518,963,947,908,880,1713,711
"ENSMUSG00000029530",3,8,22,23,37,25,3,25
"ENSMUSG00000029534",400,364,473,514,626,420,377,383
"ENSMUSG00000029535",325,275,418,403,415,370,625,326
"ENSMUSG00000029536",746,568,869,924,923,716,644,654
"ENSMUSG00000029538",1021,782,1121,1271,1406,1109,1497,951
"ENSMUSG00000029541",0,0,0,0,0,0,0,2
"ENSMUSG00000029544",1521,1596,1819,1830,1913,1693,5001,1469
"ENSMUSG00000029545",149,138,241,213,202,209,893,165
"ENSMUSG00000029546",12,2,50,40,2,20,50,7
"ENSMUSG00000029547",2785,2535,3569,3459,3566,3123,10611,2512
"ENSMUSG00000029550",1614,1363,1931,2058,1933,1665,2688,1577
"ENSMUSG00000029551",91,105,138,147,122,125,431,80
"ENSMUSG00000029552",35,20,55,81,80,75,23,65
"ENSMUSG00000029553",0,0,2,1,4,1,2,0
"ENSMUSG00000029554",378,335,486,497,462,401,982,316
"ENSMUSG00000029556",3,1,0,0,0,0,0,2
"ENSMUSG00000029557",213,153,284,265,239,246,682,223
"ENSMUSG00000029559",2395,2052,3105,2996,2958,2661,5656,2339
"ENSMUSG00000029560",290,210,453,457,315,373,1671,238
"ENSMUSG00000029561",86,43,199,172,137,136,292,94
"ENSMUSG00000029563",138,42,799,813,153,285,77,132
"ENSMUSG00000029564",0,0,2,0,2,0,0,0
"ENSMUSG00000029569",572,435,739,843,913,687,143,610
"ENSMUSG00000029570",356,253,566,546,446,470,1856,317
"ENSMUSG00000029571",9143,5638,10866,12293,12366,9101,452,8537
"ENSMUSG00000029575",618,536,850,837,777,737,1157,626
"ENSMUSG00000029576",220,177,352,292,265,250,756,196
"ENSMUSG00000029577",3458,3236,4023,4173,4573,3630,10449,3139
"ENSMUSG00000029578",3464,2890,4355,4722,4620,3793,6306,3470
"ENSMUSG00000029580",41362,36157,47157,49207,56799,41664,104396,41046
"ENSMUSG00000029581",3962,3870,4832,5248,4931,4479,15777,3631
"ENSMUSG00000029586",0,0,0,0,0,0,0,0
"ENSMUSG00000029587",889,765,1147,1154,1172,1050,469,860
"ENSMUSG00000029591",29,16,36,40,23,35,40,36
"ENSMUSG00000029592",1199,947,1586,1593,1500,1224,3225,1114
"ENSMUSG00000029594",302,268,435,388,405,326,705,304
"ENSMUSG00000029595",13,7,85,67,5,39,45,9
"ENSMUSG00000029596",49,61,84,94,75,80,262,48
"ENSMUSG00000029597",10,13,11,19,8,17,22,5
"ENSMUSG00000029598",1617,1412,2474,2276,2091,2132,5834,1703
"ENSMUSG00000029599",901,827,1123,1209,1170,996,3053,866
"ENSMUSG00000029600",324,259,416,399,369,368,1125,339
"ENSMUSG00000029601",35,21,49,54,55,49,41,40
"ENSMUSG00000029602",2423,2353,2310,2416,2928,2301,7579,2100
"ENSMUSG00000029603",2304,1990,3022,2926,2607,2646,8507,2095
"ENSMUSG00000029605",8,6,15,14,9,14,15,7
"ENSMUSG00000029607",10,11,13,5,19,8,3,8
"ENSMUSG00000029608",9974,8758,13808,13474,12111,9922,22047,8880
"ENSMUSG00000029610",202,170,244,261,260,184,749,191
"ENSMUSG00000029613",1827,1472,2325,2578,2589,1983,1917,1866
"ENSMUSG00000029614",1086,934,1410,1475,1446,1194,2907,1105
"ENSMUSG00000029616",1165,1083,1465,1636,1658,1451,2639,1174
"ENSMUSG00000029617",834,602,999,1112,1120,844,239,795
"ENSMUSG00000029618",0,0,1,0,0,2,2,1
"ENSMUSG00000029620",0,0,0,0,0,0,0,0
"ENSMUSG00000029621",4085,3874,4628,5087,5534,4072,8771,3905
"ENSMUSG00000029622",363,250,452,461,491,397,464,322
"ENSMUSG00000029623",2021,1704,2413,2703,2728,2265,1825,1957
"ENSMUSG00000029624",510,441,737,684,663,575,1095,501
"ENSMUSG00000029625",288,220,388,315,316,293,345,265
"ENSMUSG00000029627",236,184,283,331,291,252,496,234
"ENSMUSG00000029629",1849,1306,2455,2525,2360,1949,216,1801
"ENSMUSG00000029630",0,0,0,0,0,0,0,0
"ENSMUSG00000029632",3908,3272,5052,5852,5271,4564,9283,4103
"ENSMUSG00000029633",3,5,9,5,1,4,0,2
"ENSMUSG00000029634",2020,1677,2388,2797,2663,2120,291,2003
"ENSMUSG00000029635",523,403,687,671,687,621,133,522
"ENSMUSG00000029636",5394,4049,6841,7389,7056,5563,1829,5114
"ENSMUSG00000029638",61,53,80,82,65,77,6,66
"ENSMUSG00000029640",2246,1902,2495,2795,3057,2387,542,2147
"ENSMUSG00000029641",137,148,147,176,183,110,373,147
"ENSMUSG00000029642",549,461,662,750,787,608,1259,647
"ENSMUSG00000029644",0,0,0,0,0,0,0,0
"ENSMUSG00000029646",0,0,0,0,0,0,0,0
"ENSMUSG00000029647",1158,854,1437,1432,1525,1275,330,1147
"ENSMUSG00000029648",2690,1960,3496,3748,3625,3381,1401,2290
"ENSMUSG00000029649",1770,1613,2274,2425,2345,1899,3013,1801
"ENSMUSG00000029650",196,131,243,247,245,233,259,187
"ENSMUSG00000029651",1563,1285,1877,2044,1916,1864,1427,1497
"ENSMUSG00000029655",1750,1045,1970,2205,2342,1803,173,1667
"ENSMUSG00000029656",0,0,4,2,3,0,0,0
"ENSMUSG00000029657",9171,7920,10422,12289,13765,9493,3654,8629
"ENSMUSG00000029658",11,9,10,18,11,11,18,8
"ENSMUSG00000029659",90,44,153,198,120,101,45,67
"ENSMUSG00000029660",8,8,2,8,9,4,8,11
"ENSMUSG00000029661",408,164,1104,1757,1594,1598,1313,748
"ENSMUSG00000029663",0,0,0,0,0,0,0,0
"ENSMUSG00000029664",5,0,0,5,2,0,0,1
"ENSMUSG00000029669",690,466,948,1016,968,722,129,638
"ENSMUSG00000029670",548,380,707,701,703,575,137,505
"ENSMUSG00000029671",26,27,42,44,56,34,1,34
"ENSMUSG00000029672",1926,1399,2507,2694,2627,2260,790,1881
"ENSMUSG00000029673",4191,3660,4404,4612,5832,4542,3178,3749
"ENSMUSG00000029674",1240,928,2146,1744,1288,1432,4488,1105
"ENSMUSG00000029675",188,118,259,406,509,366,533,220
"ENSMUSG00000029676",546,419,624,737,663,565,255,476
"ENSMUSG00000029678",0,0,0,0,0,0,0,0
"ENSMUSG00000029679",0,0,1,0,0,0,0,1
"ENSMUSG00000029680",0,0,2,0,0,0,0,0
"ENSMUSG00000029681",855,749,1221,1122,1114,1091,1752,847
"ENSMUSG00000029682",0,0,0,0,0,0,0,0
"ENSMUSG00000029683",0,0,0,6,0,0,4,0
"ENSMUSG00000029684",6221,4098,6774,7758,8095,5690,1201,5596
"ENSMUSG00000029685",0,0,2,0,4,0,4,0
"ENSMUSG00000029686",3617,2901,4480,4940,4953,3734,750,3360
"ENSMUSG00000029687",125,108,191,192,173,158,38,125
"ENSMUSG00000029695",170,96,252,302,279,263,87,184
"ENSMUSG00000029697",3,3,1,3,0,1,28,1
"ENSMUSG00000029699",18,5,40,30,22,32,84,26
"ENSMUSG00000029700",3,2,7,7,8,1,0,5
"ENSMUSG00000029701",1086,1003,1214,1519,1739,1172,451,1054
"ENSMUSG00000029703",230,195,282,318,276,264,790,215
"ENSMUSG00000029705",1964,1157,3038,3141,2088,2401,2249,2064
"ENSMUSG00000029706",0,0,2,0,0,0,0,1
"ENSMUSG00000029707",0,0,0,0,0,0,0,0
"ENSMUSG00000029708",775,658,1029,1070,1108,889,453,781
"ENSMUSG00000029710",176,139,303,368,368,322,820,223
"ENSMUSG00000029711",0,1,1,0,0,0,1,0
"ENSMUSG00000029712",1547,1475,1528,1833,2034,1561,3663,1379
"ENSMUSG00000029713",4689,4554,5756,6054,6297,5141,20184,4628
"ENSMUSG00000029714",1502,1166,1897,1853,1790,1739,2161,1475
"ENSMUSG00000029715",338,316,348,351,373,317,1185,289
"ENSMUSG00000029716",112,99,163,153,172,173,388,112
"ENSMUSG00000029718",110,47,466,793,642,732,1171,442
"ENSMUSG00000029720",8,9,9,3,9,9,7,7
"ENSMUSG00000029722",1551,1405,1717,1721,2067,1696,2226,1524
"ENSMUSG00000029723",1653,1459,2387,2385,2088,2020,6108,1766
"ENSMUSG00000029725",227,142,271,323,239,275,1260,226
"ENSMUSG00000029726",1040,855,1442,1384,1287,1202,3301,1089
"ENSMUSG00000029727",8,3,19,16,8,4,0,8
"ENSMUSG00000029729",2842,2099,3489,3696,3664,2844,502,2616
"ENSMUSG00000029730",265,217,328,320,320,312,517,263
"ENSMUSG00000029735",46,47,82,96,93,88,18,59
"ENSMUSG00000029736",0,0,0,0,0,1,0,1
"ENSMUSG00000029752",2536,1882,3082,3352,3061,2591,6198,2414
"ENSMUSG00000029754",164,96,126,136,127,95,54,172
"ENSMUSG00000029755",108,68,84,94,88,80,188,116
"ENSMUSG00000029757",3638,3241,4669,4791,4741,3789,3473,3537
"ENSMUSG00000029759",67,34,286,427,454,366,50,275
"ENSMUSG00000029761",1373,907,1862,2384,2608,1990,280,1468
"ENSMUSG00000029762",5,6,14,41,14,18,37,22
"ENSMUSG00000029763",3179,2530,3612,4321,4398,3502,1160,2985
"ENSMUSG00000029765",10304,9927,10382,10796,14781,10075,3155,9807
"ENSMUSG00000029766",0,1,0,0,0,1,0,0
"ENSMUSG00000029767",2603,1932,3459,3949,3798,3050,1017,2634
"ENSMUSG00000029769",1482,1041,2475,2697,1469,1680,4107,1424
"ENSMUSG00000029771",83,71,107,107,113,101,296,81
"ENSMUSG00000029772",7628,5846,10568,11966,12093,10472,2383,8254
"ENSMUSG00000029775",3856,2883,5101,5172,4985,4244,1625,3796
"ENSMUSG00000029776",1107,866,1565,1731,1574,1325,1263,1100
"ENSMUSG00000029777",3621,2999,4611,4936,4668,3875,4852,3357
"ENSMUSG00000029778",7383,5637,9677,9047,8212,8182,13462,6825
"ENSMUSG00000029780",981,698,1231,1316,1276,1041,343,927
"ENSMUSG00000029781",993,816,1668,2073,2046,1732,1686,1369
"ENSMUSG00000029782",838,615,971,1074,1172,861,489,743
"ENSMUSG00000029784",1,1,1,1,1,1,4,4
"ENSMUSG00000029787",2836,1952,3616,3766,3619,2862,278,2602
"ENSMUSG00000029788",0,1,0,1,1,0,3,1
"ENSMUSG00000029790",194,170,246,293,327,241,182,168
"ENSMUSG00000029797",61,53,69,60,71,58,70,33
"ENSMUSG00000029798",109,46,153,199,179,126,11,120
"ENSMUSG00000029802",464,314,729,790,790,628,205,533
"ENSMUSG00000029804",6156,4914,6866,7666,8102,5716,1834,5494
"ENSMUSG00000029810",553,413,858,1029,991,882,2235,669
"ENSMUSG00000029811",3,3,1,3,3,0,0,2
"ENSMUSG00000029813",0,0,0,0,0,0,0,1
"ENSMUSG00000029814",115,88,168,152,163,153,9,138
"ENSMUSG00000029815",239,175,223,282,262,240,471,181
"ENSMUSG00000029816",148,128,188,207,251,151,222,140
"ENSMUSG00000029817",1322,917,1556,1714,1782,1334,267,1139
"ENSMUSG00000029819",642,674,701,764,1051,724,2230,686
"ENSMUSG00000029821",782,504,1043,1102,983,892,397,834
"ENSMUSG00000029822",574,439,686,848,767,645,348,545
"ENSMUSG00000029823",3876,2624,5055,5219,5012,3899,346,3709
"ENSMUSG00000029826",341,244,478,578,533,426,173,368
"ENSMUSG00000029828",25,11,32,32,21,20,25,18
"ENSMUSG00000029829",0,0,0,1,0,0,0,1
"ENSMUSG00000029830",1,2,3,7,9,13,5,2
"ENSMUSG00000029831",0,1,1,0,1,0,0,0
"ENSMUSG00000029832",141,97,203,223,166,138,70,144
"ENSMUSG00000029833",942,760,1188,1261,1328,1131,245,884
"ENSMUSG00000029836",474,248,556,585,576,468,69,465
"ENSMUSG00000029837",2,1,4,3,2,2,0,0
"ENSMUSG00000029838",6897,4654,9357,10871,9572,7678,2130,6965
"ENSMUSG00000029840",12255,7920,12838,16007,16876,11572,1828,11721
"ENSMUSG00000029843",267,45,1472,2063,2136,1980,1540,1126
"ENSMUSG00000029844",0,0,2,0,1,1,4,0
"ENSMUSG00000029847",6,8,6,14,9,7,5,10
"ENSMUSG00000029848",0,0,0,0,0,0,0,0
"ENSMUSG00000029851",23,14,74,79,62,85,18,50
"ENSMUSG00000029859",12,11,17,24,18,16,27,17
"ENSMUSG00000029860",961,968,1321,1401,1265,1111,4218,957
"ENSMUSG00000029861",3384,2872,3909,4251,4141,3499,6868,3350
"ENSMUSG00000029862",43,29,59,43,52,46,13,24
"ENSMUSG00000029863",216,157,295,289,329,233,251,233
"ENSMUSG00000029864",181,123,218,279,216,251,608,168
"ENSMUSG00000029865",0,0,0,0,0,0,0,0
"ENSMUSG00000029866",0,1,0,2,0,0,1,1
"ENSMUSG00000029867",1,0,0,0,0,0,0,0
"ENSMUSG00000029868",84,62,90,135,78,119,58,68
"ENSMUSG00000029869",2142,1981,2412,2580,2610,2311,5818,1834
"ENSMUSG00000029875",485,356,860,762,459,603,2587,452
"ENSMUSG00000029878",2626,1670,2463,3003,3104,2174,215,2375
"ENSMUSG00000029882",0,0,0,0,0,0,0,0
"ENSMUSG00000029883",0,0,0,0,0,0,0,0
"ENSMUSG00000029885",0,0,0,0,0,0,0,0
"ENSMUSG00000029909",0,0,0,0,0,0,0,0
"ENSMUSG00000029910",223,167,295,324,328,217,87,236
"ENSMUSG00000029911",244,186,307,340,376,258,106,227
"ENSMUSG00000029913",164,112,198,207,274,244,34,156
"ENSMUSG00000029915",55,39,66,62,83,48,11,40
"ENSMUSG00000029916",433,331,525,592,568,402,363,357
"ENSMUSG00000029917",39,9,15,33,6,8,3,29
"ENSMUSG00000029918",253,197,278,300,294,258,260,249
"ENSMUSG00000029919",201,149,250,271,263,185,19,191
"ENSMUSG00000029920",914,577,1136,1164,1311,1020,70,911
"ENSMUSG00000029922",3088,2394,3631,3959,3894,3236,3595,2840
"ENSMUSG00000029923",2,1,2,4,15,5,6,6
"ENSMUSG00000029924",1600,1353,1948,2189,2188,1740,1121,1575
"ENSMUSG00000029925",52,55,65,83,87,65,116,66
"ENSMUSG00000029992",2869,2062,3919,4421,3969,3453,631,2892
"ENSMUSG00000029993",763,631,1011,1038,1047,803,1222,747
"ENSMUSG00000029994",107,61,186,249,215,225,129,153
"ENSMUSG00000029998",3764,3115,5003,5161,5200,4121,2385,3786
"ENSMUSG00000029999",1119,932,1613,1552,1709,1430,898,1143
"ENSMUSG00000030000",13737,11503,14976,15292,18073,13641,13670,12674
"ENSMUSG00000030001",0,0,2,0,0,0,0,0
"ENSMUSG00000030002",1124,748,1418,1510,1561,1244,204,886
"ENSMUSG00000030004",22,16,35,28,33,29,105,27
"ENSMUSG00000030007",4508,4013,5600,5990,5903,4877,11785,4414
"ENSMUSG00000030008",227,170,230,249,253,199,561,192
"ENSMUSG00000030016",4321,3089,5639,5940,6134,4683,151,4228
"ENSMUSG00000030017",0,0,0,0,0,0,0,0
"ENSMUSG00000030019",829,709,1013,1202,1008,971,710,909
"ENSMUSG00000030020",12437,10123,13061,14368,17030,11561,3724,11362
"ENSMUSG00000030022",272,232,325,331,388,355,54,270
"ENSMUSG00000030029",926,690,2056,1877,1160,1465,2387,930
"ENSMUSG00000030030",616,525,742,834,728,712,2604,634
"ENSMUSG00000030031",273,152,322,342,324,226,18,274
"ENSMUSG00000030032",227,191,283,336,319,314,1239,246
"ENSMUSG00000030034",312,295,363,377,359,359,1169,272
"ENSMUSG00000030035",457,389,650,674,640,559,1830,470
"ENSMUSG00000030036",592,474,768,705,717,681,1587,576
"ENSMUSG00000030037",0,1,0,0,0,0,0,0
"ENSMUSG00000030041",0,1,2,6,5,2,4,0
"ENSMUSG00000030042",641,523,782,914,1039,821,520,676
"ENSMUSG00000030043",60,54,280,198,78,180,251,73
"ENSMUSG00000030045",756,627,1012,996,1048,812,890,742
"ENSMUSG00000030046",0,0,0,0,0,0,0,0
"ENSMUSG00000030047",121,77,123,129,97,85,86,98
"ENSMUSG00000030048",24,23,45,86,78,55,210,25
"ENSMUSG00000030049",0,0,0,0,0,0,0,0
"ENSMUSG00000030050",0,0,0,0,0,0,1,0
"ENSMUSG00000030051",121,95,192,161,197,148,65,123
"ENSMUSG00000030054",5,2,10,8,10,7,26,3
"ENSMUSG00000030055",23,20,34,46,35,19,70,28
"ENSMUSG00000030056",546,420,689,718,769,645,273,487
"ENSMUSG00000030057",6413,5199,8124,8989,8805,6754,3550,6155
"ENSMUSG00000030058",7994,7067,10683,10755,10506,8924,13181,7608
"ENSMUSG00000030059",1998,1442,2719,2917,2734,2198,165,2035
"ENSMUSG00000030060",327,212,390,329,361,274,698,304
"ENSMUSG00000030061",2043,1268,2452,2763,2746,1974,207,1873
"ENSMUSG00000030062",3405,3049,4488,4901,4758,3955,5544,3506
"ENSMUSG00000030064",767,773,1269,1241,1386,1085,428,841
"ENSMUSG00000030067",3571,2889,3665,4341,5253,3866,917,3135
"ENSMUSG00000030068",4,0,5,3,5,4,0,3
"ENSMUSG00000030069",11,12,3,7,9,9,11,7
"ENSMUSG00000030074",66,48,146,178,188,176,43,95
