"","RR3_BRN_FLT_F1","RR3_BRN_FLT_F2","RR3_BRN_FLT_F7","RR3_BRN_GC_G7","RR3_BRN_GC_G8","RR3_BRN_GC_G9"
"ENSMUSG00000077302",0,0,0,0,0,0
"ENSMUSG00000077303",0,0,0,0,0,6
"ENSMUSG00000077304",0,0,0,0,0,0
"ENSMUSG00000077305",0,0,0,0,0,0
"ENSMUSG00000077306",0,0,0,0,0,0
"ENSMUSG00000077312",0,0,0,0,0,0
"ENSMUSG00000077314",0,0,0,0,0,0
"ENSMUSG00000077315",0,0,0,0,0,0
"ENSMUSG00000077317",0,0,0,0,0,0
"ENSMUSG00000077318",0,0,0,0,0,0
"ENSMUSG00000077320",0,0,0,0,0,0
"ENSMUSG00000077323",173,120,208,155,183,131
"ENSMUSG00000077325",0,0,0,0,0,0
"ENSMUSG00000077327",0,0,0,0,0,0
"ENSMUSG00000077328",0,0,1,0,0,0
"ENSMUSG00000077332",0,0,0,0,0,0
"ENSMUSG00000077333",0,0,0,0,0,0
"ENSMUSG00000077334",0,0,0,0,0,0
"ENSMUSG00000077336",0,0,0,0,0,0
"ENSMUSG00000077337",0,0,0,0,0,0
"ENSMUSG00000077338",5,0,2,9,2,0
"ENSMUSG00000077339",1,0,0,0,4,0
"ENSMUSG00000077342",0,0,2,0,0,0
"ENSMUSG00000077344",0,0,0,0,0,0
"ENSMUSG00000077345",1,7,1,0,4,0
"ENSMUSG00000077347",3,9,0,6,7,1
"ENSMUSG00000077348",0,0,0,0,0,0
"ENSMUSG00000077349",0,0,0,0,0,0
"ENSMUSG00000077354",0,0,0,0,0,0
"ENSMUSG00000077357",0,0,0,0,0,0
"ENSMUSG00000077358",0,0,0,0,0,0
"ENSMUSG00000077359",0,0,0,0,0,0
"ENSMUSG00000077360",5,1,1,1,2,0
"ENSMUSG00000077361",0,0,0,0,0,0
"ENSMUSG00000077366",0,0,0,0,0,0
"ENSMUSG00000077367",0,0,0,0,0,0
"ENSMUSG00000077368",0,0,0,0,0,0
"ENSMUSG00000077369",0,0,0,0,0,0
"ENSMUSG00000077376",0,0,0,0,0,0
"ENSMUSG00000077377",0,0,0,0,0,0
"ENSMUSG00000077378",0,0,0,0,0,0
"ENSMUSG00000077379",0,0,0,0,0,0
"ENSMUSG00000077380",0,5,10,4,6,11
"ENSMUSG00000077381",0,0,0,0,2,0
"ENSMUSG00000077383",0,0,0,0,0,0
"ENSMUSG00000077384",0,0,0,0,0,0
"ENSMUSG00000077385",0,0,0,0,0,0
"ENSMUSG00000077387",3,0,1,3,0,0
"ENSMUSG00000077391",55,60,96,72,86,20
"ENSMUSG00000077392",0,0,0,0,0,0
"ENSMUSG00000077393",0,0,0,0,0,0
"ENSMUSG00000077394",305,315,294,283,419,353
"ENSMUSG00000077396",0,0,0,0,0,0
"ENSMUSG00000077397",0,0,0,0,0,0
"ENSMUSG00000077398",0,0,0,0,0,0
"ENSMUSG00000077399",0,0,0,0,0,0
"ENSMUSG00000077400",0,4,0,0,0,0
"ENSMUSG00000077402",0,0,0,0,0,0
"ENSMUSG00000077403",0,0,0,0,0,0
"ENSMUSG00000077404",0,0,0,0,0,0
"ENSMUSG00000077406",0,0,0,0,0,0
"ENSMUSG00000077407",0,0,0,0,0,0
"ENSMUSG00000077408",0,0,0,0,0,0
"ENSMUSG00000077409",0,0,0,0,1,12
"ENSMUSG00000077410",0,0,0,0,0,0
"ENSMUSG00000077411",0,0,0,0,0,0
"ENSMUSG00000077413",0,0,0,0,0,0
"ENSMUSG00000077415",0,0,0,0,0,0
"ENSMUSG00000077416",0,0,0,0,0,0
"ENSMUSG00000077417",0,0,0,0,0,0
"ENSMUSG00000077418",0,0,0,0,0,0
"ENSMUSG00000077419",0,0,0,0,0,0
"ENSMUSG00000077422",0,0,0,0,0,0
"ENSMUSG00000077424",2,0,0,0,0,0
"ENSMUSG00000077425",0,0,0,0,0,0
"ENSMUSG00000077426",5,0,4,3,4,13
"ENSMUSG00000077427",0,0,0,0,0,0
"ENSMUSG00000077430",0,0,0,0,0,0
"ENSMUSG00000077431",0,0,0,0,0,0
"ENSMUSG00000077433",0,0,0,0,0,0
"ENSMUSG00000077435",0,0,0,0,0,0
"ENSMUSG00000077438",0,0,0,0,0,0
"ENSMUSG00000077439",0,0,0,0,0,0
"ENSMUSG00000077440",0,0,0,0,0,0
"ENSMUSG00000077441",0,0,0,0,0,0
"ENSMUSG00000077447",0,0,0,0,0,0
"ENSMUSG00000077448",0,0,0,0,0,0
"ENSMUSG00000077449",0,0,0,0,0,0
"ENSMUSG00000077450",3355,3221,3250,3582,3354,3010
"ENSMUSG00000077451",0,0,0,0,0,0
"ENSMUSG00000077453",0,0,0,0,0,0
"ENSMUSG00000077454",0,0,0,0,0,0
"ENSMUSG00000077455",0,0,0,0,0,0
"ENSMUSG00000077456",0,0,0,0,0,0
"ENSMUSG00000077457",0,0,0,0,0,0
"ENSMUSG00000077459",0,0,0,0,0,0
"ENSMUSG00000077460",0,0,0,0,0,0
"ENSMUSG00000077461",0,0,0,0,0,0
"ENSMUSG00000077462",0,0,0,0,0,0
"ENSMUSG00000077463",0,1,0,0,0,3
"ENSMUSG00000077465",0,0,0,0,0,0
"ENSMUSG00000077468",0,0,0,0,0,0
"ENSMUSG00000077469",0,0,0,0,0,0
"ENSMUSG00000077470",0,0,0,0,0,0
"ENSMUSG00000077471",0,0,0,0,0,0
"ENSMUSG00000077472",8,13,2,5,9,7
"ENSMUSG00000077473",0,0,0,0,0,0
"ENSMUSG00000077474",0,0,0,0,0,0
"ENSMUSG00000077476",0,0,0,0,0,0
"ENSMUSG00000077477",0,0,0,0,0,0
"ENSMUSG00000077481",0,0,0,0,3,0
"ENSMUSG00000077484",0,0,0,0,0,0
"ENSMUSG00000077485",0,0,0,0,0,0
"ENSMUSG00000077488",1,0,0,0,3,0
"ENSMUSG00000077492",0,0,0,0,0,0
"ENSMUSG00000077493",3,0,0,0,0,0
"ENSMUSG00000077494",0,0,0,0,0,0
"ENSMUSG00000077495",0,0,0,0,0,0
"ENSMUSG00000077497",1,0,0,0,0,6
"ENSMUSG00000077501",0,0,0,0,0,0
"ENSMUSG00000077502",0,0,0,0,0,0
"ENSMUSG00000077503",0,0,0,0,0,0
"ENSMUSG00000077504",0,0,0,0,0,0
"ENSMUSG00000077505",13,7,6,7,7,15
"ENSMUSG00000077506",3,0,1,1,1,2
"ENSMUSG00000077507",0,0,0,0,0,0
"ENSMUSG00000077511",0,0,0,0,0,0
"ENSMUSG00000077514",0,0,0,0,0,0
"ENSMUSG00000077515",0,0,0,0,0,0
"ENSMUSG00000077518",0,0,0,0,0,0
"ENSMUSG00000077519",0,0,0,0,0,0
"ENSMUSG00000077521",0,0,0,0,0,0
"ENSMUSG00000077522",0,0,0,0,0,0
"ENSMUSG00000077526",0,0,0,0,0,0
"ENSMUSG00000077527",0,0,0,0,0,0
"ENSMUSG00000077528",0,0,0,0,0,0
"ENSMUSG00000077535",22,15,15,11,7,21
"ENSMUSG00000077537",0,0,0,0,0,0
"ENSMUSG00000077538",0,0,0,0,0,0
"ENSMUSG00000077539",0,0,0,0,0,0
"ENSMUSG00000077541",0,0,0,0,0,0
"ENSMUSG00000077542",0,0,0,8,1,0
"ENSMUSG00000077543",0,0,0,0,0,0
"ENSMUSG00000077545",0,3,0,0,0,0
"ENSMUSG00000077546",8,12,4,9,2,3
"ENSMUSG00000077547",0,0,0,0,0,0
"ENSMUSG00000077549",4,0,3,0,1,3
"ENSMUSG00000077552",0,0,0,0,0,0
"ENSMUSG00000077553",0,0,0,0,0,0
"ENSMUSG00000077554",0,0,0,0,0,0
"ENSMUSG00000077555",0,0,0,0,0,0
"ENSMUSG00000077557",0,0,0,0,0,0
"ENSMUSG00000077558",0,0,0,0,1,0
"ENSMUSG00000077561",2,2,3,2,1,0
"ENSMUSG00000077562",0,0,0,0,0,0
"ENSMUSG00000077563",0,0,0,0,0,0
"ENSMUSG00000077564",0,0,0,0,1,0
"ENSMUSG00000077565",0,0,0,0,0,0
"ENSMUSG00000077567",5,8,4,2,5,0
"ENSMUSG00000077569",3,0,2,13,0,5
"ENSMUSG00000077572",0,0,0,0,0,0
"ENSMUSG00000077574",0,0,0,0,3,0
"ENSMUSG00000077575",0,0,2,0,0,0
"ENSMUSG00000077576",0,0,0,0,0,0
"ENSMUSG00000077577",0,0,0,0,0,0
"ENSMUSG00000077578",6,0,3,0,1,0
"ENSMUSG00000077579",0,0,0,0,0,0
"ENSMUSG00000077581",13,28,8,14,11,5
"ENSMUSG00000077582",0,0,0,0,0,0
"ENSMUSG00000077585",0,0,0,0,0,0
"ENSMUSG00000077586",0,0,0,0,0,0
"ENSMUSG00000077587",0,0,0,0,0,0
"ENSMUSG00000077590",0,0,0,0,0,0
"ENSMUSG00000077591",0,0,0,0,0,0
"ENSMUSG00000077592",0,0,0,0,0,0
"ENSMUSG00000077593",0,0,0,0,0,0
"ENSMUSG00000077594",0,0,0,0,0,0
"ENSMUSG00000077595",0,0,0,0,0,0
"ENSMUSG00000077597",0,0,0,0,0,0
"ENSMUSG00000077598",0,0,0,0,0,0
"ENSMUSG00000077599",0,0,0,0,0,0
"ENSMUSG00000077601",0,0,0,0,0,0
"ENSMUSG00000077602",0,6,0,0,0,0
"ENSMUSG00000077603",0,0,0,0,0,0
"ENSMUSG00000077604",0,0,0,0,0,0
"ENSMUSG00000077607",4,7,2,4,5,3
"ENSMUSG00000077608",0,0,0,0,0,0
"ENSMUSG00000077609",0,0,0,0,0,0
"ENSMUSG00000077611",0,0,0,6,0,0
"ENSMUSG00000077612",0,0,0,0,0,0
"ENSMUSG00000077615",3,0,0,0,0,3
"ENSMUSG00000077616",0,0,0,0,0,0
"ENSMUSG00000077617",0,0,0,4,0,0
"ENSMUSG00000077618",0,0,0,0,0,0
"ENSMUSG00000077619",0,0,0,0,0,0
"ENSMUSG00000077624",0,0,0,0,0,0
"ENSMUSG00000077625",0,3,0,0,1,0
"ENSMUSG00000077627",0,0,0,0,0,0
"ENSMUSG00000077628",0,0,0,0,0,0
"ENSMUSG00000077629",0,0,0,0,0,0
"ENSMUSG00000077630",0,0,0,0,0,0
"ENSMUSG00000077633",0,0,0,0,0,0
"ENSMUSG00000077635",0,0,0,0,0,0
"ENSMUSG00000077637",0,0,3,0,0,5
"ENSMUSG00000077639",0,0,0,0,0,0
"ENSMUSG00000077641",0,0,0,0,0,0
"ENSMUSG00000077642",0,0,0,0,0,0
"ENSMUSG00000077643",0,0,0,0,0,0
"ENSMUSG00000077645",0,0,0,0,0,0
"ENSMUSG00000077647",0,0,0,0,0,0
"ENSMUSG00000077648",0,0,0,0,0,0
"ENSMUSG00000077649",0,0,0,0,0,0
"ENSMUSG00000077650",0,0,0,0,0,0
"ENSMUSG00000077652",0,0,0,0,0,0
"ENSMUSG00000077653",0,0,0,0,0,0
"ENSMUSG00000077655",0,0,0,0,0,0
"ENSMUSG00000077659",0,0,0,3,0,0
"ENSMUSG00000077660",0,0,0,0,0,0
"ENSMUSG00000077663",0,0,0,0,0,0
"ENSMUSG00000077664",0,0,0,0,0,0
"ENSMUSG00000077666",0,0,0,0,0,0
"ENSMUSG00000077667",1,0,6,7,1,0
"ENSMUSG00000077668",0,0,0,0,0,0
"ENSMUSG00000077669",0,0,0,0,0,0
"ENSMUSG00000077671",0,0,0,0,0,0
"ENSMUSG00000077672",0,0,0,0,0,0
"ENSMUSG00000077673",0,0,0,0,0,0
"ENSMUSG00000077674",0,0,0,0,0,0
"ENSMUSG00000077675",0,0,0,0,0,0
"ENSMUSG00000077677",0,0,0,0,0,0
"ENSMUSG00000077678",0,0,0,0,0,0
"ENSMUSG00000077680",0,0,0,0,0,0
"ENSMUSG00000077681",6,1,0,0,5,6
"ENSMUSG00000077682",0,0,0,0,0,0
"ENSMUSG00000077683",0,0,0,0,0,0
"ENSMUSG00000077685",0,0,0,0,0,0
"ENSMUSG00000077687",0,0,0,0,0,0
"ENSMUSG00000077689",0,0,0,0,0,0
"ENSMUSG00000077691",0,0,0,0,0,0
"ENSMUSG00000077693",0,0,0,0,0,0
"ENSMUSG00000077697",0,0,0,0,0,0
"ENSMUSG00000077698",0,0,0,0,0,0
"ENSMUSG00000077700",0,0,0,0,0,0
"ENSMUSG00000077701",0,0,0,0,0,0
"ENSMUSG00000077702",0,0,0,0,0,0
"ENSMUSG00000077703",0,0,0,0,0,0
"ENSMUSG00000077704",6,5,4,10,0,2
"ENSMUSG00000077707",0,0,0,0,0,0
"ENSMUSG00000077708",0,0,0,0,0,0
"ENSMUSG00000077709",0,0,0,0,0,0
"ENSMUSG00000077711",0,0,6,0,3,1
"ENSMUSG00000077713",0,0,0,0,0,0
"ENSMUSG00000077714",429,202,646,535,697,213
"ENSMUSG00000077716",0,0,0,0,0,0
"ENSMUSG00000077717",0,0,0,0,0,0
"ENSMUSG00000077718",0,0,0,0,0,0
"ENSMUSG00000077719",0,0,0,0,0,0
"ENSMUSG00000077730",0,0,0,0,0,0
"ENSMUSG00000077733",3,23,6,6,6,15
"ENSMUSG00000077734",1,0,11,10,0,0
"ENSMUSG00000077735",0,0,0,0,0,0
"ENSMUSG00000077736",0,0,0,0,0,0
"ENSMUSG00000077737",0,0,4,0,3,0
"ENSMUSG00000077738",0,0,0,0,0,0
"ENSMUSG00000077744",0,0,0,0,0,0
"ENSMUSG00000077745",0,0,0,0,0,0
"ENSMUSG00000077749",0,0,0,0,0,0
"ENSMUSG00000077752",0,0,0,0,0,0
"ENSMUSG00000077756",1,0,0,3,0,0
"ENSMUSG00000077757",0,0,0,0,0,0
"ENSMUSG00000077758",0,0,0,0,0,0
"ENSMUSG00000077759",0,0,0,0,0,0
"ENSMUSG00000077761",0,0,0,0,0,0
"ENSMUSG00000077767",1,0,1,0,0,0
"ENSMUSG00000077768",0,0,0,0,0,0
"ENSMUSG00000077769",0,0,0,0,0,0
"ENSMUSG00000077772",21,30,8,17,18,7
"ENSMUSG00000077776",0,0,0,0,0,0
"ENSMUSG00000077777",0,0,0,0,0,0
"ENSMUSG00000077780",0,0,0,0,0,0
"ENSMUSG00000077782",0,0,0,0,0,0
"ENSMUSG00000077783",0,0,0,0,0,0
"ENSMUSG00000077784",0,0,0,0,0,0
"ENSMUSG00000077786",0,0,0,0,0,0
"ENSMUSG00000077787",2,0,0,0,0,3
"ENSMUSG00000077791",0,0,0,0,0,0
"ENSMUSG00000077793",0,0,0,0,0,0
"ENSMUSG00000077794",0,0,0,0,0,0
"ENSMUSG00000077795",0,0,0,0,0,0
"ENSMUSG00000077796",0,0,0,0,0,0
"ENSMUSG00000077797",0,0,0,0,0,0
"ENSMUSG00000077799",0,0,0,0,0,0
"ENSMUSG00000077804",0,0,0,0,0,0
"ENSMUSG00000077815",0,0,0,0,0,0
"ENSMUSG00000077834",0,0,0,0,0,0
"ENSMUSG00000077847",0,0,0,0,0,0
"ENSMUSG00000077851",3,4,7,7,5,5
"ENSMUSG00000077869",0,0,0,0,0,0
"ENSMUSG00000077872",0,0,0,0,0,0
"ENSMUSG00000077881",0,3,0,5,0,0
"ENSMUSG00000077886",0,0,0,0,0,0
"ENSMUSG00000077890",0,0,0,0,0,0
"ENSMUSG00000077896",0,0,0,0,0,0
"ENSMUSG00000077897",0,0,0,0,0,0
"ENSMUSG00000077903",0,0,0,0,0,0
"ENSMUSG00000077921",1,2,1,0,0,0
"ENSMUSG00000077925",3,7,10,3,3,0
"ENSMUSG00000077928",0,0,0,0,0,0
"ENSMUSG00000077931",0,0,0,0,0,0
"ENSMUSG00000077941",0,0,0,0,0,0
"ENSMUSG00000077954",0,0,0,0,0,0
"ENSMUSG00000077962",0,0,1,0,4,0
"ENSMUSG00000077972",0,0,0,5,0,0
"ENSMUSG00000077980",6,12,7,11,8,9
"ENSMUSG00000077981",0,0,0,0,0,0
"ENSMUSG00000077991",0,0,0,1,0,0
"ENSMUSG00000077996",0,0,0,0,0,0
"ENSMUSG00000077998",0,0,0,0,0,0
"ENSMUSG00000078002",0,0,0,0,0,0
"ENSMUSG00000078008",0,0,0,0,0,0
"ENSMUSG00000078017",0,0,0,0,0,0
"ENSMUSG00000078024",0,0,0,0,0,0
"ENSMUSG00000078025",0,0,0,0,0,0
"ENSMUSG00000078026",0,0,0,0,0,0
"ENSMUSG00000078027",0,0,0,0,0,0
"ENSMUSG00000078031",0,0,0,0,0,0
"ENSMUSG00000078032",0,0,0,0,0,0
"ENSMUSG00000078035",0,0,0,0,0,0
"ENSMUSG00000078038",0,0,0,0,0,0
"ENSMUSG00000078041",0,0,0,0,0,0
"ENSMUSG00000078057",0,3,3,10,6,17
"ENSMUSG00000078060",0,0,0,0,0,0
"ENSMUSG00000078080",0,0,0,0,0,0
"ENSMUSG00000078087",3,0,0,0,1,0
"ENSMUSG00000078091",8,2,5,0,0,1
"ENSMUSG00000078097",0,0,0,0,0,0
"ENSMUSG00000078116",0,0,0,0,0,0
"ENSMUSG00000078117",784,813,622,755,812,994
"ENSMUSG00000078118",0,0,0,0,0,0
"ENSMUSG00000078122",3,5,10,7,16,20
"ENSMUSG00000078123",0,0,0,0,0,0
"ENSMUSG00000078125",0,0,0,0,0,0
"ENSMUSG00000078126",25,37,42,32,28,21
"ENSMUSG00000078127",0,0,0,0,0,0
"ENSMUSG00000078128",0,0,0,0,0,0
"ENSMUSG00000078129",0,0,0,0,1,0
"ENSMUSG00000078130",0,0,0,0,0,0
"ENSMUSG00000078131",0,0,0,0,0,0
"ENSMUSG00000078132",0,0,0,0,0,0
"ENSMUSG00000078134",6,2,3,2,3,7
"ENSMUSG00000078137",970,520,595,539,591,695
"ENSMUSG00000078139",598,529,698,749,514,754
"ENSMUSG00000078141",0,0,0,0,0,3
"ENSMUSG00000078143",8,6,4,8,9,16
"ENSMUSG00000078144",9,16,8,3,13,14
"ENSMUSG00000078151",3,3,3,5,5,3
"ENSMUSG00000078153",45,31,42,28,57,63
"ENSMUSG00000078154",2,8,7,8,3,8
"ENSMUSG00000078157",28,18,40,33,38,7
"ENSMUSG00000078161",1397,1050,1077,1227,1189,1746
"ENSMUSG00000078162",3,5,4,6,4,4
"ENSMUSG00000078173",0,0,0,0,0,0
"ENSMUSG00000078177",0,0,0,0,0,0
"ENSMUSG00000078179",5,3,5,0,4,6
"ENSMUSG00000078180",1,0,3,2,2,2
"ENSMUSG00000078182",0,0,0,0,0,0
"ENSMUSG00000078183",1,7,6,6,3,4
"ENSMUSG00000078184",4,8,3,11,2,13
"ENSMUSG00000078185",696,698,842,991,699,714
"ENSMUSG00000078190",6,0,3,7,18,12
"ENSMUSG00000078192",0,0,0,0,0,0
"ENSMUSG00000078193",61,88,80,65,107,57
"ENSMUSG00000078197",0,0,0,0,0,0
"ENSMUSG00000078198",0,0,0,0,0,0
"ENSMUSG00000078201",136,156,129,84,95,108
"ENSMUSG00000078202",418,426,456,501,550,368
"ENSMUSG00000078206",0,0,0,0,0,0
"ENSMUSG00000078208",0,0,0,0,0,0
"ENSMUSG00000078210",0,0,0,0,0,0
"ENSMUSG00000078212",0,0,0,0,0,0
"ENSMUSG00000078213",0,0,0,0,0,0
"ENSMUSG00000078214",0,0,0,0,0,0
"ENSMUSG00000078218",0,0,0,0,0,0
"ENSMUSG00000078234",947,1551,874,1022,877,959
"ENSMUSG00000078235",315,387,436,442,479,312
"ENSMUSG00000078238",1,2,1,6,3,6
"ENSMUSG00000078240",0,0,0,0,0,1
"ENSMUSG00000078247",61,37,33,88,71,55
"ENSMUSG00000078249",86,159,122,87,149,85
"ENSMUSG00000078251",3,0,11,1,1,0
"ENSMUSG00000078252",0,0,0,0,0,0
"ENSMUSG00000078253",0,0,0,0,6,0
"ENSMUSG00000078254",0,0,0,0,0,0
"ENSMUSG00000078255",0,0,0,0,0,0
"ENSMUSG00000078256",0,0,0,0,0,0
"ENSMUSG00000078257",0,0,0,0,0,0
"ENSMUSG00000078258",0,0,0,0,0,0
"ENSMUSG00000078259",0,0,0,0,0,0
"ENSMUSG00000078260",0,0,0,0,0,0
"ENSMUSG00000078261",0,0,0,0,0,0
"ENSMUSG00000078262",0,0,0,0,0,0
"ENSMUSG00000078263",0,0,0,0,0,0
"ENSMUSG00000078269",0,0,0,0,0,0
"ENSMUSG00000078270",0,0,0,0,0,0
"ENSMUSG00000078276",0,0,0,0,0,0
"ENSMUSG00000078280",0,0,0,0,0,0
"ENSMUSG00000078289",9,9,13,5,2,7
"ENSMUSG00000078291",0,0,0,0,0,0
"ENSMUSG00000078300",1,5,2,0,2,4
"ENSMUSG00000078302",56,9,24,25,43,21
"ENSMUSG00000078307",7515,8605,7781,8690,4399,8740
"ENSMUSG00000078308",0,0,0,0,0,0
"ENSMUSG00000078314",7,0,0,0,0,0
"ENSMUSG00000078315",0,0,0,0,0,0
"ENSMUSG00000078317",193,222,224,192,208,213
"ENSMUSG00000078320",0,0,0,0,0,0
"ENSMUSG00000078324",0,0,0,0,0,0
"ENSMUSG00000078346",0,0,0,0,0,0
"ENSMUSG00000078348",180,240,170,162,231,159
"ENSMUSG00000078349",209,199,202,184,302,230
"ENSMUSG00000078350",403,561,427,482,288,388
"ENSMUSG00000078354",0,0,0,0,0,0
"ENSMUSG00000078355",0,0,0,0,0,0
"ENSMUSG00000078365",3,2,2,1,0,0
"ENSMUSG00000078370",0,0,2,1,1,0
"ENSMUSG00000078377",4,9,14,6,10,7
"ENSMUSG00000078380",0,0,0,0,0,0
"ENSMUSG00000078420",0,0,0,0,0,0
"ENSMUSG00000078427",932,949,1087,1103,1252,988
"ENSMUSG00000078429",1240,1397,1379,1566,1807,1173
"ENSMUSG00000078430",0,0,0,0,1,2
"ENSMUSG00000078435",259,226,294,294,386,276
"ENSMUSG00000078439",13,9,13,8,27,6
"ENSMUSG00000078440",199,185,164,166,187,179
"ENSMUSG00000078442",21,17,6,13,8,15
"ENSMUSG00000078444",5,21,13,1,12,16
"ENSMUSG00000078451",116,208,184,169,199,128
"ENSMUSG00000078452",1,2,1,7,1,0
"ENSMUSG00000078453",224,200,254,259,186,255
"ENSMUSG00000078480",237,218,258,345,216,275
"ENSMUSG00000078481",0,0,0,0,0,0
"ENSMUSG00000078485",23,30,23,22,34,46
"ENSMUSG00000078486",2,5,11,14,7,9
"ENSMUSG00000078487",1,13,0,0,3,0
"ENSMUSG00000078488",0,0,0,0,0,0
"ENSMUSG00000078489",0,0,0,0,0,0
"ENSMUSG00000078490",550,722,647,701,461,554
"ENSMUSG00000078491",0,0,4,0,0,0
"ENSMUSG00000078492",0,0,4,0,0,0
"ENSMUSG00000078494",0,0,0,4,0,0
"ENSMUSG00000078495",192,211,185,275,188,269
"ENSMUSG00000078496",109,104,111,149,52,91
"ENSMUSG00000078497",0,0,0,0,0,0
"ENSMUSG00000078498",10,22,10,18,1,5
"ENSMUSG00000078500",46,27,34,67,39,72
"ENSMUSG00000078502",4,9,7,9,2,18
"ENSMUSG00000078503",0,3,3,7,1,2
"ENSMUSG00000078504",0,0,0,0,0,0
"ENSMUSG00000078505",0,0,0,0,0,0
"ENSMUSG00000078506",0,0,0,0,0,0
"ENSMUSG00000078507",0,0,0,0,0,0
"ENSMUSG00000078508",0,0,0,0,0,0
"ENSMUSG00000078509",0,0,0,0,0,0
"ENSMUSG00000078510",0,0,0,0,0,0
"ENSMUSG00000078511",0,0,0,0,0,0
"ENSMUSG00000078512",0,0,0,0,0,0
"ENSMUSG00000078513",0,0,0,0,0,0
"ENSMUSG00000078515",1561,1727,1608,1806,1541,1868
"ENSMUSG00000078517",3417,3055,3468,3291,4236,3041
"ENSMUSG00000078518",0,0,0,0,0,0
"ENSMUSG00000078519",1,2,2,0,6,0
"ENSMUSG00000078520",0,0,0,0,0,0
"ENSMUSG00000078521",1,4,3,4,1,0
"ENSMUSG00000078528",20,34,23,6,25,22
"ENSMUSG00000078531",2,0,0,3,4,12
"ENSMUSG00000078532",198,167,214,183,196,187
"ENSMUSG00000078537",0,0,0,0,0,0
"ENSMUSG00000078546",187,219,229,269,266,195
"ENSMUSG00000078552",2,4,8,8,16,3
"ENSMUSG00000078554",2,0,3,0,2,0
"ENSMUSG00000078566",3604,4294,4199,4450,4515,3843
"ENSMUSG00000078570",305,363,350,359,399,323
"ENSMUSG00000078572",94,111,89,129,107,84
"ENSMUSG00000078575",0,0,0,0,0,0
"ENSMUSG00000078576",0,0,0,0,0,0
"ENSMUSG00000078577",0,0,0,0,3,0
"ENSMUSG00000078578",10424,10499,12428,12589,12582,11690
"ENSMUSG00000078580",209,219,173,222,170,288
"ENSMUSG00000078584",1500,1602,1432,1641,1821,1561
"ENSMUSG00000078586",0,0,0,0,0,0
"ENSMUSG00000078588",3,0,2,0,7,0
"ENSMUSG00000078590",0,1,0,0,0,0
"ENSMUSG00000078591",776,524,655,660,1592,755
"ENSMUSG00000078592",1,9,4,8,9,3
"ENSMUSG00000078593",0,0,0,0,0,0
"ENSMUSG00000078597",5,0,1,3,3,0
"ENSMUSG00000078598",3,0,3,1,0,0
"ENSMUSG00000078599",0,0,0,0,0,3
"ENSMUSG00000078600",7,2,2,1,8,6
"ENSMUSG00000078601",21,5,9,23,28,45
"ENSMUSG00000078604",0,5,0,0,0,0
"ENSMUSG00000078605",8,0,0,0,2,0
"ENSMUSG00000078606",29,48,29,62,44,31
"ENSMUSG00000078607",50,57,78,56,55,45
"ENSMUSG00000078611",0,0,0,0,0,0
"ENSMUSG00000078612",40,67,37,15,95,50
"ENSMUSG00000078616",1,1,5,2,0,6
"ENSMUSG00000078618",0,0,0,0,0,0
"ENSMUSG00000078619",273,358,293,317,332,348
"ENSMUSG00000078620",0,0,0,0,0,0
"ENSMUSG00000078621",0,0,0,0,0,0
"ENSMUSG00000078622",4806,3629,4548,4649,4889,5855
"ENSMUSG00000078624",0,0,0,0,0,0
"ENSMUSG00000078625",0,0,0,0,0,0
"ENSMUSG00000078626",1,0,0,0,0,0
"ENSMUSG00000078627",74,65,82,117,31,96
"ENSMUSG00000078630",1,1,0,6,4,0
"ENSMUSG00000078632",0,0,0,0,1,0
"ENSMUSG00000078635",1,1,0,0,0,0
"ENSMUSG00000078636",1,2,0,1,1,1
"ENSMUSG00000078639",0,0,0,0,0,0
"ENSMUSG00000078640",115,192,151,139,167,158
"ENSMUSG00000078648",0,0,0,0,6,0
"ENSMUSG00000078650",0,8,2,0,0,0
"ENSMUSG00000078651",50,32,36,54,62,47
"ENSMUSG00000078652",4204,3876,4176,4363,3974,4199
"ENSMUSG00000078653",2,7,10,14,10,11
"ENSMUSG00000078656",8,0,5,0,6,4
"ENSMUSG00000078657",0,0,0,0,0,0
"ENSMUSG00000078664",0,0,0,0,0,0
"ENSMUSG00000078668",0,0,0,0,0,0
"ENSMUSG00000078670",838,993,1176,1019,704,917
"ENSMUSG00000078671",4678,4101,4148,4661,4663,5912
"ENSMUSG00000078672",0,0,0,0,0,0
"ENSMUSG00000078673",0,0,0,0,0,0
"ENSMUSG00000078674",0,0,0,0,0,0
"ENSMUSG00000078675",0,0,0,0,0,0
"ENSMUSG00000078676",1827,1735,1728,1869,2040,1947
"ENSMUSG00000078677",0,0,0,0,1,0
"ENSMUSG00000078680",0,0,0,0,0,0
"ENSMUSG00000078681",654,589,693,637,741,784
"ENSMUSG00000078683",0,0,0,0,0,0
"ENSMUSG00000078684",37,40,32,17,54,29
"ENSMUSG00000078685",0,0,0,0,4,0
"ENSMUSG00000078686",0,0,0,0,0,0
"ENSMUSG00000078687",0,0,0,0,0,0
"ENSMUSG00000078688",0,0,0,0,0,0
"ENSMUSG00000078689",0,0,1,0,2,0
"ENSMUSG00000078691",0,0,0,3,1,0
"ENSMUSG00000078695",382,424,510,586,519,379
"ENSMUSG00000078698",0,0,0,0,0,0
"ENSMUSG00000078700",342,364,264,316,359,316
