"","RR3_HRT_FLT_F1","RR3_HRT_FLT_F2","RR3_HRT_FLT_F9","RR3_HRT_GC_G7","RR3_HRT_GC_G8"
"ENSMUSG00000109806",0,0,0,0,0
"ENSMUSG00000109807",0,0,0,0,0
"ENSMUSG00000109808",0,0,0,0,0
"ENSMUSG00000109809",0,0,0,0,0
"ENSMUSG00000109810",30,22,55,56,4
"ENSMUSG00000109811",0,0,1,0,0
"ENSMUSG00000109812",10,1,16,0,0
"ENSMUSG00000109813",0,0,0,0,0
"ENSMUSG00000109814",0,2,5,0,0
"ENSMUSG00000109815",0,1,0,0,0
"ENSMUSG00000109816",3,0,4,1,0
"ENSMUSG00000109817",0,0,0,0,0
"ENSMUSG00000109818",0,0,0,0,0
"ENSMUSG00000109819",0,0,0,0,0
"ENSMUSG00000109820",0,0,0,0,0
"ENSMUSG00000109821",0,0,0,0,0
"ENSMUSG00000109822",0,0,0,0,0
"ENSMUSG00000109823",0,0,0,0,0
"ENSMUSG00000109824",0,0,0,0,0
"ENSMUSG00000109825",0,0,0,0,0
"ENSMUSG00000109826",0,0,0,0,0
"ENSMUSG00000109827",2,0,0,1,0
"ENSMUSG00000109828",0,0,0,0,0
"ENSMUSG00000109829",22,13,13,9,0
"ENSMUSG00000109830",0,0,0,0,0
"ENSMUSG00000109831",2,0,3,0,0
"ENSMUSG00000109832",0,0,0,0,0
"ENSMUSG00000109833",0,0,0,0,0
"ENSMUSG00000109834",0,0,0,0,0
"ENSMUSG00000109835",0,0,0,0,0
"ENSMUSG00000109837",0,0,0,0,0
"ENSMUSG00000109838",0,0,0,0,0
"ENSMUSG00000109839",0,0,0,0,0
"ENSMUSG00000109840",0,0,0,0,0
"ENSMUSG00000109841",260,249,563,304,117
"ENSMUSG00000109842",0,0,0,0,0
"ENSMUSG00000109843",0,0,0,0,0
"ENSMUSG00000109844",0,0,0,0,0
"ENSMUSG00000109845",0,0,0,0,0
"ENSMUSG00000109846",2,0,0,0,0
"ENSMUSG00000109847",0,0,0,0,0
"ENSMUSG00000109848",0,0,0,0,0
"ENSMUSG00000109849",0,0,0,0,0
"ENSMUSG00000109850",0,0,0,0,0
"ENSMUSG00000109851",0,0,0,0,0
"ENSMUSG00000109852",0,1,15,0,5
"ENSMUSG00000109853",0,0,0,2,0
"ENSMUSG00000109854",0,0,0,0,0
"ENSMUSG00000109855",0,0,0,0,0
"ENSMUSG00000109856",0,0,0,0,0
"ENSMUSG00000109857",16,4,21,1,0
"ENSMUSG00000109858",0,0,0,0,0
"ENSMUSG00000109859",0,0,0,0,0
"ENSMUSG00000109860",0,0,0,0,0
"ENSMUSG00000109861",0,0,0,0,0
"ENSMUSG00000109863",0,1,0,8,0
"ENSMUSG00000109864",9,5,8,0,11
"ENSMUSG00000109865",856,707,1298,677,418
"ENSMUSG00000109866",0,1,0,0,0
"ENSMUSG00000109867",0,0,0,0,0
"ENSMUSG00000109868",0,0,2,0,0
"ENSMUSG00000109869",0,0,0,0,0
"ENSMUSG00000109870",0,0,0,0,0
"ENSMUSG00000109871",0,0,0,0,0
"ENSMUSG00000109872",0,0,0,0,0
"ENSMUSG00000109873",18,14,44,3,14
"ENSMUSG00000109874",0,0,0,0,0
"ENSMUSG00000109875",234,126,274,118,98
"ENSMUSG00000109876",1,8,5,2,0
"ENSMUSG00000109877",0,0,5,0,0
"ENSMUSG00000109878",0,0,0,0,0
"ENSMUSG00000109879",2,4,0,0,0
"ENSMUSG00000109880",0,0,0,0,0
"ENSMUSG00000109881",5,3,9,0,1
"ENSMUSG00000109882",11,9,23,10,3
"ENSMUSG00000109883",0,0,0,0,0
"ENSMUSG00000109884",0,0,0,0,0
"ENSMUSG00000109885",0,0,0,0,0
"ENSMUSG00000109886",0,0,0,0,0
"ENSMUSG00000109887",0,0,0,0,0
"ENSMUSG00000109888",0,0,0,0,0
"ENSMUSG00000109889",0,0,0,0,0
"ENSMUSG00000109890",0,0,0,0,0
"ENSMUSG00000109891",0,0,0,0,0
"ENSMUSG00000109892",0,0,0,0,0
"ENSMUSG00000109893",0,0,0,0,0
"ENSMUSG00000109894",0,2,3,3,0
"ENSMUSG00000109895",0,0,0,0,0
"ENSMUSG00000109896",0,0,0,0,0
"ENSMUSG00000109897",0,0,0,0,0
"ENSMUSG00000109898",0,0,0,0,0
"ENSMUSG00000109899",1,0,0,0,0
"ENSMUSG00000109900",0,0,0,0,0
"ENSMUSG00000109901",1434,1429,2290,1175,682
"ENSMUSG00000109902",0,0,0,0,0
"ENSMUSG00000109903",0,0,0,0,0
"ENSMUSG00000109904",0,1,4,0,0
"ENSMUSG00000109905",0,0,0,1,0
"ENSMUSG00000109906",0,0,0,0,0
"ENSMUSG00000109907",0,1,0,0,0
"ENSMUSG00000109909",1,0,1,2,0
"ENSMUSG00000109910",0,0,0,0,0
"ENSMUSG00000109911",0,0,0,0,0
"ENSMUSG00000109912",0,0,0,0,0
"ENSMUSG00000109913",0,0,0,0,0
"ENSMUSG00000109914",0,0,0,0,0
"ENSMUSG00000109915",2,0,0,0,0
"ENSMUSG00000109916",0,0,0,0,0
"ENSMUSG00000109917",0,0,0,0,0
"ENSMUSG00000109918",0,0,0,0,0
"ENSMUSG00000109919",0,0,0,0,0
"ENSMUSG00000109920",0,0,0,0,0
"ENSMUSG00000109921",0,0,0,0,0
"ENSMUSG00000109922",0,0,0,0,0
"ENSMUSG00000109923",0,0,0,0,0
"ENSMUSG00000109924",0,0,0,0,0
"ENSMUSG00000109925",2,0,0,0,0
"ENSMUSG00000109926",0,0,0,0,0
"ENSMUSG00000109927",3,3,7,0,0
"ENSMUSG00000109928",0,0,0,0,0
"ENSMUSG00000109929",0,0,0,0,0
"ENSMUSG00000109930",6,4,5,8,2
"ENSMUSG00000109931",7,0,0,2,0
"ENSMUSG00000109932",0,0,0,0,0
"ENSMUSG00000109933",63,56,100,50,52
"ENSMUSG00000109934",0,0,0,0,0
"ENSMUSG00000109935",0,0,0,1,0
"ENSMUSG00000109936",1,5,16,6,5
"ENSMUSG00000109937",0,0,0,0,0
"ENSMUSG00000109938",0,0,0,1,0
"ENSMUSG00000109939",0,0,0,0,0
"ENSMUSG00000109940",0,1,4,7,0
"ENSMUSG00000109941",0,0,0,0,0
"ENSMUSG00000109942",0,6,0,0,0
"ENSMUSG00000109943",0,0,0,0,0
"ENSMUSG00000109944",0,0,0,0,0
"ENSMUSG00000109945",0,0,0,0,0
"ENSMUSG00000109946",132,95,138,114,23
"ENSMUSG00000109947",0,1,5,2,0
"ENSMUSG00000109948",0,0,0,0,0
"ENSMUSG00000109949",0,0,0,0,0
"ENSMUSG00000109950",0,0,0,0,0
"ENSMUSG00000109951",0,0,0,0,0
"ENSMUSG00000109952",0,0,0,0,0
"ENSMUSG00000109953",21,27,30,21,3
"ENSMUSG00000109954",0,0,0,0,0
"ENSMUSG00000109955",0,0,0,0,0
"ENSMUSG00000109956",4,9,14,2,0
"ENSMUSG00000109957",12,8,4,11,0
"ENSMUSG00000109958",2,1,7,0,0
"ENSMUSG00000109959",0,0,0,0,0
"ENSMUSG00000109960",0,1,0,0,0
"ENSMUSG00000109961",1,1,1,2,0
"ENSMUSG00000109962",0,0,0,0,0
"ENSMUSG00000109963",0,0,0,0,0
"ENSMUSG00000109964",0,0,0,0,0
"ENSMUSG00000109965",0,0,0,0,0
"ENSMUSG00000109966",0,0,0,0,0
"ENSMUSG00000109967",0,0,0,0,0
"ENSMUSG00000109968",0,0,0,0,0
"ENSMUSG00000109969",0,0,0,0,0
"ENSMUSG00000109970",0,0,0,0,0
"ENSMUSG00000109971",0,0,0,0,0
"ENSMUSG00000109972",0,0,0,0,0
"ENSMUSG00000109973",3,4,8,0,0
"ENSMUSG00000109974",0,0,0,0,0
"ENSMUSG00000109975",345,304,595,328,143
"ENSMUSG00000109976",0,0,0,0,0
"ENSMUSG00000109977",0,0,0,0,0
"ENSMUSG00000109978",0,0,0,0,0
"ENSMUSG00000109979",0,0,0,0,0
"ENSMUSG00000109980",0,0,0,0,0
"ENSMUSG00000109981",0,0,0,0,0
"ENSMUSG00000109982",1,1,3,0,0
"ENSMUSG00000109983",0,0,0,0,0
"ENSMUSG00000109984",0,4,5,0,0
"ENSMUSG00000109985",0,0,0,0,0
"ENSMUSG00000109986",0,0,0,0,0
"ENSMUSG00000109987",0,0,0,0,0
"ENSMUSG00000109988",0,0,0,0,0
"ENSMUSG00000109990",0,0,0,0,0
"ENSMUSG00000109991",2,0,0,0,0
"ENSMUSG00000109992",2,0,0,0,0
"ENSMUSG00000109993",0,0,0,0,0
"ENSMUSG00000109994",0,0,0,0,0
"ENSMUSG00000109995",0,0,0,0,0
"ENSMUSG00000109996",0,0,0,0,0
"ENSMUSG00000109997",3,0,0,0,0
"ENSMUSG00000109998",0,1,2,0,0
"ENSMUSG00000109999",0,0,0,0,0
"ENSMUSG00000110000",0,0,0,0,0
"ENSMUSG00000110001",2,0,0,0,0
"ENSMUSG00000110002",0,0,0,0,0
"ENSMUSG00000110003",0,0,11,0,0
"ENSMUSG00000110004",0,0,0,0,0
"ENSMUSG00000110005",0,0,0,0,0
"ENSMUSG00000110006",0,0,0,0,0
"ENSMUSG00000110007",0,0,0,0,0
"ENSMUSG00000110008",1,0,0,2,0
"ENSMUSG00000110009",0,0,0,0,0
"ENSMUSG00000110010",9,15,11,5,7
"ENSMUSG00000110011",0,0,0,0,0
"ENSMUSG00000110012",0,0,0,0,0
"ENSMUSG00000110013",0,0,0,0,0
"ENSMUSG00000110014",0,0,0,0,0
"ENSMUSG00000110015",0,0,0,0,0
"ENSMUSG00000110016",0,0,0,0,0
"ENSMUSG00000110017",2,1,0,0,0
"ENSMUSG00000110018",0,0,9,0,0
"ENSMUSG00000110019",0,0,0,0,0
"ENSMUSG00000110020",18,28,42,26,0
"ENSMUSG00000110022",0,0,0,0,0
"ENSMUSG00000110023",0,0,0,0,0
"ENSMUSG00000110024",0,0,0,0,0
"ENSMUSG00000110025",0,0,0,0,0
"ENSMUSG00000110026",0,0,0,0,0
"ENSMUSG00000110027",0,1,0,0,0
"ENSMUSG00000110028",0,0,0,0,0
"ENSMUSG00000110030",0,0,2,2,0
"ENSMUSG00000110031",0,0,0,0,0
"ENSMUSG00000110032",0,0,0,0,0
"ENSMUSG00000110033",0,0,0,1,0
"ENSMUSG00000110034",0,0,0,0,0
"ENSMUSG00000110035",0,0,0,0,0
"ENSMUSG00000110036",0,0,0,0,0
"ENSMUSG00000110037",0,0,0,0,0
"ENSMUSG00000110038",1,0,4,0,0
"ENSMUSG00000110039",0,0,0,0,0
"ENSMUSG00000110040",0,0,0,0,0
"ENSMUSG00000110041",0,0,0,0,0
"ENSMUSG00000110042",0,0,0,0,0
"ENSMUSG00000110043",1,0,0,0,0
"ENSMUSG00000110044",0,0,0,0,0
"ENSMUSG00000110045",0,0,0,0,0
"ENSMUSG00000110046",0,0,1,0,0
"ENSMUSG00000110047",0,1,0,0,0
"ENSMUSG00000110048",0,0,0,0,0
"ENSMUSG00000110049",0,0,0,0,0
"ENSMUSG00000110050",0,0,0,0,0
"ENSMUSG00000110051",2,0,1,1,0
"ENSMUSG00000110052",0,0,0,0,0
"ENSMUSG00000110053",0,0,4,0,0
"ENSMUSG00000110054",0,0,0,0,0
"ENSMUSG00000110055",0,0,0,0,0
"ENSMUSG00000110056",0,0,0,0,0
"ENSMUSG00000110057",19,7,20,17,6
"ENSMUSG00000110058",1,0,0,0,0
"ENSMUSG00000110059",0,0,0,0,0
"ENSMUSG00000110060",1,0,0,0,0
"ENSMUSG00000110061",0,0,0,0,0
"ENSMUSG00000110062",9,14,6,1,3
"ENSMUSG00000110063",0,0,0,0,0
"ENSMUSG00000110064",0,0,0,0,0
"ENSMUSG00000110065",0,0,0,0,0
"ENSMUSG00000110066",0,0,0,0,0
"ENSMUSG00000110067",0,0,0,0,0
"ENSMUSG00000110068",31,14,25,5,3
"ENSMUSG00000110069",0,0,0,1,0
"ENSMUSG00000110070",0,5,0,0,0
"ENSMUSG00000110071",14,5,16,3,3
"ENSMUSG00000110072",0,0,0,0,0
"ENSMUSG00000110073",0,0,0,0,0
"ENSMUSG00000110074",0,0,0,0,0
"ENSMUSG00000110075",0,0,0,0,0
"ENSMUSG00000110076",0,0,0,0,0
"ENSMUSG00000110077",5,5,3,0,0
"ENSMUSG00000110078",0,0,0,0,0
"ENSMUSG00000110079",8,14,17,1,2
"ENSMUSG00000110080",0,0,0,1,0
"ENSMUSG00000110081",0,0,0,0,0
"ENSMUSG00000110082",0,0,0,0,0
"ENSMUSG00000110083",0,0,0,0,0
"ENSMUSG00000110084",1,1,4,5,0
"ENSMUSG00000110085",0,0,0,0,0
"ENSMUSG00000110086",0,0,0,0,0
"ENSMUSG00000110087",7,2,2,1,0
"ENSMUSG00000110088",9,6,1,0,12
"ENSMUSG00000110089",0,0,0,0,0
"ENSMUSG00000110090",0,0,0,0,0
"ENSMUSG00000110091",0,0,0,0,0
"ENSMUSG00000110092",0,0,0,0,0
"ENSMUSG00000110093",1,1,0,0,0
"ENSMUSG00000110094",0,0,0,0,0
"ENSMUSG00000110095",0,0,0,0,0
"ENSMUSG00000110096",0,0,0,0,0
"ENSMUSG00000110097",0,0,0,0,0
"ENSMUSG00000110098",0,0,0,0,0
"ENSMUSG00000110099",0,0,0,0,0
"ENSMUSG00000110100",0,0,0,0,0
"ENSMUSG00000110101",8,9,19,6,10
"ENSMUSG00000110102",0,0,0,0,0
"ENSMUSG00000110103",0,0,0,0,0
"ENSMUSG00000110104",0,0,0,0,0
"ENSMUSG00000110105",0,2,8,0,6
"ENSMUSG00000110106",0,0,0,0,0
"ENSMUSG00000110108",0,0,0,0,0
"ENSMUSG00000110109",1,0,0,0,0
"ENSMUSG00000110110",1,3,0,1,0
"ENSMUSG00000110111",0,0,0,0,0
"ENSMUSG00000110112",0,0,0,0,0
"ENSMUSG00000110113",0,0,0,0,0
"ENSMUSG00000110114",26,0,0,0,0
"ENSMUSG00000110115",0,0,0,0,0
"ENSMUSG00000110116",0,0,0,1,0
"ENSMUSG00000110117",0,0,0,0,0
"ENSMUSG00000110118",0,0,0,0,0
"ENSMUSG00000110119",0,0,0,0,0
"ENSMUSG00000110120",3,0,0,0,0
"ENSMUSG00000110121",0,0,0,0,0
"ENSMUSG00000110122",0,0,0,0,0
"ENSMUSG00000110123",0,0,0,0,0
"ENSMUSG00000110124",0,4,0,0,0
"ENSMUSG00000110125",1,0,0,0,0
"ENSMUSG00000110126",13,6,3,2,4
"ENSMUSG00000110127",0,0,7,0,1
"ENSMUSG00000110128",0,0,0,0,0
"ENSMUSG00000110129",0,0,0,0,0
"ENSMUSG00000110130",0,0,0,0,0
"ENSMUSG00000110131",38,15,44,10,15
"ENSMUSG00000110132",0,0,0,0,0
"ENSMUSG00000110133",0,0,0,0,0
"ENSMUSG00000110134",0,0,0,0,0
"ENSMUSG00000110135",0,0,0,0,0
"ENSMUSG00000110136",0,0,0,0,0
"ENSMUSG00000110137",0,0,0,0,0
"ENSMUSG00000110138",0,2,0,0,0
"ENSMUSG00000110139",0,0,0,0,0
"ENSMUSG00000110140",0,0,0,0,0
"ENSMUSG00000110141",1,2,3,0,0
"ENSMUSG00000110142",2,0,0,0,0
"ENSMUSG00000110143",0,0,0,0,0
"ENSMUSG00000110144",0,0,0,0,0
"ENSMUSG00000110145",0,0,0,0,0
"ENSMUSG00000110146",10,9,14,7,4
"ENSMUSG00000110147",0,0,0,0,0
"ENSMUSG00000110148",29,29,43,25,28
"ENSMUSG00000110149",0,0,0,0,0
"ENSMUSG00000110150",0,0,0,0,0
"ENSMUSG00000110151",0,0,3,0,0
"ENSMUSG00000110152",0,0,0,0,0
"ENSMUSG00000110153",0,0,0,0,0
"ENSMUSG00000110154",0,0,4,0,0
"ENSMUSG00000110155",0,0,0,0,0
"ENSMUSG00000110156",270,195,559,248,199
"ENSMUSG00000110157",0,0,0,0,0
"ENSMUSG00000110158",0,0,0,0,0
"ENSMUSG00000110159",15,3,4,1,0
"ENSMUSG00000110160",0,0,0,0,0
"ENSMUSG00000110161",77,72,131,67,7
"ENSMUSG00000110162",0,0,0,0,0
"ENSMUSG00000110163",0,0,0,0,0
"ENSMUSG00000110164",0,0,0,0,0
"ENSMUSG00000110165",19,10,37,23,9
"ENSMUSG00000110166",0,0,0,0,0
"ENSMUSG00000110167",20,20,20,9,0
"ENSMUSG00000110168",0,0,0,0,0
"ENSMUSG00000110169",0,0,0,0,0
"ENSMUSG00000110170",12,2,10,0,1
"ENSMUSG00000110171",0,0,0,0,0
"ENSMUSG00000110172",0,0,0,0,0
"ENSMUSG00000110173",0,0,0,0,0
"ENSMUSG00000110174",0,0,0,0,0
"ENSMUSG00000110175",0,0,0,0,0
"ENSMUSG00000110176",0,0,0,0,0
"ENSMUSG00000110177",0,0,0,0,0
"ENSMUSG00000110178",0,0,0,0,0
"ENSMUSG00000110179",1,6,4,1,4
"ENSMUSG00000110180",0,0,0,0,0
"ENSMUSG00000110181",0,0,0,0,0
"ENSMUSG00000110182",0,0,0,0,0
"ENSMUSG00000110183",0,0,0,0,0
"ENSMUSG00000110184",0,0,0,0,0
"ENSMUSG00000110185",762,853,1253,628,418
"ENSMUSG00000110186",0,0,0,0,0
"ENSMUSG00000110187",1,1,0,0,0
"ENSMUSG00000110188",0,0,0,0,0
"ENSMUSG00000110189",0,0,0,0,0
"ENSMUSG00000110190",0,0,0,0,0
"ENSMUSG00000110192",0,0,0,0,0
"ENSMUSG00000110193",0,0,0,0,0
"ENSMUSG00000110194",1,0,1,0,0
"ENSMUSG00000110195",22,7,27,18,7
"ENSMUSG00000110196",0,0,0,0,0
"ENSMUSG00000110197",2,0,0,0,0
"ENSMUSG00000110198",0,0,0,0,0
"ENSMUSG00000110199",0,0,0,0,0
"ENSMUSG00000110200",0,0,0,0,0
"ENSMUSG00000110201",0,0,0,0,0
"ENSMUSG00000110202",0,0,0,0,0
"ENSMUSG00000110203",0,0,0,0,0
"ENSMUSG00000110204",0,0,0,0,0
"ENSMUSG00000110205",0,0,0,0,0
"ENSMUSG00000110206",116,67,106,59,36
"ENSMUSG00000110207",0,0,0,0,0
"ENSMUSG00000110208",1,0,0,0,0
"ENSMUSG00000110209",0,0,0,0,0
"ENSMUSG00000110210",0,0,0,0,0
"ENSMUSG00000110211",0,0,0,0,0
"ENSMUSG00000110212",0,0,0,0,0
"ENSMUSG00000110213",0,0,0,0,0
"ENSMUSG00000110214",0,0,0,0,0
"ENSMUSG00000110215",0,0,0,0,0
"ENSMUSG00000110216",0,0,4,3,0
"ENSMUSG00000110217",0,0,0,0,0
"ENSMUSG00000110218",6,0,14,3,0
"ENSMUSG00000110219",0,0,0,0,0
"ENSMUSG00000110220",0,0,0,0,0
"ENSMUSG00000110221",1,0,0,0,0
"ENSMUSG00000110222",1,0,0,0,0
"ENSMUSG00000110223",0,0,0,0,0
"ENSMUSG00000110224",0,0,0,0,0
"ENSMUSG00000110225",0,0,0,1,0
"ENSMUSG00000110226",0,0,0,0,0
"ENSMUSG00000110227",0,0,0,0,0
"ENSMUSG00000110228",0,0,0,0,0
"ENSMUSG00000110229",0,0,0,0,0
"ENSMUSG00000110230",0,0,0,0,0
"ENSMUSG00000110231",0,0,0,0,0
"ENSMUSG00000110232",0,0,0,0,0
"ENSMUSG00000110233",0,0,0,0,0
"ENSMUSG00000110234",0,2,2,0,0
"ENSMUSG00000110235",17,6,18,16,0
"ENSMUSG00000110236",0,0,0,0,0
"ENSMUSG00000110237",0,0,0,0,0
"ENSMUSG00000110238",1,2,5,5,0
"ENSMUSG00000110239",0,2,3,5,0
"ENSMUSG00000110240",1,0,0,0,0
"ENSMUSG00000110241",0,0,0,0,0
"ENSMUSG00000110242",0,2,7,0,0
"ENSMUSG00000110243",6,1,6,2,1
"ENSMUSG00000110244",0,2,0,0,0
"ENSMUSG00000110245",16,3,2,2,0
"ENSMUSG00000110246",0,0,0,0,0
"ENSMUSG00000110247",0,0,0,0,0
"ENSMUSG00000110248",0,0,0,0,0
"ENSMUSG00000110249",0,2,0,0,0
"ENSMUSG00000110250",0,0,0,0,0
"ENSMUSG00000110251",1,1,0,0,0
"ENSMUSG00000110252",0,0,0,0,0
"ENSMUSG00000110253",0,0,0,0,0
"ENSMUSG00000110254",0,0,0,0,0
"ENSMUSG00000110255",0,0,0,0,0
"ENSMUSG00000110256",2,0,4,13,1
"ENSMUSG00000110257",0,0,0,0,0
"ENSMUSG00000110258",0,1,1,0,0
"ENSMUSG00000110259",0,0,0,0,0
"ENSMUSG00000110260",0,0,0,0,0
"ENSMUSG00000110261",0,0,0,0,0
"ENSMUSG00000110262",0,0,0,0,0
"ENSMUSG00000110263",0,0,0,0,0
"ENSMUSG00000110264",0,0,0,0,0
"ENSMUSG00000110265",0,0,0,0,0
"ENSMUSG00000110266",0,0,0,0,0
"ENSMUSG00000110267",0,0,0,0,0
"ENSMUSG00000110268",0,0,0,0,0
"ENSMUSG00000110269",0,0,1,0,0
"ENSMUSG00000110270",0,0,0,0,0
"ENSMUSG00000110271",0,0,0,0,0
"ENSMUSG00000110272",0,0,0,0,0
"ENSMUSG00000110273",6,12,20,12,0
"ENSMUSG00000110274",0,0,0,0,0
"ENSMUSG00000110275",54,39,66,27,13
"ENSMUSG00000110276",0,0,0,0,0
"ENSMUSG00000110277",199,131,378,164,80
"ENSMUSG00000110278",0,0,0,0,0
"ENSMUSG00000110279",121,53,211,88,33
"ENSMUSG00000110280",0,0,0,0,0
"ENSMUSG00000110281",0,0,0,0,0
"ENSMUSG00000110282",27,9,37,17,6
"ENSMUSG00000110283",0,0,0,0,0
"ENSMUSG00000110284",0,0,0,0,0
"ENSMUSG00000110285",0,0,0,0,0
"ENSMUSG00000110286",0,0,0,0,0
"ENSMUSG00000110287",0,0,0,0,0
"ENSMUSG00000110288",0,0,0,0,0
"ENSMUSG00000110289",13,9,10,4,0
"ENSMUSG00000110290",0,0,0,0,0
"ENSMUSG00000110291",0,0,0,0,0
"ENSMUSG00000110292",0,0,0,0,0
"ENSMUSG00000110293",0,0,0,0,0
"ENSMUSG00000110294",0,0,0,0,0
"ENSMUSG00000110295",0,0,0,0,0
"ENSMUSG00000110296",0,0,0,0,0
"ENSMUSG00000110297",0,0,0,0,0
"ENSMUSG00000110298",33,4,14,6,0
"ENSMUSG00000110299",0,0,0,0,0
"ENSMUSG00000110300",0,0,0,0,0
"ENSMUSG00000110301",0,3,0,0,0
"ENSMUSG00000110302",0,0,0,0,0
"ENSMUSG00000110303",7,1,1,0,0
"ENSMUSG00000110304",0,0,0,0,0
"ENSMUSG00000110305",0,0,0,0,0
"ENSMUSG00000110307",0,0,0,0,0
"ENSMUSG00000110308",0,1,0,0,0
"ENSMUSG00000110309",0,0,0,0,0
"ENSMUSG00000110310",0,0,0,0,0
"ENSMUSG00000110311",0,0,0,0,0
"ENSMUSG00000110312",0,0,0,0,0
"ENSMUSG00000110313",0,0,0,0,0
"ENSMUSG00000110314",0,0,0,0,0
"ENSMUSG00000110315",0,0,0,0,0
"ENSMUSG00000110316",0,8,4,0,0
"ENSMUSG00000110317",42,22,78,8,9
"ENSMUSG00000110318",0,1,0,0,0
"ENSMUSG00000110319",0,0,0,0,0
"ENSMUSG00000110320",3,0,0,0,0
"ENSMUSG00000110321",0,0,0,0,0
"ENSMUSG00000110322",0,0,0,0,0
"ENSMUSG00000110323",0,0,0,0,0
"ENSMUSG00000110324",0,0,0,0,0
"ENSMUSG00000110325",13,9,26,10,26
"ENSMUSG00000110326",5,6,3,6,8
"ENSMUSG00000110327",0,0,0,0,0
"ENSMUSG00000110328",0,0,0,0,0
"ENSMUSG00000110329",0,0,0,0,0
"ENSMUSG00000110330",0,0,0,0,0
"ENSMUSG00000110331",361,253,506,219,161
"ENSMUSG00000110332",2,1,1,0,0
"ENSMUSG00000110333",0,0,0,0,0
"ENSMUSG00000110334",0,0,0,0,0
"ENSMUSG00000110335",0,0,0,0,0
"ENSMUSG00000110336",0,0,0,0,0
"ENSMUSG00000110337",0,0,0,0,0
"ENSMUSG00000110338",0,0,0,0,0
"ENSMUSG00000110339",0,0,0,0,0
"ENSMUSG00000110340",0,0,0,0,0
"ENSMUSG00000110341",0,0,0,0,0
"ENSMUSG00000110342",11,10,0,0,0
"ENSMUSG00000110343",0,0,0,0,0
"ENSMUSG00000110344",500,332,571,327,197
"ENSMUSG00000110345",0,0,0,0,0
"ENSMUSG00000110346",0,0,0,0,0
"ENSMUSG00000110347",0,0,0,0,0
"ENSMUSG00000110348",0,0,0,0,0
"ENSMUSG00000110349",0,0,0,0,0
"ENSMUSG00000110350",14,5,6,4,0
"ENSMUSG00000110351",0,0,0,0,0
"ENSMUSG00000110352",0,0,0,0,0
"ENSMUSG00000110353",280,172,311,162,77
"ENSMUSG00000110354",0,0,0,0,0
"ENSMUSG00000110355",0,0,2,0,1
"ENSMUSG00000110356",0,0,0,0,0
"ENSMUSG00000110357",155,122,223,101,61
"ENSMUSG00000110358",0,0,0,0,0
"ENSMUSG00000110359",0,0,0,0,0
"ENSMUSG00000110360",105,102,132,92,38
"ENSMUSG00000110361",1,0,0,0,0
"ENSMUSG00000110362",0,0,0,0,0
"ENSMUSG00000110363",0,0,0,0,0
"ENSMUSG00000110364",0,0,0,0,0
"ENSMUSG00000110365",0,0,0,0,0
"ENSMUSG00000110366",1,0,3,0,0
"ENSMUSG00000110367",0,0,0,0,0
"ENSMUSG00000110368",0,0,0,0,0
"ENSMUSG00000110369",0,0,0,0,0
"ENSMUSG00000110370",0,0,0,0,0
"ENSMUSG00000110371",6,7,8,4,2
"ENSMUSG00000110372",0,0,0,0,0
"ENSMUSG00000110373",5,1,0,0,0
"ENSMUSG00000110374",0,0,0,0,0
"ENSMUSG00000110375",0,0,0,0,0
"ENSMUSG00000110376",0,1,0,0,0
"ENSMUSG00000110377",3,11,8,1,0
"ENSMUSG00000110378",10,6,23,6,0
"ENSMUSG00000110379",0,0,0,0,0
"ENSMUSG00000110380",0,0,0,0,0
"ENSMUSG00000110381",0,0,0,0,0
"ENSMUSG00000110382",8,4,2,1,0
"ENSMUSG00000110383",0,0,0,0,0
"ENSMUSG00000110384",0,0,0,0,0
"ENSMUSG00000110385",0,0,0,0,0
"ENSMUSG00000110386",0,0,0,0,1
"ENSMUSG00000110387",0,0,0,0,0
"ENSMUSG00000110388",19,6,45,0,6
"ENSMUSG00000110389",0,0,0,0,0
"ENSMUSG00000110390",4,0,0,0,0
"ENSMUSG00000110391",0,0,0,0,0
"ENSMUSG00000110392",0,0,0,0,0
"ENSMUSG00000110393",43,34,37,16,2
"ENSMUSG00000110394",0,2,4,0,0
"ENSMUSG00000110395",0,0,0,0,0
"ENSMUSG00000110396",0,0,0,0,0
"ENSMUSG00000110397",16,3,0,5,0
"ENSMUSG00000110398",0,0,0,0,0
"ENSMUSG00000110399",0,0,3,0,0
"ENSMUSG00000110400",8,5,1,0,0
"ENSMUSG00000110401",0,0,0,0,0
"ENSMUSG00000110402",0,0,0,0,0
"ENSMUSG00000110403",0,0,0,0,0
"ENSMUSG00000110404",0,2,0,0,5
"ENSMUSG00000110405",6,0,3,2,0
"ENSMUSG00000110406",0,0,0,0,0
"ENSMUSG00000110407",1,0,0,0,0
"ENSMUSG00000110409",4,2,0,1,3
"ENSMUSG00000110410",0,0,0,0,0
"ENSMUSG00000110411",92,60,171,40,40
"ENSMUSG00000110412",0,0,0,0,0
"ENSMUSG00000110413",0,0,0,0,0
"ENSMUSG00000110414",0,0,0,0,0
"ENSMUSG00000110415",0,0,0,0,0
"ENSMUSG00000110416",0,0,0,0,0
"ENSMUSG00000110417",0,1,0,0,0
"ENSMUSG00000110419",22,35,49,7,18
"ENSMUSG00000110420",0,0,0,0,0
"ENSMUSG00000110421",0,0,0,0,0
