"","Mmus_C57-6CR_LVR_FLT_Rep1_F58","Mmus_C57-6CR_LVR_FLT_Rep2_F64","Mmus_C57-6CR_LVR_GC_Rep1_G40","Mmus_C57-6CR_LVR_GC_Rep2_G44","Mmus_C57-6CR_LVR_VIV_Rep1_V14","Mmus_C57-6CR_LVR_VIV_Rep2_V9"
"ENSMUSG00000038973",0,0,0,0,0,0
"ENSMUSG00000038975",1522,1144,1394,1083,1121,1248.08
"ENSMUSG00000038976",209,284,346,429,487,452
"ENSMUSG00000038980",0,0,0,0,1,1
"ENSMUSG00000038982",762,618,1084,761,839,826
"ENSMUSG00000038984",3,6,3,3,9,1
"ENSMUSG00000038987",0,0,0,0,0,0
"ENSMUSG00000038990",417,651.99,552.98,766,745,773.99
"ENSMUSG00000038991",2836,2330,2703,4142,4634,4433
"ENSMUSG00000038994",0,0,0,0,0,0
"ENSMUSG00000038997",0,0,0,0,0,0
"ENSMUSG00000039000",1702,1788,1964,2152,2207,2453
"ENSMUSG00000039001",10310,7496,14598,7467.99,8976,12256.99
"ENSMUSG00000039004",169,133,121,153,137,147
"ENSMUSG00000039005",236,168,238,230,222,210
"ENSMUSG00000039007",3352,2327,2670,2777,2672,2715
"ENSMUSG00000039013",2,1,2,4,4,0
"ENSMUSG00000039016",2703,1991,4115,2130,2618,3344
"ENSMUSG00000039018",205,159,149,123,151,200
"ENSMUSG00000039021",1,3,3,4,1,0
"ENSMUSG00000039031",152,140,352,237,318,292
"ENSMUSG00000039032",0,0,0,0,0,0
"ENSMUSG00000039033",532,396,696,406,434,498
"ENSMUSG00000039037",0,0,0,0,0,0
"ENSMUSG00000039041",1248.1,1561.19,1422.95,1586.25,1779.45,1857.14
"ENSMUSG00000039043",183,137,199,190,257,188
"ENSMUSG00000039046",668,916,1284,1106,1035,1060
"ENSMUSG00000039047",1003,938,1002,1117,1093,1068
"ENSMUSG00000039048",1324,970,1015,1043,973,1171
"ENSMUSG00000039050",474,575,600,703,674,655
"ENSMUSG00000039055",0,1,2,3,9,2
"ENSMUSG00000039057",0,0,0,0,0,0
"ENSMUSG00000039058",2,1,3,1,4,0
"ENSMUSG00000039059",0,0,0,0,0,0
"ENSMUSG00000039062",1087,1340,886,1532,1422,1562
"ENSMUSG00000039063",2209,1664,2988,2454,2120,2406
"ENSMUSG00000039065",406,427,620,475,590,624
"ENSMUSG00000039067",952,1038,1088,986,1111,1175
"ENSMUSG00000039068",953.99,1057,1251,1339,1378,1404
"ENSMUSG00000039069",424,337,505,487,434,443
"ENSMUSG00000039070",0,0,0,0,0,0
"ENSMUSG00000039079",0,0,0,0,0,0
"ENSMUSG00000039081",20,22,54,61,35,30
"ENSMUSG00000039084",0,0,0,0,0,0
"ENSMUSG00000039086",49,80,116,119,111,128
"ENSMUSG00000039087",764,1110,810,1017,740,875
"ENSMUSG00000039089",59,126,188,167,234,212
"ENSMUSG00000039092",0,0,0,0,0,0
"ENSMUSG00000039095",0,0,1,1,3,1
"ENSMUSG00000039096",73,83,55,43,67,53
"ENSMUSG00000039097",0,0,0,0,0,0
"ENSMUSG00000039098",0,0,0,0,0,0
"ENSMUSG00000039099",32,27,19,14,26,14
"ENSMUSG00000039100",6703,7163,4060,6052,5221,5314
"ENSMUSG00000039103",17,10,12,12,26,17
"ENSMUSG00000039105",3051.79,1952.41,3312.61,2319.28,2947.05,2866.85
"ENSMUSG00000039106",0,0,0,0,0,0
"ENSMUSG00000039108",496,566,547,655,630,646
"ENSMUSG00000039109",9,4,4,12,78,3
"ENSMUSG00000039110",1,0,3,2,6,2
"ENSMUSG00000039114",4960,3805,9584,7457,6471,6904
"ENSMUSG00000039115",1000,935,1497,1615,1454,1527
"ENSMUSG00000039116",49,61,72,74,69,56
"ENSMUSG00000039117",160,261,173,252,214,210
"ENSMUSG00000039126",11,5,10,21,36,10
"ENSMUSG00000039128",1158,891,833,865,1126,1080
"ENSMUSG00000039130",223,171,299,299,279,284
"ENSMUSG00000039131",5,7,4,3,7,4
"ENSMUSG00000039133",0,0,0,0,0,0
"ENSMUSG00000039137",0,12,7,19,12,12
"ENSMUSG00000039138",0,0,0,0,0,0
"ENSMUSG00000039145",1120,1461,3920,2669,2324,1719
"ENSMUSG00000039146",0,1,0,0,0,0
"ENSMUSG00000039148",342,436,460,629,580,586
"ENSMUSG00000039153",5,4,9,7,5,5
"ENSMUSG00000039154",0,0,0,1,1,1
"ENSMUSG00000039155",0,0,0,1,1,0
"ENSMUSG00000039156",547,407,502,745,960,983
"ENSMUSG00000039157",440,515,214,502,832,760
"ENSMUSG00000039158",82,67,85,110,111,124
"ENSMUSG00000039159",1122.84,1228,1379.82,1407.82,1849.81,1547.5
"ENSMUSG00000039163",395,234,319,196,206,253
"ENSMUSG00000039164",62,93,75,127,110,122
"ENSMUSG00000039166",227,150,145,116,162,182
"ENSMUSG00000039167",579,433,620,586,759,771
"ENSMUSG00000039168",2131,2082,1879,2683,2453,2739
"ENSMUSG00000039174",0,0,0,0,0,0
"ENSMUSG00000039176",1012,1339,1491,1621,1533,1451
"ENSMUSG00000039178",63,39,55,47,51,64
"ENSMUSG00000039179",0,0,0,0,0,0
"ENSMUSG00000039182",642,454,523,456,478,375
"ENSMUSG00000039183",392,375,457,534,470,479
"ENSMUSG00000039187",3,2,12,15,13,10
"ENSMUSG00000039191",355.64,431,336.51,448,408.78,342
"ENSMUSG00000039193",21,18,28,26,21,27
"ENSMUSG00000039194",0,0,0,1,4,0
"ENSMUSG00000039195",311,286,412,436,399,422
"ENSMUSG00000039196",29836.97,14856.75,25710.01,20979.86,25277.51,27730.5
"ENSMUSG00000039197",24592,22508,18561,18492,21113,22296
"ENSMUSG00000039198",0,0,0,0,0,1
"ENSMUSG00000039199",46,40,41,46,56,57
"ENSMUSG00000039200",0,0,0,0,0,0
"ENSMUSG00000039201",51,76,41,83,78,62
"ENSMUSG00000039202",4946,7939.08,3807.48,8340,10967,10924
"ENSMUSG00000039205",104,179,169,256,226,208
"ENSMUSG00000039206",615,481,589,813,835,748
"ENSMUSG00000039208",77,91,136,156,115,103
"ENSMUSG00000039209",1,0,0,2,1,1
"ENSMUSG00000039210",397,575,510,619,508,514
"ENSMUSG00000039215",0,0,0,0,0,0
"ENSMUSG00000039217",352,233,411,247,231,235
"ENSMUSG00000039218",1989,2919,2015,2561,2170.99,2181
"ENSMUSG00000039219",768,682,660,595,594,591
"ENSMUSG00000039220",1053,919,597,1289,1224,1187
"ENSMUSG00000039221",2470.44,1603.68,2334.25,778.94,1720.08,2414.69
"ENSMUSG00000039224",0,0,0,0,0,0
"ENSMUSG00000039230",685,718,909,914,1028,1121
"ENSMUSG00000039231",104,140,121,194,169,171
"ENSMUSG00000039232",31,26,35,51,34,31
"ENSMUSG00000039233",278,221,299,208,254,282
"ENSMUSG00000039234",2060,2164,1365,2080,1963,1900
"ENSMUSG00000039236",53,42,69,38,41,26
"ENSMUSG00000039238",165,190,88,102,162,185
"ENSMUSG00000039239",7,8,13,8,19,11
"ENSMUSG00000039242",363,524,740,814,794,781
"ENSMUSG00000039244",214,245,205,255,379,331
"ENSMUSG00000039246",611,358,562,385,522,545
"ENSMUSG00000039252",6,2,1,6,32,14
"ENSMUSG00000039253",165,201,290,374,342,358
"ENSMUSG00000039254",239,323,427,399,365,380
"ENSMUSG00000039257",0,0,0,0,1,0
"ENSMUSG00000039262",633,971,862,1185,1327,1190
"ENSMUSG00000039263",509,484,593,588,617,719
"ENSMUSG00000039264",66,29,50.66,73.79,62.5,32.33
"ENSMUSG00000039269",0,0,0,0,0,0
"ENSMUSG00000039270",1731,1774,1210,2323,1608,2394
"ENSMUSG00000039275",478,508,533,596,908,877
"ENSMUSG00000039278",0,0,0,0,0,0
"ENSMUSG00000039285",1635,1521,1524,1400,1545,1573
"ENSMUSG00000039286",792,830,638,977,1367,1363
"ENSMUSG00000039294",175,179,299,305,256,268
"ENSMUSG00000039296",0,0,0,0,0,0
"ENSMUSG00000039298",111,108,208.96,238.49,230.42,207
"ENSMUSG00000039304",89,71,189,136,198,157
"ENSMUSG00000039307",100,114,120,123,135,151
"ENSMUSG00000039308",287,364,369,440,431,417
"ENSMUSG00000039313",0,0,0,0,1,0
"ENSMUSG00000039315",3,1,0,1,1,1
"ENSMUSG00000039316",68,69,89,104,138,109
"ENSMUSG00000039318",562,625,771,864,788,797
"ENSMUSG00000039321",0,0,0,0,0,0
"ENSMUSG00000039323",8998,5986,4908,7852,6800,5937
"ENSMUSG00000039328",19,22,20,29,21,22
"ENSMUSG00000039329",0,0,0,0,0,0
"ENSMUSG00000039330",0,0,0,0,0,0
"ENSMUSG00000039335",0,0,0,0,0,0
"ENSMUSG00000039337",0,0,0,0,0,0
"ENSMUSG00000039339",1,0,0,0,0,0
"ENSMUSG00000039342",0,0,0,0,0,0
"ENSMUSG00000039345",132,83,171,121,118,118
"ENSMUSG00000039347",8,11,8,10,26,16
"ENSMUSG00000039349",1918,3002,4476,4138,3874,3973
"ENSMUSG00000039354",179,189,334,349,262,279
"ENSMUSG00000039356",286,264,239,373,388,348
"ENSMUSG00000039357",179,144,156,163,159,150
"ENSMUSG00000039358",0,0,0,0,0,0
"ENSMUSG00000039361",4782,4064,2449,3615,3548,3691
"ENSMUSG00000039364",0,0,0,0,0,0
"ENSMUSG00000039367",1215,1671,1790,2036,2427,2104
"ENSMUSG00000039372",0,0,0,0,0,0
"ENSMUSG00000039375",0,0,0,1,0,0
"ENSMUSG00000039376",2,0,1,1,1,1
"ENSMUSG00000039377",101,71,61,99,107,83
"ENSMUSG00000039382",614,541,496.44,548.21,521.25,485
"ENSMUSG00000039384",68,65,43,125,65,59
"ENSMUSG00000039385",7,6,4,8,14,15
"ENSMUSG00000039391",0,0,0,0,0,0
"ENSMUSG00000039395",756,995,887,1143,856,796
"ENSMUSG00000039396",6,4,2,13,9,5
"ENSMUSG00000039405",85,77,166,124,134,124
"ENSMUSG00000039410",12,12,12,19,20,11
"ENSMUSG00000039414",368,504,554,736,682,778
"ENSMUSG00000039419",0,0,0,0,0,0
"ENSMUSG00000039427",633,546,517,622,659,604
"ENSMUSG00000039428",2840,2700,3211,2815,3774,3496
"ENSMUSG00000039431",50,43,48,113,66,57
"ENSMUSG00000039438",16493,11324,14058,13126,12450,13479
"ENSMUSG00000039449",1030,973,968,1171,1140,987
"ENSMUSG00000039450",3066,2293,1982,2286,2099,2728
"ENSMUSG00000039452",52,23,55,45,47,41
"ENSMUSG00000039456",650,606,744,644,763,724
"ENSMUSG00000039457",435,496,474,1722,828,1132
"ENSMUSG00000039458",280,325,359,424,378,464
"ENSMUSG00000039461",296,410,593,636,408,487
"ENSMUSG00000039462",0,0,0,0,0,0
"ENSMUSG00000039463",422,435,429,464,704,585
"ENSMUSG00000039470",23,31,35,38,33,26
"ENSMUSG00000039473",758,904,835,1105,1050,1117
"ENSMUSG00000039474",68,53,95,68,88,113
"ENSMUSG00000039476",0,0,0,0,0,0
"ENSMUSG00000039477",259,513,471,780,702,737
"ENSMUSG00000039478",103,88,67,65,94,76
"ENSMUSG00000039480",746,533,628,513,540,563
"ENSMUSG00000039481",38,37,15,32,18,26
"ENSMUSG00000039483",109,123,120,174,151,193
"ENSMUSG00000039485",127,187,237,307,157,254
"ENSMUSG00000039488",0,0,0,0,0,0
"ENSMUSG00000039492",0,0,0,0,0,0
"ENSMUSG00000039496",20,4,13,8,6,5
"ENSMUSG00000039497",598,544,928,750,793,853
"ENSMUSG00000039501",983,1321,1520,1954,1807,1617
"ENSMUSG00000039508",0,0,0,0,0,0
"ENSMUSG00000039509",227,234,330,271,329,292
"ENSMUSG00000039512",464,658,707,767,816,846
"ENSMUSG00000039515",1000,1106,840,1082,1017,952
"ENSMUSG00000039518",0,0,0,0,6,0
"ENSMUSG00000039519",323,249,401,297,417,634
"ENSMUSG00000039521",0,0,0,1,1,0.69
"ENSMUSG00000039523",186,247,191,274,290,292
"ENSMUSG00000039529",828,1059,1535,2071,2349,2276
"ENSMUSG00000039530",406,257,306,255,331,363
"ENSMUSG00000039531",217,221,312,266,244,193
"ENSMUSG00000039533",449,276,824,527,516,539
"ENSMUSG00000039536",782,944,887,1053,1089,1188
"ENSMUSG00000039539",3,1,3,0,1,1
"ENSMUSG00000039540",0,0,0,0,0,0
"ENSMUSG00000039542",9,5,6,14,24,3
"ENSMUSG00000039543",1,2,1,4,0,0
"ENSMUSG00000039545",2,3,1,0,4,3.31
"ENSMUSG00000039546",0,0,5,0,1,2
"ENSMUSG00000039552",70,100,127,59,80,62
"ENSMUSG00000039555",0,0,0,0,0,0
"ENSMUSG00000039556",8,6.92,8.67,19.91,7.09,9.58
"ENSMUSG00000039563",9,11,11,6,7,10
"ENSMUSG00000039568",115,181,147,194,114,124
"ENSMUSG00000039577",5,3,2,3,3,3
"ENSMUSG00000039578",3,2,1,5,7,3
"ENSMUSG00000039579",0,0,0,2,0,0
"ENSMUSG00000039585",372,390,499,610,623,600
"ENSMUSG00000039599",386,430,712,669,687,713
"ENSMUSG00000039601",171,188,114,237,352,373
"ENSMUSG00000039607",169,184,285,296,374,274
"ENSMUSG00000039608",0,0,0,0,0,0
"ENSMUSG00000039611",22,14,16,10,21,21
"ENSMUSG00000039615",988,912,1006,1177,1134,1105
"ENSMUSG00000039616",865,909,1567,1381,1291,1380
"ENSMUSG00000039617",12.09,24.24,6.21,15.64,28.72,24.97
"ENSMUSG00000039620",129,137,127,97,87,66
"ENSMUSG00000039621",115,138,227,288,314,251
"ENSMUSG00000039623",89,132,144,237,126,150
"ENSMUSG00000039628",5,9,12,19,8,5
"ENSMUSG00000039629",11,9,9,12,19,12
"ENSMUSG00000039630",2549,4007,3408,4537,3990,4126
"ENSMUSG00000039632",142,52,30,118,33,64
"ENSMUSG00000039633",66,57,35,110,127,153
"ENSMUSG00000039634",317,334,291,291,282,287
"ENSMUSG00000039637",176,243,272,290,301,298
"ENSMUSG00000039639",0,0,0,0,0,0
"ENSMUSG00000039640",4267,2411,3390,2171,2575,2558
"ENSMUSG00000039646",114,152.96,177,177,228,347
"ENSMUSG00000039648",1272,1131,2134,2508,2358,2622
"ENSMUSG00000039652",270,322,205,224,285,249
"ENSMUSG00000039653",6154,5589,7088,8309,5937,6098
"ENSMUSG00000039656",478,518,502,482,551,539
"ENSMUSG00000039660",211,245,374,548,430,505
"ENSMUSG00000039661",0,1,0,0,0,0
"ENSMUSG00000039662",755,1037,948,1780,1592,1674
"ENSMUSG00000039670",261,179,373,170,170,205
"ENSMUSG00000039671",244,359,394,396,391,382
"ENSMUSG00000039672",0,0,0,0,0,0
"ENSMUSG00000039676",3,4,2,5,4,4
"ENSMUSG00000039678",397,527,698,835,877,812
"ENSMUSG00000039680",179.93,126.87,317.78,242.97,257.84,244.51
"ENSMUSG00000039682",6008,4730,8942,9061,7508,7162
"ENSMUSG00000039683",8,6,7,5,9,2
"ENSMUSG00000039684",5.27,5.08,4.08,7.16,9.17,10.18
"ENSMUSG00000039686",163,220,260,306,271,295
"ENSMUSG00000039691",0,1,0,0,0,0
"ENSMUSG00000039693",10,12,16,10,11,14
"ENSMUSG00000039697",146,92,104,102,112,87
"ENSMUSG00000039699",8,4,10,10,7,14
"ENSMUSG00000039701",331,414,368,500,439,425
"ENSMUSG00000039703",1359,1842,1527,2042,2259,2434
"ENSMUSG00000039704",1578,1858,1393,1976,2241,2127
"ENSMUSG00000039706",52,65,70,71,85,101
"ENSMUSG00000039710",0,0,0,0,0,0
"ENSMUSG00000039713",53,109,68,114,101,112
"ENSMUSG00000039714",0,0,0,0,0,0
"ENSMUSG00000039715",128,76,84,78,98,94
"ENSMUSG00000039716",2,2,0,0,0,1
"ENSMUSG00000039717",0,0,0,0,0,0
"ENSMUSG00000039720",0,0,0,0,1,1
"ENSMUSG00000039725",241.18,173.78,241.02,254.8,251.1,260.97
"ENSMUSG00000039728",0,0,0,0,0,0
"ENSMUSG00000039735",269,252,368,421,448,396
"ENSMUSG00000039737",192,155,227,202,236,224
"ENSMUSG00000039738",49,80,57,80,120,122
"ENSMUSG00000039740",159,201,177,152,320,271
"ENSMUSG00000039741",78,133,118,171,143,172
"ENSMUSG00000039742",0,0,0,0,0,0
"ENSMUSG00000039745",608,579,1013,509,517,637
"ENSMUSG00000039747",59,46,45,77,35,58
"ENSMUSG00000039748",2,8,9,16,9,4
"ENSMUSG00000039753",1938,1403,1958,1600,1766,1604
"ENSMUSG00000039754",75,69,79,94,80,87
"ENSMUSG00000039756",843,690,589,716,681,638
"ENSMUSG00000039759",65,78,135,96,77,64
"ENSMUSG00000039760",0,0,0,0,0,0
"ENSMUSG00000039763",197,276,308,338,286,262
"ENSMUSG00000039765",65,71,94,85,115,117
"ENSMUSG00000039768",1017,1151,972,1341,1584,1523
"ENSMUSG00000039770",1332,1143,1075,1062,1174,1341
"ENSMUSG00000039771",680,434,680,528,538,583
"ENSMUSG00000039774",2,3,5,11,7,1
"ENSMUSG00000039775",0,0,0,0,0,0
"ENSMUSG00000039781",25,40,49,53,80,59
"ENSMUSG00000039782",946,975,731,1038,787,862
"ENSMUSG00000039783",10840,8635,9160,10622,9211,9679
"ENSMUSG00000039785",0,0,0,0,0,0
"ENSMUSG00000039787",2,3,4,5,13,7
"ENSMUSG00000039789",376,389,373,417,445,397
"ENSMUSG00000039795",633.46,396.14,605.44,362.47,376.93,380.02
"ENSMUSG00000039798",0,0,0,0,0,0
"ENSMUSG00000039801",131,145,206,218,206,245
"ENSMUSG00000039804",203,258,192,281,287,230
"ENSMUSG00000039809",539,582,872,1216,1441,845
"ENSMUSG00000039810",161,202,205,288,221,255
"ENSMUSG00000039813",18,16,24,40,27,24
"ENSMUSG00000039814",2,0,0,5,2,1
"ENSMUSG00000039824",5,0,2,10,1,0
"ENSMUSG00000039826",582,449,418,363,390,347
"ENSMUSG00000039828",212,223,344,324,372,380
"ENSMUSG00000039830",0,0,0,0,0,0
"ENSMUSG00000039831",1720,1971,2287,2534,2533,2257
"ENSMUSG00000039834",131,186,219,250,277,304
"ENSMUSG00000039835",56,107,109,131,170,153
"ENSMUSG00000039838",0,0,0,0,0,0
"ENSMUSG00000039840",802,1081,1364,1500,1376,1469
"ENSMUSG00000039841",327,232,293,314,238,257
"ENSMUSG00000039842",55,62,116,76,131,102
"ENSMUSG00000039844",993,1183,1128,1739,1859,1851
"ENSMUSG00000039849",482,587,473,707,549,590
"ENSMUSG00000039850",110,104,131,123,140,119
"ENSMUSG00000039851",0,0,0,0,0,1
"ENSMUSG00000039852",408,463,418,579,500,544
"ENSMUSG00000039853",69,96,206,216,218,190
"ENSMUSG00000039860",0,0,0,0,0,0
"ENSMUSG00000039865",142,72,161,101,257,280
"ENSMUSG00000039873",14,22,19,11,19,16
"ENSMUSG00000039878",45,61,67,65,123,115
"ENSMUSG00000039879",1077,1451,1192,1361,1219,1130
"ENSMUSG00000039883",1,2,3,4,13,5
"ENSMUSG00000039886",4069,2545,1417,1365,1240,1353
"ENSMUSG00000039887",319,284,369,370,354,302
"ENSMUSG00000039891",1,2,5,1,1,0
"ENSMUSG00000039899",167,115,190,216,276,141
"ENSMUSG00000039901",172,163,181,194,203,209
"ENSMUSG00000039903",18,31,21,44,20,20
"ENSMUSG00000039904",0,0,0,0,0,0
"ENSMUSG00000039908",56,75,102,118,102,109
"ENSMUSG00000039910",103,88,132,165,120,115
"ENSMUSG00000039911",36,43,23,37,41,42
"ENSMUSG00000039913",0,0,0,0,0,0
"ENSMUSG00000039914",467,422,491,435,375,390
"ENSMUSG00000039917",688,824,163,357,558,748
"ENSMUSG00000039929",151,202,148,234,270,235
"ENSMUSG00000039934",749,448,1198,744,1028,1034
"ENSMUSG00000039936",80,62,114,149,162,137
"ENSMUSG00000039942",15,16,25,17,18,22
"ENSMUSG00000039943",212,221,177,174,240,213
"ENSMUSG00000039952",1298,1738,1047,1827,1818,1867
"ENSMUSG00000039953",148,155,99,213,214,207
"ENSMUSG00000039954",0,1,0,0,0,0
"ENSMUSG00000039956",3700,1758,1668,1405,1509,1812
"ENSMUSG00000039958",327,583,649,544,504,608
"ENSMUSG00000039959",344,479,464,701,602,688
"ENSMUSG00000039960",1236,1343,1531,1656,1734,1329
"ENSMUSG00000039962",0,0,0,0,0,0
"ENSMUSG00000039963",0,4,3,3,0,1
"ENSMUSG00000039967",1050,1295,1216,1068,1059,1219
"ENSMUSG00000039968",322,345,267,278,238,232
"ENSMUSG00000039976",358,547,400,601,552,455
"ENSMUSG00000039977",8,4,15,10,13,12
"ENSMUSG00000039981",40,35,85,47,33,17
"ENSMUSG00000039982",282,470,514,544,272,304
"ENSMUSG00000039983",232,165,250,203,178,182
"ENSMUSG00000039985",79.75,61,121.68,123.34,113.94,106.05
"ENSMUSG00000039987",184,200,230,254,302,284
"ENSMUSG00000039988",889,783,884,875,776,818
"ENSMUSG00000039989",211,253,179,233,144,194
"ENSMUSG00000039990",567,619,753,955,919,1037
"ENSMUSG00000039994",54,68,80,83,111,82
"ENSMUSG00000039997",288.51,283.82,402.03,396.1,385.92,347.37
"ENSMUSG00000040003",9,11,1,5.3,8,4
"ENSMUSG00000040006",1290,977,805,813,955,962
"ENSMUSG00000040007",98,188,154,224,233,215
"ENSMUSG00000040009",1,2,6,0,5,2
"ENSMUSG00000040010",59,32,43,64,63,82
"ENSMUSG00000040013",0,0,0,0,0,0
"ENSMUSG00000040016",6,10,15,21,85,6
"ENSMUSG00000040017",4190,3563,2629,6258,4518,7226
"ENSMUSG00000040018",528,595,644,880,843,823
"ENSMUSG00000040021",1168,1213,1052,1113,1179,1225
"ENSMUSG00000040022",261,310,239,265,354,357
"ENSMUSG00000040025",931,863,805,952,920,861.98
"ENSMUSG00000040026",389,301.53,564,505,127,172.07
"ENSMUSG00000040028",575,718,596,829,765,766
"ENSMUSG00000040029",1406,1711,1984,2448,2877,2788
"ENSMUSG00000040033",475,604,973,1136,1032,835
"ENSMUSG00000040034",76,55,101,72,77,92
"ENSMUSG00000040035",168,121,66,133,175,200
"ENSMUSG00000040037",0,0,1,0,16,3
"ENSMUSG00000040040",160,125,157,144,119,136
"ENSMUSG00000040043",172,177,220,236,237,232
"ENSMUSG00000040044",578,566,551,514,521,461
"ENSMUSG00000040046",0,0,0,0,0,0
"ENSMUSG00000040048",4277,2754,3510,3071,3003,3342
"ENSMUSG00000040054",459.6,729.62,615.16,800.68,623.26,810.43
"ENSMUSG00000040055",0,0,0,0,0,0
"ENSMUSG00000040061",21,27,36,52,68,58
"ENSMUSG00000040065",0,0,0,0,0,0
"ENSMUSG00000040078",82.01,70.47,91.72,81.34,81.91,93.87
"ENSMUSG00000040084",44,46,49,58,69,48
"ENSMUSG00000040086",0,0,1,0,0,0
"ENSMUSG00000040093",181,185,153,284,223,231
"ENSMUSG00000040097",255,335,375,693,536,564
"ENSMUSG00000040102",319,429,520,596,717,694
"ENSMUSG00000040105",125,127,179,212,217,194
"ENSMUSG00000040111",71,79,61,95,117,98
"ENSMUSG00000040112",1131,747,1079,740,812,690
"ENSMUSG00000040113",0,0,0,0,0,0
"ENSMUSG00000040118",58,50,32,51,70,37
"ENSMUSG00000040121",1,10,5,9,6,2
"ENSMUSG00000040123",1234.11,976.48,927.83,996.04,690.18,885.11
"ENSMUSG00000040124",63,62,73,76,65,38
"ENSMUSG00000040125",0,0,0,0,0,0
"ENSMUSG00000040127",179,397,1150,1401,570,665
"ENSMUSG00000040128",1005,1264,1104,1927,1240,1358
"ENSMUSG00000040132",0,0,0,0,0,0
"ENSMUSG00000040133",0,0,2,0,0,1
"ENSMUSG00000040134",41402.64,31204.7,35896.33,35879.24,30979.18,33387.6
"ENSMUSG00000040136",0,0,0,0,0,0
"ENSMUSG00000040138",0,0,0,0,1,0
"ENSMUSG00000040139",408,249,278,242,185,246
"ENSMUSG00000040140",2,0,0,0,0,0
"ENSMUSG00000040146",173,215,246,354,231,287
"ENSMUSG00000040147",2798,3387,3660,5386,4422,5032
"ENSMUSG00000040148",0,0,0,0,0,0
"ENSMUSG00000040151",365,411,355,462,532,496
"ENSMUSG00000040152",66,51,47,62,71,35
"ENSMUSG00000040154",0,0,0,0,0,0
"ENSMUSG00000040158",273.88,220,347,430,373.8,367.65
"ENSMUSG00000040163",0,0,0,0,0,0
"ENSMUSG00000040164",0,0,0,0,0,0
"ENSMUSG00000040165",0,1,0,0,2,0
"ENSMUSG00000040167",295,290,266,305,272.15,238
"ENSMUSG00000040170",2047,1940,1460,3035,3575,5009
"ENSMUSG00000040174",483,339,352,259,310,311
"ENSMUSG00000040177",86,94,77,67,99,80
"ENSMUSG00000040181",5093,5001,3795,7443,7860.99,8725
"ENSMUSG00000040183",12,7,13,7,18,20
"ENSMUSG00000040187",2,8,11,6,11,15
"ENSMUSG00000040188",282,306,264,343,380,341
"ENSMUSG00000040189",1,5,3,9,7,0
"ENSMUSG00000040195",111,86,165,139,153,150
"ENSMUSG00000040197",0,0,1,0,2,0
"ENSMUSG00000040204",24,21,23,55,43,7
"ENSMUSG00000040205",0,0,0,0,0,0
"ENSMUSG00000040209",196,292,434,384,492,418
"ENSMUSG00000040212",19,22,43,40,50,61
"ENSMUSG00000040213",4685,4271,5404,7899,6253,6455
"ENSMUSG00000040217",0,0,0,0,0,0
"ENSMUSG00000040219",16,13,9,11,10,10
"ENSMUSG00000040220",31,59,52,66,55,54
"ENSMUSG00000040225",1193,1571,1049,1631,1456,1512
"ENSMUSG00000040229",2,1,4,8,4,5
"ENSMUSG00000040231",0,0,0,1,0,0
"ENSMUSG00000040234",2106,1656,2130,2524,2683,2192
"ENSMUSG00000040236",468,477,586,677,618,658
"ENSMUSG00000040242",1217.97,1074,1464,1191,1465,1498
"ENSMUSG00000040247",34,15.78,29,24.75,19.21,12
"ENSMUSG00000040249",17287,25184,22671,27476,33324,36072
"ENSMUSG00000040250",434,475,474,566,603,594
"ENSMUSG00000040253",478.48,359.81,774.32,848.26,894.29,647.36
"ENSMUSG00000040254",113,106,154,134,140,145
"ENSMUSG00000040258",0,0,0,0,0,0
"ENSMUSG00000040260",174,197,189,186,166,204
"ENSMUSG00000040263",256,295,336,459,473,423
"ENSMUSG00000040264",53,51,185.35,205,222.38,116
"ENSMUSG00000040265",9,11,21,22,13,12
"ENSMUSG00000040268",231,288,245,389,352,319
"ENSMUSG00000040269",929,703,996,618,751,793
"ENSMUSG00000040270",123,101,144,140,237,187
"ENSMUSG00000040272",63,62,72,58,59,55
"ENSMUSG00000040274",250,302,533,374,643,649
"ENSMUSG00000040276",3,0,4,1,1,2
"ENSMUSG00000040280",16,8,10,11,12,18
"ENSMUSG00000040282",13,8,43,30,26,26
"ENSMUSG00000040283",101,108,218,277,337,442
"ENSMUSG00000040284",0,0,0,0,0,0
"ENSMUSG00000040287",2,0,0,2,1,3
"ENSMUSG00000040289",11,17,18,17,15,18
"ENSMUSG00000040296",328,435,860,892,949,752
"ENSMUSG00000040297",1027,830,588,782,775,720
"ENSMUSG00000040298",0,0,0,0,0,0
"ENSMUSG00000040302",195,134,135,137,123,106
"ENSMUSG00000040310",0,1,0,0,0,0
"ENSMUSG00000040312",10,13,20,28,32,29
"ENSMUSG00000040314",0,0,0,0,0,0
"ENSMUSG00000040321",263,252,241,187,152,171
"ENSMUSG00000040322",78,49,72,78,81,92
"ENSMUSG00000040323",6.69,2.69,4.99,3.96,8.21,1.37
"ENSMUSG00000040325",954,1058,1158,1070,1436,1389
"ENSMUSG00000040327",162,161,182,163.37,186,173
"ENSMUSG00000040328",23.08,16,8.02,8.05,7.01,10.09
"ENSMUSG00000040329",14,9,34,21,17,9
"ENSMUSG00000040331",1679,1380,1367,1343,1260,1146
"ENSMUSG00000040339",214,192,193,270,255,227
"ENSMUSG00000040340",0,0,0,0,0,1
"ENSMUSG00000040345",54,49,87,86,77,61
