human_symbol_hgnc,human_ensembl,mouse_ensembl
CACNA2D3,ENSG00000157445,ENSMUSG00000021991
CACNA2D4,ENSG00000151062,ENSMUSG00000041460
CACNB1,ENSG00000067191,ENSMUSG00000020882
CACNB2,ENSG00000165995,ENSMUSG00000057914
CACNB3,ENSG00000167535,ENSMUSG00000003352
CACNB4,ENSG00000182389,ENSMUSG00000017412
CACNG1,ENSG00000108878,ENSMUSG00000020722
CACNG2,ENSG00000166862,ENSMUSG00000019146
CACNG3,ENSG00000006116,ENSMUSG00000066189
CACNG4,ENSG00000075461,ENSMUSG00000020723
CACNG5,ENSG00000075429,ENSMUSG00000040373
CACNG6,ENSG00000130433,ENSMUSG00000078815
CACNG7,ENSG00000105605,ENSMUSG00000069806
CACNG8,ENSG00000142408,ENSMUSG00000053395
CACTIN,ENSG00000105298,ENSMUSG00000034889
CACUL1,ENSG00000151893,ENSMUSG00000033417
CACYBP,ENSG00000116161,ENSMUSG00000014226
CAD,ENSG00000084774,ENSMUSG00000013629
CADM1,ENSG00000182985,ENSMUSG00000032076
CADM2,ENSG00000175161,ENSMUSG00000064115
CADM3,ENSG00000162706,ENSMUSG00000005338
CADM4,ENSG00000105767,ENSMUSG00000054793
CADPS2,ENSG00000081803,ENSMUSG00000017978
CAGE1,ENSG00000164304,ENSMUSG00000044566
CALB1,ENSG00000104327,ENSMUSG00000028222
CALB2,ENSG00000172137,ENSMUSG00000003657
CALCB,ENSG00000175868,ENSMUSG00000030666
CALCOCO1,ENSG00000012822,ENSMUSG00000023055
CALCR,ENSG00000004948,ENSMUSG00000023964
CALCRL,ENSG00000064989,ENSMUSG00000059588
CALD1,ENSG00000122786,ENSMUSG00000029761
CALHM1,ENSG00000185933,ENSMUSG00000079258
CALHM2,ENSG00000138172,ENSMUSG00000033033
CALHM3,ENSG00000183128,ENSMUSG00000094219
CALHM4,ENSG00000164451,ENSMUSG00000039508
CALHM5,ENSG00000178033,ENSMUSG00000049872
CALHM6,ENSG00000188820,ENSMUSG00000046031
CALM1,ENSG00000198668,ENSMUSG00000001175
CALM2,ENSG00000143933,ENSMUSG00000036438
CALML3,ENSG00000178363,ENSMUSG00000063130
CALML4,ENSG00000129007,ENSMUSG00000032246
CALN1,ENSG00000183166,ENSMUSG00000060371
CALR,ENSG00000179218,ENSMUSG00000003814
CALR3,ENSG00000269058,ENSMUSG00000019732
CALU,ENSG00000128595,ENSMUSG00000029767
CALY,ENSG00000130643,ENSMUSG00000025468
CAMK1,ENSG00000134072,ENSMUSG00000030272
CAMK1D,ENSG00000183049,ENSMUSG00000039145
CAMK1G,ENSG00000008118,ENSMUSG00000016179
CAMK2A,ENSG00000070808,ENSMUSG00000024617
CAMK2B,ENSG00000058404,ENSMUSG00000057897
CAMK2G,ENSG00000148660,ENSMUSG00000021820
CAMK2N1,ENSG00000162545,ENSMUSG00000046447
CAMK2N2,ENSG00000163888,ENSMUSG00000051146
CAMK4,ENSG00000152495,ENSMUSG00000038128
CAMKK1,ENSG00000004660,ENSMUSG00000020785
CAMKK2,ENSG00000110931,ENSMUSG00000029471
CAMKMT,ENSG00000143919,ENSMUSG00000071037
CAMKV,ENSG00000164076,ENSMUSG00000032936
CAMLG,ENSG00000164615,ENSMUSG00000021501
CAMP,ENSG00000164047,ENSMUSG00000038357
CAMSAP1,ENSG00000130559,ENSMUSG00000026933
CAMSAP2,ENSG00000118200,ENSMUSG00000041570
CAMSAP3,ENSG00000076826,ENSMUSG00000044433
CAMTA1,ENSG00000171735,ENSMUSG00000014592
CAMTA2,ENSG00000108509,ENSMUSG00000040712
CAND1,ENSG00000111530,ENSMUSG00000020114
CAND2,ENSG00000144712,ENSMUSG00000030319
CANT1,ENSG00000171302,ENSMUSG00000025575
CANX,ENSG00000127022,ENSMUSG00000020368
CAP1,ENSG00000131236,ENSMUSG00000028656
CAP2,ENSG00000112186,ENSMUSG00000021373
CAPG,ENSG00000042493,ENSMUSG00000056737
CAPN1,ENSG00000014216,ENSMUSG00000024942
CAPN10,ENSG00000142330,ENSMUSG00000026270
CAPN11,ENSG00000137225,ENSMUSG00000058626
CAPN12,ENSG00000182472,ENSMUSG00000054083
CAPN13,ENSG00000162949,ENSMUSG00000043705
CAPN15,ENSG00000103326,ENSMUSG00000037326
CAPN2,ENSG00000162909,ENSMUSG00000026509
CAPN3,ENSG00000092529,ENSMUSG00000079110
CAPN5,ENSG00000149260,ENSMUSG00000035547
CAPN6,ENSG00000077274,ENSMUSG00000067276
CAPN7,ENSG00000131375,ENSMUSG00000021893
CAPN8,ENSG00000203697,ENSMUSG00000038599
CAPN9,ENSG00000135773,ENSMUSG00000031981
CAPNS1,ENSG00000126247,ENSMUSG00000001794
CAPNS2,ENSG00000256812,ENSMUSG00000078144
CAPRIN1,ENSG00000135387,ENSMUSG00000027184
CAPRIN2,ENSG00000110888,ENSMUSG00000030309
CAPS2,ENSG00000180881,ENSMUSG00000035694
CAPSL,ENSG00000152611,ENSMUSG00000039676
CAPZA2,ENSG00000198898,ENSMUSG00000015733
CAPZA3,ENSG00000177938,ENSMUSG00000041791
CAPZB,ENSG00000077549,ENSMUSG00000028745
CARD10,ENSG00000100065,ENSMUSG00000033170
CARD11,ENSG00000198286,ENSMUSG00000036526
CARD14,ENSG00000141527,ENSMUSG00000013483
CARD19,ENSG00000165233,ENSMUSG00000037960
CARD6,ENSG00000132357,ENSMUSG00000041849
CARD9,ENSG00000187796,ENSMUSG00000026928
CARF,ENSG00000138380,ENSMUSG00000026017
CARHSP1,ENSG00000153048,ENSMUSG00000008393
CARM1,ENSG00000142453,ENSMUSG00000032185
CARMIL1,ENSG00000079691,ENSMUSG00000021338
CARMIL2,ENSG00000159753,ENSMUSG00000050357
CARMIL3,ENSG00000186648,ENSMUSG00000022211
CARNMT1,ENSG00000156017,ENSMUSG00000024726
CARNS1,ENSG00000172508,ENSMUSG00000075289
CARS1,ENSG00000110619,ENSMUSG00000010755
CARS2,ENSG00000134905,ENSMUSG00000056228
CARTPT,ENSG00000164326,ENSMUSG00000021647
CASC3,ENSG00000108349,ENSMUSG00000078676
CASD1,ENSG00000127995,ENSMUSG00000015189
CASK,ENSG00000147044,ENSMUSG00000031012
CASKIN1,ENSG00000167971,ENSMUSG00000033597
CASKIN2,ENSG00000177303,ENSMUSG00000034471
CASP14,ENSG00000105141,ENSMUSG00000005355
CASP2,ENSG00000106144,ENSMUSG00000029863
CASP3,ENSG00000164305,ENSMUSG00000031628
CASP6,ENSG00000138794,ENSMUSG00000027997
CASP7,ENSG00000165806,ENSMUSG00000025076
CASP8,ENSG00000064012,ENSMUSG00000026029
CASP8AP2,ENSG00000118412,ENSMUSG00000028282
CASP9,ENSG00000132906,ENSMUSG00000028914
CASQ1,ENSG00000143318,ENSMUSG00000007122
CASQ2,ENSG00000118729,ENSMUSG00000027861
CASR,ENSG00000036828,ENSMUSG00000051980
CASS4,ENSG00000087589,ENSMUSG00000074570
CASTOR1,ENSG00000239282,ENSMUSG00000020424
CASTOR2,ENSG00000274070,ENSMUSG00000015944
CAT,ENSG00000121691,ENSMUSG00000027187
CATIP,ENSG00000158428,ENSMUSG00000073650
CATSPER2,ENSG00000166762,ENSMUSG00000033486
CATSPER3,ENSG00000152705,ENSMUSG00000021499
CATSPER4,ENSG00000188782,ENSMUSG00000048003
CATSPERH,ENSG00000187066,ENSMUSG00000047733
CATSPERQ,ENSG00000261587,ENSMUSG00000116376
CAV1,ENSG00000105974,ENSMUSG00000007655
CAV2,ENSG00000105971,ENSMUSG00000000058
CAV3,ENSG00000182533,ENSMUSG00000062694
CAVIN1,ENSG00000177469,ENSMUSG00000004044
CAVIN2,ENSG00000168497,ENSMUSG00000045954
CAVIN3,ENSG00000170955,ENSMUSG00000037060
CAVIN4,ENSG00000170681,ENSMUSG00000028348
CBARP,ENSG00000099625,ENSMUSG00000035640
CBFA2T2,ENSG00000078699,ENSMUSG00000038533
CBFA2T3,ENSG00000129993,ENSMUSG00000006362
CBFB,ENSG00000067955,ENSMUSG00000031885
CBL,ENSG00000110395,ENSMUSG00000034342
CBLB,ENSG00000114423,ENSMUSG00000022637
CBLC,ENSG00000142273,ENSMUSG00000040525
CBLL1,ENSG00000105879,ENSMUSG00000020659
CBLN1,ENSG00000102924,ENSMUSG00000031654
CBLN2,ENSG00000141668,ENSMUSG00000024647
CBLN3,ENSG00000139899,ENSMUSG00000040380
CBLN4,ENSG00000054803,ENSMUSG00000067578
CBR3,ENSG00000159231,ENSMUSG00000022947
CBR4,ENSG00000145439,ENSMUSG00000031641
CBS,ENSG00000160200,ENSMUSG00000024039
CBX1,ENSG00000108468,ENSMUSG00000018666
CBX2,ENSG00000173894,ENSMUSG00000025577
CBX3,ENSG00000122565,ENSMUSG00000029836
CBX4,ENSG00000141582,ENSMUSG00000039989
CBX5,ENSG00000094916,ENSMUSG00000009575
CBX6,ENSG00000183741,ENSMUSG00000089715
CBX7,ENSG00000100307,ENSMUSG00000053411
CBX8,ENSG00000141570,ENSMUSG00000025578
CBY1,ENSG00000100211,ENSMUSG00000022428
CBY2,ENSG00000174015,ENSMUSG00000034913
CC2D1A,ENSG00000132024,ENSMUSG00000036686
CC2D1B,ENSG00000154222,ENSMUSG00000028582
CC2D2A,ENSG00000048342,ENSMUSG00000039765
CC2D2B,ENSG00000188649,ENSMUSG00000108929
CCAR1,ENSG00000060339,ENSMUSG00000020074
CCAR2,ENSG00000158941,ENSMUSG00000033712
CCBE1,ENSG00000183287,ENSMUSG00000046318
CCDC102A,ENSG00000135736,ENSMUSG00000063605
CCDC106,ENSG00000173581,ENSMUSG00000035228
CCDC107,ENSG00000159884,ENSMUSG00000028461
CCDC112,ENSG00000164221,ENSMUSG00000071855
CCDC116,ENSG00000161180,ENSMUSG00000022768
CCDC117,ENSG00000159873,ENSMUSG00000020482
CCDC12,ENSG00000160799,ENSMUSG00000019659
CCDC120,ENSG00000147144,ENSMUSG00000031150
CCDC122,ENSG00000151773,ENSMUSG00000034795
CCDC124,ENSG00000007080,ENSMUSG00000007721
CCDC125,ENSG00000183323,ENSMUSG00000048924
CCDC126,ENSG00000169193,ENSMUSG00000050786
CCDC127,ENSG00000164366,ENSMUSG00000021578
CCDC13,ENSG00000244607,ENSMUSG00000079235
CCDC134,ENSG00000100147,ENSMUSG00000068114
CCDC136,ENSG00000128596,ENSMUSG00000029769
CCDC137,ENSG00000185298,ENSMUSG00000049957
CCDC138,ENSG00000163006,ENSMUSG00000038010
CCDC14,ENSG00000175455,ENSMUSG00000022833
CCDC141,ENSG00000163492,ENSMUSG00000044033
CCDC142,ENSG00000135637,ENSMUSG00000107499
CCDC146,ENSG00000135205,ENSMUSG00000064280
CCDC148,ENSG00000153237,ENSMUSG00000036641
CCDC149,ENSG00000181982,ENSMUSG00000045790
CCDC15,ENSG00000149548,ENSMUSG00000034303
CCDC150,ENSG00000144395,ENSMUSG00000025983
CCDC152,ENSG00000198865,ENSMUSG00000091119
CCDC154,ENSG00000197599,ENSMUSG00000059562
CCDC157,ENSG00000187860,ENSMUSG00000051427
CCDC158,ENSG00000163749,ENSMUSG00000050050
CCDC159,ENSG00000183401,ENSMUSG00000006241
CCDC160,ENSG00000203952,ENSMUSG00000073207
CCDC167,ENSG00000198937,ENSMUSG00000024018
CCDC169,ENSG00000242715,ENSMUSG00000048655
CCDC17,ENSG00000159588,ENSMUSG00000034035
CCDC170,ENSG00000120262,ENSMUSG00000019767
CCDC171,ENSG00000164989,ENSMUSG00000052407
CCDC172,ENSG00000182645,ENSMUSG00000025090
CCDC174,ENSG00000154781,ENSMUSG00000034083
CCDC177,ENSG00000267909,ENSMUSG00000062961
CCDC178,ENSG00000166960,ENSMUSG00000024306
CCDC179,ENSG00000255359,ENSMUSG00000094445
CCDC18,ENSG00000122483,ENSMUSG00000056531
CCDC180,ENSG00000197816,ENSMUSG00000035539
CCDC181,ENSG00000117477,ENSMUSG00000026578
CCDC182,ENSG00000166329,ENSMUSG00000034031
CCDC184,ENSG00000177875,ENSMUSG00000029875
CCDC185,ENSG00000178395,ENSMUSG00000043429
CCDC186,ENSG00000165813,ENSMUSG00000035173
CCDC188,ENSG00000234409,ENSMUSG00000090777
CCDC190,ENSG00000185860,ENSMUSG00000070532
CCDC191,ENSG00000163617,ENSMUSG00000022701
CCDC192,ENSG00000230561,ENSMUSG00000058925
CCDC196,ENSG00000196553,ENSMUSG00000099418
CCDC198,ENSG00000100557,ENSMUSG00000021850
CCDC22,ENSG00000101997,ENSMUSG00000031143
CCDC24,ENSG00000159214,ENSMUSG00000078588
CCDC25,ENSG00000147419,ENSMUSG00000022035
CCDC28A,ENSG00000024862,ENSMUSG00000059554
CCDC28B,ENSG00000160050,ENSMUSG00000028795
CCDC3,ENSG00000151468,ENSMUSG00000026676
CCDC32,ENSG00000128891,ENSMUSG00000039983
CCDC34,ENSG00000109881,ENSMUSG00000027160
CCDC38,ENSG00000165972,ENSMUSG00000036168
CCDC39,ENSG00000284862,ENSMUSG00000027676
CCDC40,ENSG00000141519,ENSMUSG00000039963
CCDC42,ENSG00000161973,ENSMUSG00000045915
CCDC43,ENSG00000180329,ENSMUSG00000020925
CCDC47,ENSG00000108588,ENSMUSG00000078622
CCDC50,ENSG00000152492,ENSMUSG00000038127
CCDC51,ENSG00000164051,ENSMUSG00000025645
CCDC54,ENSG00000138483,ENSMUSG00000050685
CCDC57,ENSG00000176155,ENSMUSG00000048445
CCDC59,ENSG00000133773,ENSMUSG00000019897
CCDC6,ENSG00000108091,ENSMUSG00000048701
CCDC60,ENSG00000183273,ENSMUSG00000043913
CCDC61,ENSG00000104983,ENSMUSG00000074358
CCDC62,ENSG00000130783,ENSMUSG00000061882
CCDC66,ENSG00000180376,ENSMUSG00000046753
CCDC68,ENSG00000166510,ENSMUSG00000038903
CCDC70,ENSG00000123171,ENSMUSG00000017049
CCDC71,ENSG00000177352,ENSMUSG00000049305
CCDC71L,ENSG00000253276,ENSMUSG00000090946
CCDC73,ENSG00000186714,ENSMUSG00000045106
CCDC77,ENSG00000120647,ENSMUSG00000030177
CCDC78,ENSG00000162004,ENSMUSG00000071202
CCDC80,ENSG00000091986,ENSMUSG00000022665
CCDC81,ENSG00000149201,ENSMUSG00000039391
CCDC82,ENSG00000149231,ENSMUSG00000079084
CCDC83,ENSG00000150676,ENSMUSG00000030617
CCDC85A,ENSG00000055813,ENSMUSG00000032878
CCDC85B,ENSG00000175602,ENSMUSG00000095098
CCDC85C,ENSG00000205476,ENSMUSG00000084883
CCDC86,ENSG00000110104,ENSMUSG00000024732
CCDC87,ENSG00000182791,ENSMUSG00000067872
CCDC88A,ENSG00000115355,ENSMUSG00000032740
CCDC88B,ENSG00000168071,ENSMUSG00000047810
CCDC88C,ENSG00000015133,ENSMUSG00000021182
CCDC89,ENSG00000179071,ENSMUSG00000044362
CCDC9,ENSG00000105321,ENSMUSG00000041375
CCDC90B,ENSG00000137500,ENSMUSG00000030613
CCDC91,ENSG00000123106,ENSMUSG00000030301
CCDC92,ENSG00000119242,ENSMUSG00000037979
CCDC93,ENSG00000125633,ENSMUSG00000026339
CCDC97,ENSG00000142039,ENSMUSG00000002608
CCDC9B,ENSG00000188549,ENSMUSG00000045838
CCER1,ENSG00000197651,ENSMUSG00000047025
CCER2,ENSG00000262484,ENSMUSG00000096257
CCHCR1,ENSG00000204536,ENSMUSG00000040312
CCIN,ENSG00000185972,ENSMUSG00000070999
CCK,ENSG00000187094,ENSMUSG00000032532
CCKAR,ENSG00000163394,ENSMUSG00000029193
CCKBR,ENSG00000110148,ENSMUSG00000030898
CCL11,ENSG00000172156,ENSMUSG00000020676
CCL17,ENSG00000102970,ENSMUSG00000031780
CCL19,ENSG00000172724,ENSMUSG00000071005
CCL20,ENSG00000115009,ENSMUSG00000026166
CCL22,ENSG00000102962,ENSMUSG00000031779
CCL24,ENSG00000106178,ENSMUSG00000004814
CCL28,ENSG00000151882,ENSMUSG00000074715
CCL5,ENSG00000271503,ENSMUSG00000035042
CCL7,ENSG00000108688,ENSMUSG00000035373
CCM2,ENSG00000136280,ENSMUSG00000000378
CCM2L,ENSG00000101331,ENSMUSG00000027474
CCN1,ENSG00000142871,ENSMUSG00000028195
CCN2,ENSG00000118523,ENSMUSG00000019997
CCN4,ENSG00000104415,ENSMUSG00000005124
CCN5,ENSG00000064205,ENSMUSG00000027656
CCN6,ENSG00000112761,ENSMUSG00000062074
CCNA1,ENSG00000133101,ENSMUSG00000027793
CCNA2,ENSG00000145386,ENSMUSG00000027715
CCNB1,ENSG00000134057,ENSMUSG00000041431
CCNB1IP1,ENSG00000100814,ENSMUSG00000071470
CCNB2,ENSG00000157456,ENSMUSG00000032218
CCNC,ENSG00000112237,ENSMUSG00000028252
CCND1,ENSG00000110092,ENSMUSG00000070348
CCND2,ENSG00000118971,ENSMUSG00000000184
CCND3,ENSG00000112576,ENSMUSG00000034165
CCNDBP1,ENSG00000166946,ENSMUSG00000023572
CCNE1,ENSG00000105173,ENSMUSG00000002068
CCNE2,ENSG00000175305,ENSMUSG00000028212
CCNF,ENSG00000162063,ENSMUSG00000072082
CCNG1,ENSG00000113328,ENSMUSG00000020326
CCNG2,ENSG00000138764,ENSMUSG00000029385
CCNH,ENSG00000134480,ENSMUSG00000021548
CCNI,ENSG00000118816,ENSMUSG00000063015
CCNJ,ENSG00000107443,ENSMUSG00000025010
CCNJL,ENSG00000135083,ENSMUSG00000044707
CCNK,ENSG00000090061,ENSMUSG00000021258
CCNL1,ENSG00000163660,ENSMUSG00000027829
CCNL2,ENSG00000221978,ENSMUSG00000029068
CCNO,ENSG00000152669,ENSMUSG00000042417
CCNT1,ENSG00000129315,ENSMUSG00000011960
CCNT2,ENSG00000082258,ENSMUSG00000026349
CCNY,ENSG00000108100,ENSMUSG00000024286
CCNYL1,ENSG00000163249,ENSMUSG00000070871
CCP110,ENSG00000103540,ENSMUSG00000033904
CCPG1,ENSG00000260916,ENSMUSG00000034563
CCR10,ENSG00000184451,ENSMUSG00000044052
CCR2,ENSG00000121807,ENSMUSG00000049103
CCR3,ENSG00000183625,ENSMUSG00000035448
CCR4,ENSG00000183813,ENSMUSG00000047898
CCR5,ENSG00000160791,ENSMUSG00000079227
CCR6,ENSG00000112486,ENSMUSG00000040899
CCR7,ENSG00000126353,ENSMUSG00000037944
CCR8,ENSG00000179934,ENSMUSG00000042262
CCR9,ENSG00000173585,ENSMUSG00000029530
CCS,ENSG00000173992,ENSMUSG00000034108
CCSAP,ENSG00000154429,ENSMUSG00000031971
CCSER1,ENSG00000184305,ENSMUSG00000039578
CCSER2,ENSG00000107771,ENSMUSG00000058690
CCT2,ENSG00000166226,ENSMUSG00000034024
CCT3,ENSG00000163468,ENSMUSG00000001416
CCT4,ENSG00000115484,ENSMUSG00000007739
CCT5,ENSG00000150753,ENSMUSG00000022234
CCT6A,ENSG00000146731,ENSMUSG00000029447
CCT6B,ENSG00000132141,ENSMUSG00000020698
CCT7,ENSG00000135624,ENSMUSG00000030007
CCT8,ENSG00000156261,ENSMUSG00000025613
CCT8L2,ENSG00000198445,ENSMUSG00000038044
CD101,ENSG00000134256,ENSMUSG00000086564
CD109,ENSG00000156535,ENSMUSG00000046186
CD14,ENSG00000170458,ENSMUSG00000051439
CD151,ENSG00000177697,ENSMUSG00000025510
CD160,ENSG00000117281,ENSMUSG00000038304
CD163,ENSG00000177575,ENSMUSG00000008845
CD164,ENSG00000135535,ENSMUSG00000019818
CD164L2,ENSG00000174950,ENSMUSG00000028865
CD180,ENSG00000134061,ENSMUSG00000021624
CD19,ENSG00000177455,ENSMUSG00000030724
CD2,ENSG00000116824,ENSMUSG00000027863
CD200,ENSG00000091972,ENSMUSG00000022661
CD207,ENSG00000116031,ENSMUSG00000034783
CD22,ENSG00000012124,ENSMUSG00000030577
CD226,ENSG00000150637,ENSMUSG00000034028
CD247,ENSG00000198821,ENSMUSG00000005763
CD248,ENSG00000174807,ENSMUSG00000056481
CD27,ENSG00000139193,ENSMUSG00000030336
CD274,ENSG00000120217,ENSMUSG00000016496
CD276,ENSG00000103855,ENSMUSG00000035914
CD28,ENSG00000178562,ENSMUSG00000026012
CD2AP,ENSG00000198087,ENSMUSG00000061665
CD2BP2,ENSG00000169217,ENSMUSG00000042502
CD300E,ENSG00000186407,ENSMUSG00000048498
CD302,ENSG00000241399,ENSMUSG00000060703
CD320,ENSG00000167775,ENSMUSG00000002308
CD34,ENSG00000174059,ENSMUSG00000016494
CD36,ENSG00000135218,ENSMUSG00000002944
CD37,ENSG00000104894,ENSMUSG00000030798
CD38,ENSG00000004468,ENSMUSG00000029084
CD3D,ENSG00000167286,ENSMUSG00000032094
CD3E,ENSG00000198851,ENSMUSG00000032093
CD3G,ENSG00000160654,ENSMUSG00000002033
CD4,ENSG00000010610,ENSMUSG00000023274
CD40,ENSG00000101017,ENSMUSG00000017652
CD40LG,ENSG00000102245,ENSMUSG00000031132
CD44,ENSG00000026508,ENSMUSG00000005087
CD47,ENSG00000196776,ENSMUSG00000055447
CD5,ENSG00000110448,ENSMUSG00000024669
CD53,ENSG00000143119,ENSMUSG00000040747
CD5L,ENSG00000073754,ENSMUSG00000015854
CD6,ENSG00000013725,ENSMUSG00000024670
CD63,ENSG00000135404,ENSMUSG00000025351
CD69,ENSG00000110848,ENSMUSG00000030156
CD70,ENSG00000125726,ENSMUSG00000019489
CD72,ENSG00000137101,ENSMUSG00000028459
CD74,ENSG00000019582,ENSMUSG00000024610
CD79A,ENSG00000105369,ENSMUSG00000003379
CD79B,ENSG00000007312,ENSMUSG00000040592
CD81,ENSG00000110651,ENSMUSG00000037706
CD82,ENSG00000085117,ENSMUSG00000027215
CD83,ENSG00000112149,ENSMUSG00000015396
CD84,ENSG00000066294,ENSMUSG00000038147
CD9,ENSG00000010278,ENSMUSG00000030342
CD93,ENSG00000125810,ENSMUSG00000027435
CD96,ENSG00000153283,ENSMUSG00000022657
CD99L2,ENSG00000102181,ENSMUSG00000035776
CDA,ENSG00000158825,ENSMUSG00000028755
CDADC1,ENSG00000102543,ENSMUSG00000021982
CDAN1,ENSG00000140326,ENSMUSG00000027284
CDC123,ENSG00000151465,ENSMUSG00000039128
CDC14A,ENSG00000079335,ENSMUSG00000033502
CDC16,ENSG00000130177,ENSMUSG00000038416
CDC20,ENSG00000117399,ENSMUSG00000006398
CDC20B,ENSG00000164287,ENSMUSG00000078926
CDC23,ENSG00000094880,ENSMUSG00000024370
CDC25A,ENSG00000164045,ENSMUSG00000032477
CDC25B,ENSG00000101224,ENSMUSG00000027330
CDC25C,ENSG00000158402,ENSMUSG00000044201
CDC26,ENSG00000176386,ENSMUSG00000066149
CDC27,ENSG00000004897,ENSMUSG00000020687
CDC37,ENSG00000105401,ENSMUSG00000019471
CDC37L1,ENSG00000106993,ENSMUSG00000024780
CDC40,ENSG00000168438,ENSMUSG00000038446
CDC42,ENSG00000070831,ENSMUSG00000006699
CDC42BPA,ENSG00000143776,ENSMUSG00000026490
CDC42BPB,ENSG00000198752,ENSMUSG00000021279
CDC42BPG,ENSG00000171219,ENSMUSG00000024769
CDC42EP1,ENSG00000128283,ENSMUSG00000049521
CDC42EP2,ENSG00000149798,ENSMUSG00000045664
CDC42EP3,ENSG00000163171,ENSMUSG00000036533
CDC42EP4,ENSG00000179604,ENSMUSG00000041598
CDC42EP5,ENSG00000167617,ENSMUSG00000063838
CDC42SE1,ENSG00000197622,ENSMUSG00000046722
CDC42SE2,ENSG00000158985,ENSMUSG00000052298
CDC45,ENSG00000093009,ENSMUSG00000000028
CDC50A,ENSG00000112697,ENSMUSG00000032328
CDC50B,ENSG00000182107,ENSMUSG00000034435
CDC6,ENSG00000094804,ENSMUSG00000017499
CDC7,ENSG00000097046,ENSMUSG00000029283
CDC73,ENSG00000134371,ENSMUSG00000026361
CDCA2,ENSG00000184661,ENSMUSG00000048922
CDCA3,ENSG00000111665,ENSMUSG00000023505
CDCA4,ENSG00000170779,ENSMUSG00000047832
CDCA5,ENSG00000146670,ENSMUSG00000024791
CDCA7,ENSG00000144354,ENSMUSG00000055612
CDCA7L,ENSG00000164649,ENSMUSG00000021175
CDCA8,ENSG00000134690,ENSMUSG00000028873
CDCP1,ENSG00000163814,ENSMUSG00000035498
CDCP2,ENSG00000157211,ENSMUSG00000047636
CDH1,ENSG00000039068,ENSMUSG00000000303
CDH10,ENSG00000040731,ENSMUSG00000022321
CDH11,ENSG00000140937,ENSMUSG00000031673
CDH12,ENSG00000154162,ENSMUSG00000040452
CDH13,ENSG00000140945,ENSMUSG00000031841
CDH15,ENSG00000129910,ENSMUSG00000031962
CDH16,ENSG00000166589,ENSMUSG00000031881
CDH17,ENSG00000079112,ENSMUSG00000028217
CDH18,ENSG00000145526,ENSMUSG00000040420
CDH19,ENSG00000071991,ENSMUSG00000047216
CDH2,ENSG00000170558,ENSMUSG00000024304
CDH20,ENSG00000101542,ENSMUSG00000050840
CDH22,ENSG00000149654,ENSMUSG00000053166
CDH23,ENSG00000107736,ENSMUSG00000012819
CDH24,ENSG00000139880,ENSMUSG00000059674
CDH26,ENSG00000124215,ENSMUSG00000039155
CDH3,ENSG00000062038,ENSMUSG00000061048
CDH4,ENSG00000179242,ENSMUSG00000000305
CDH5,ENSG00000179776,ENSMUSG00000031871
CDH6,ENSG00000113361,ENSMUSG00000039385
CDH7,ENSG00000081138,ENSMUSG00000026312
CDH8,ENSG00000150394,ENSMUSG00000036510
CDH9,ENSG00000113100,ENSMUSG00000025370
CDHR1,ENSG00000148600,ENSMUSG00000021803
CDHR2,ENSG00000074276,ENSMUSG00000034918
CDHR3,ENSG00000128536,ENSMUSG00000035860
CDHR4,ENSG00000187492,ENSMUSG00000032595
CDHR5,ENSG00000099834,ENSMUSG00000025497
CDIN1,ENSG00000186073,ENSMUSG00000040282
CDIP1,ENSG00000089486,ENSMUSG00000004071
CDIPT,ENSG00000103502,ENSMUSG00000030682
CDK1,ENSG00000170312,ENSMUSG00000019942
CDK10,ENSG00000185324,ENSMUSG00000033862
CDK12,ENSG00000167258,ENSMUSG00000003119
CDK13,ENSG00000065883,ENSMUSG00000041297
CDK14,ENSG00000058091,ENSMUSG00000028926
CDK15,ENSG00000138395,ENSMUSG00000026023
CDK16,ENSG00000102225,ENSMUSG00000031065
CDK17,ENSG00000059758,ENSMUSG00000020015
CDK18,ENSG00000117266,ENSMUSG00000026437
CDK19,ENSG00000155111,ENSMUSG00000038481
CDK2,ENSG00000123374,ENSMUSG00000025358
CDK20,ENSG00000156345,ENSMUSG00000021483
CDK2AP2,ENSG00000167797,ENSMUSG00000024856
CDK3,ENSG00000250506,ENSMUSG00000092300
CDK4,ENSG00000135446,ENSMUSG00000006728
CDK5,ENSG00000164885,ENSMUSG00000028969
CDK5R1,ENSG00000176749,ENSMUSG00000048895
CDK5R2,ENSG00000171450,ENSMUSG00000090071
CDK5RAP1,ENSG00000101391,ENSMUSG00000027487
CDK5RAP2,ENSG00000136861,ENSMUSG00000039298
CDK5RAP3,ENSG00000108465,ENSMUSG00000018669
CDK6,ENSG00000105810,ENSMUSG00000040274
CDK7,ENSG00000134058,ENSMUSG00000069089
CDK8,ENSG00000132964,ENSMUSG00000029635
CDK9,ENSG00000136807,ENSMUSG00000009555
CDKAL1,ENSG00000145996,ENSMUSG00000006191
CDKL1,ENSG00000100490,ENSMUSG00000020990
CDKL2,ENSG00000138769,ENSMUSG00000029403
CDKL3,ENSG00000006837,ENSMUSG00000020389
CDKL4,ENSG00000205111,ENSMUSG00000033966
CDKL5,ENSG00000008086,ENSMUSG00000031292
CDKN1A,ENSG00000124762,ENSMUSG00000023067
CDKN1B,ENSG00000111276,ENSMUSG00000003031
CDKN2A,ENSG00000147889,ENSMUSG00000044303
CDKN2AIP,ENSG00000168564,ENSMUSG00000038069
